t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
189706.722170275,kbwzknczhbl5,Cordia,0,3ormp2,49,53642,1,0,0,228,True,0
189707.302197591,kbwzknczhbl5,Cordia,0,bnovkv,76,20471,2,0,0,100,True,0
189709.744517932,kbwzknczhbl5,Cordia,1,3ormp2,49,53642,2,0,0,100,True,0
189711.652332853,kbwzknczhbl5,Cordia,1,bnovkv,68,27764,2,0,0,100,True,0
189712.658136504,kbwzknczhbl5,Cordia,1,3ormp2,2,1789,1,0,0,228,True,2
189713.349538259,kbwzknczhbl5,Cordia,1,bnovkv,29,40402,1,0,0,228,True,2
189714.051759106,kbwzknczhbl5,Cordia,1,3ormp2,46,32628,1,0,0,228,True,3
189714.419900178,kbwzknczhbl5,Cordia,1,bnovkv,25,45630,2,0,0,100,True,3
189715.112075182,kbwzknczhbl5,Cordia,1,bnovkv,54,28816,1,0,0,228,True,5
189715.482214895,kbwzknczhbl5,Cordia,1,bnovkv,29,40402,2,0,0,100,True,4
189715.838878241,kbwzknczhbl5,Cordia,1,bnovkv,33,62739,2,0,0,100,True,4
189716.52081182,kbwzknczhbl5,Cordia,1,3ormp2,68,36190,1,0,0,228,True,4
189717.202992369,kbwzknczhbl5,Cordia,1,bnovkv,6,39757,1,0,0,228,True,3
189717.885150427,kbwzknczhbl5,Cordia,1,3ormp2,13,64350,1,0,0,228,True,4
189718.289860169,kbwzknczhbl5,Cordia,2,bnovkv,54,28816,2,0,0,100,True,4
189719.043424873,kbwzknczhbl5,Cordia,2,bnovkv,31,24687,1,0,0,228,True,3
189719.730644126,kbwzknczhbl5,Cordia,2,3ormp2,1,60187,1,0,0,228,True,3
189720.113955241,kbwzknczhbl5,Cordia,2,bnovkv,6,39757,2,0,0,100,True,3
189720.511124809,kbwzknczhbl5,Cordia,2,bnovkv,36,57221,2,0,0,100,True,2
189721.21316402,kbwzknczhbl5,Cordia,2,3ormp2,70,30755,1,0,0,228,True,2
189721.915370925,kbwzknczhbl5,Cordia,2,3ormp2,63,32989,1,0,0,228,True,4
189722.288584885,kbwzknczhbl5,Cordia,2,bnovkv,50,15362,2,0,0,100,True,3
189722.670735272,kbwzknczhbl5,Cordia,2,3ormp2,1,60187,2,0,0,100,True,2
189723.361427295,kbwzknczhbl5,Cordia,2,bnovkv,67,46234,1,0,0,228,True,1
189724.071528457,kbwzknczhbl5,Cordia,2,3ormp2,29,562,1,0,0,228,True,0
189724.678413007,kbwzknczhbl5,Cordia,2,bnovkv,40,31974,2,0,0,100,True,0
189726.834824645,kbwzknczhbl5,Cordia,2,3ormp2,28,4441,2,0,0,100,True,2
189727.524274842,kbwzknczhbl5,Cordia,2,3ormp2,47,35186,1,0,0,228,True,4
189727.887202666,kbwzknczhbl5,Cordia,2,3ormp2,29,562,2,0,0,100,True,3
189728.292162348,kbwzknczhbl5,Cordia,3,bnovkv,38,15249,2,0,0,100,True,2
189728.695214199,kbwzknczhbl5,Cordia,3,3ormp2,58,24624,2,0,0,100,True,1
189729.38550796,kbwzknczhbl5,Cordia,3,3ormp2,3,7262,1,0,0,228,True,0
189730.658395951,kbwzknczhbl5,Cordia,3,bnovkv,27,35120,2,0,0,100,True,0
189731.420549785,kbwzknczhbl5,Cordia,3,3ormp2,40,60757,2,0,0,100,True,3
189731.800340269,kbwzknczhbl5,Cordia,3,3ormp2,53,31878,2,0,0,100,True,3
189732.170948526,kbwzknczhbl5,Cordia,3,3ormp2,61,12312,2,0,0,100,True,3
189732.559361045,kbwzknczhbl5,Cordia,3,bnovkv,78,17086,2,0,0,100,True,2
189732.92934295,kbwzknczhbl5,Cordia,3,3ormp2,4,21424,2,0,0,100,True,1
189733.29384822,kbwzknczhbl5,Cordia,3,3ormp2,3,7262,2,0,0,100,True,0
189733.705350197,kbwzknczhbl5,Cordia,3,3ormp2,48,41260,2,0,0,100,True,0
189734.573192333,kbwzknczhbl5,Cordia,3,3ormp2,14,24636,1,0,0,228,True,0
189735.385208167,kbwzknczhbl5,Cordia,3,3ormp2,37,56140,2,0,0,100,True,1
189736.081000402,kbwzknczhbl5,Cordia,3,3ormp2,26,36734,1,0,0,228,True,1
189736.085684655,kbwzknczhbl5,Cordia,3,bz8tbo,9,60297,1,0,228,0,True,0
189736.45382733,kbwzknczhbl5,Cordia,3,bz8tbo,9,60297,2,100,0,0,True,0
189737.433972186,kbwzknczhbl5,Cordia,3,3ormp2,16,63395,1,0,0,228,True,0
189738.676958237,kbwzknczhbl5,Cordia,4,3ormp2,26,36734,2,0,0,100,True,0
189740.008950217,kbwzknczhbl5,Cordia,4,3ormp2,24,54101,1,0,0,228,True,1
189740.7115599,kbwzknczhbl5,Cordia,4,3ormp2,17,52850,1,0,0,228,True,2
189741.410259419,kbwzknczhbl5,Cordia,4,3ormp2,0,16602,1,0,0,228,True,2
189741.788396229,kbwzknczhbl5,Cordia,4,bnovkv,10,9306,2,0,0,100,True,1
189742.485383202,kbwzknczhbl5,Cordia,4,bnovkv,9,53628,1,0,0,228,True,1
189742.858160041,kbwzknczhbl5,Cordia,4,3ormp2,17,52850,2,0,0,100,True,0
189744.105980454,kbwzknczhbl5,Cordia,4,bnovkv,28,4162,1,0,0,228,True,1
