t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
189704.312029224,l4krht7jalvt,Cordia,0,bz8tbo,41,47779,1,0,228,0,True,0
189704.678552387,l4krht7jalvt,Cordia,0,bz8tbo,41,47779,2,100,0,0,True,0
189706.407246291,l4krht7jalvt,Cordia,0,3ormp2,69,56354,1,0,0,228,True,2
189706.411530974,l4krht7jalvt,Cordia,0,bz8tbo,21,59202,1,0,228,0,True,1
189706.856616094,l4krht7jalvt,Cordia,0,bz8tbo,21,59202,2,100,0,0,True,2
189707.287823099,l4krht7jalvt,Cordia,0,bz8tbo,41,47779,2,0,0,100,True,1
189708.049458873,l4krht7jalvt,Cordia,0,258zc9,61,40353,1,0,0,228,True,3
189708.05713671,l4krht7jalvt,Cordia,0,bz8tbo,43,34527,1,0,228,0,True,2
189708.532308867,l4krht7jalvt,Cordia,1,bz8tbo,43,34527,2,100,0,0,True,3
189708.896023281,l4krht7jalvt,Cordia,1,258zc9,46,58796,2,0,0,100,True,2
189709.579528218,l4krht7jalvt,Cordia,1,3ormp2,60,15852,1,0,0,228,True,2
189710.310530124,l4krht7jalvt,Cordia,1,258zc9,67,18762,1,0,0,228,True,3
189710.683408348,l4krht7jalvt,Cordia,1,bz8tbo,57,6808,2,0,0,100,True,3
189711.367867098,l4krht7jalvt,Cordia,1,3ormp2,38,42481,1,0,0,228,True,2
189711.732849808,l4krht7jalvt,Cordia,1,3ormp2,43,19662,2,0,0,100,True,1
189712.409452536,l4krht7jalvt,Cordia,1,3ormp2,45,49226,1,0,0,228,True,0
189714.236409285,l4krht7jalvt,Cordia,1,258zc9,21,17763,2,0,0,100,True,0
189714.998235596,l4krht7jalvt,Cordia,1,3ormp2,36,38985,1,0,0,228,True,1
189715.377650088,l4krht7jalvt,Cordia,1,3ormp2,21,60262,2,0,0,100,True,0
189715.778301959,l4krht7jalvt,Cordia,1,3ormp2,36,38985,2,0,0,100,True,0
189716.100782568,l4krht7jalvt,Cordia,1,bz8tbo,68,43416,1,0,228,0,True,0
189716.479377195,l4krht7jalvt,Cordia,1,bz8tbo,68,43416,2,100,0,0,True,1
189717.163770521,l4krht7jalvt,Cordia,1,258zc9,22,53458,1,0,0,228,True,0
189718.227852357,l4krht7jalvt,Cordia,2,258zc9,65,32067,1,0,0,228,True,1
189729.000258105,l4krht7jalvt,Cordia,3,3ormp2,13,64350,1,0,0,228,True,1
189729.686594116,l4krht7jalvt,Cordia,3,3ormp2,61,12312,1,0,0,228,True,3
189730.054339668,l4krht7jalvt,Cordia,3,258zc9,34,64006,2,0,0,100,True,2
189730.424656394,l4krht7jalvt,Cordia,3,3ormp2,13,64350,2,0,0,100,True,2
189731.12483723,l4krht7jalvt,Cordia,3,3ormp2,3,7262,1,0,0,228,True,2
189731.491233205,l4krht7jalvt,Cordia,3,258zc9,22,53458,2,0,0,100,True,1
189731.496025425,l4krht7jalvt,Cordia,3,bz8tbo,19,55224,1,0,228,0,True,0
189731.870062361,l4krht7jalvt,Cordia,3,bz8tbo,19,55224,2,100,0,0,True,2
189732.574259878,l4krht7jalvt,Cordia,3,3ormp2,48,41260,1,0,0,228,True,2
189732.579068522,l4krht7jalvt,Cordia,3,bz8tbo,38,5385,1,0,228,0,True,1
189732.963502682,l4krht7jalvt,Cordia,3,bz8tbo,38,5385,2,100,0,0,True,1
189733.657103953,l4krht7jalvt,Cordia,3,258zc9,17,1931,1,0,0,228,True,0
189734.635435675,l4krht7jalvt,Cordia,3,258zc9,50,47872,1,0,0,228,True,1
189735.329384684,l4krht7jalvt,Cordia,3,3ormp2,14,24636,1,0,0,228,True,1
189735.700821818,l4krht7jalvt,Cordia,3,bz8tbo,38,5385,2,0,0,100,True,0
189736.863346395,l4krht7jalvt,Cordia,3,bz8tbo,2,51087,2,0,0,100,True,0
189737.817080031,l4krht7jalvt,Cordia,3,258zc9,38,24480,1,0,0,228,True,1
189738.203234239,l4krht7jalvt,Cordia,3,3ormp2,26,36734,2,0,0,100,True,0
189749.008408076,l4krht7jalvt,Cordia,5,3ormp2,25,65051,1,0,0,228,True,1
189749.373508476,l4krht7jalvt,Cordia,5,3ormp2,39,42427,2,0,0,100,True,0
189750.077426841,l4krht7jalvt,Cordia,5,3ormp2,23,21111,2,0,0,100,True,0
189751.4239892,l4krht7jalvt,Cordia,5,258zc9,8,15839,1,0,0,228,True,0
189752.14942047,l4krht7jalvt,Cordia,5,258zc9,43,43731,1,0,0,228,True,1
189752.513296465,l4krht7jalvt,Cordia,5,3ormp2,15,57065,2,0,0,100,True,0
189753.274370648,l4krht7jalvt,Cordia,5,3ormp2,51,4724,1,0,0,228,True,1
189753.963949234,l4krht7jalvt,Cordia,5,3ormp2,57,37759,1,0,0,228,True,0
189755.019744844,l4krht7jalvt,Cordia,5,bz8tbo,33,35866,2,0,0,100,True,2
189755.72533527,l4krht7jalvt,Cordia,5,258zc9,13,50872,1,0,0,228,True,2
189756.102455599,l4krht7jalvt,Cordia,5,bz8tbo,30,42087,2,0,0,100,True,4
