t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
189782.157587248,mrepq77y01iy,Daisy,8,3ormp2,64,24889,1,0,228,0,True,0
189782.540208134,mrepq77y01iy,Daisy,8,3ormp2,64,24889,2,100,0,0,True,0
189784.082646264,mrepq77y01iy,Daisy,8,3ormp2,34,60441,1,0,228,0,True,0
189784.451253244,mrepq77y01iy,Daisy,8,3ormp2,34,60441,2,100,0,0,True,0
189787.544267714,mrepq77y01iy,Daisy,8,3ormp2,18,10917,1,0,228,0,True,0
189787.919394901,mrepq77y01iy,Daisy,8,3ormp2,18,10917,2,100,0,0,True,0
189792.174962725,mrepq77y01iy,Daisy,9,3ormp2,27,6598,1,0,228,0,True,0
189792.549211579,mrepq77y01iy,Daisy,9,3ormp2,27,6598,2,100,0,0,True,0
189797.497542934,mrepq77y01iy,Daisy,9,3ormp2,9,22811,1,0,228,0,True,0
189797.865322089,mrepq77y01iy,Daisy,9,3ormp2,9,22811,2,100,0,0,True,0
189838.528694807,mrepq77y01iy,Daisy,14,3ormp2,44,61099,1,0,228,0,True,0
189838.929213328,mrepq77y01iy,Daisy,14,3ormp2,44,61099,2,100,0,0,True,0
