t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
189707.293055683,ncckhnt1yaja,Queen,0,258zc9,46,58796,2,0,0,100,True,0
189708.749575192,ncckhnt1yaja,Queen,1,gkjg4a,69,37303,1,0,228,0,True,0
189709.113954455,ncckhnt1yaja,Queen,1,gkjg4a,69,37303,2,100,0,0,True,1
189709.805247429,ncckhnt1yaja,Queen,1,258zc9,42,29086,1,0,0,228,True,0
189713.140302757,ncckhnt1yaja,Queen,1,gkjg4a,75,1021,1,0,228,0,True,0
189713.513269642,ncckhnt1yaja,Queen,1,gkjg4a,75,1021,2,100,0,0,True,2
189713.518040827,ncckhnt1yaja,Queen,1,3ormp2,60,15852,2,0,100,0,True,1
189713.894426109,ncckhnt1yaja,Queen,1,258zc9,67,18762,2,0,0,100,True,1
189714.591695308,ncckhnt1yaja,Queen,1,258zc9,35,11066,1,0,0,228,True,1
189714.964159832,ncckhnt1yaja,Queen,1,258zc9,2,28690,2,0,0,100,True,0
189715.284911807,ncckhnt1yaja,Queen,1,3ormp2,2,1789,2,0,100,0,True,0
189716.677711764,ncckhnt1yaja,Queen,1,gkjg4a,46,46536,1,0,228,0,True,0
189717.068137802,ncckhnt1yaja,Queen,1,gkjg4a,46,46536,2,100,0,0,True,0
189717.109126454,ncckhnt1yaja,Queen,1,3ormp2,36,38985,2,0,100,0,True,0
189718.62701791,ncckhnt1yaja,Queen,2,258zc9,19,1146,1,0,0,228,True,1
189729.127552204,ncckhnt1yaja,Queen,3,258zc9,22,53458,1,0,0,228,True,0
189730.28663109,ncckhnt1yaja,Queen,3,258zc9,40,39156,2,0,0,100,True,0
189731.086754262,ncckhnt1yaja,Queen,3,gkjg4a,68,14050,1,0,228,0,True,0
189731.465194438,ncckhnt1yaja,Queen,3,gkjg4a,68,14050,2,100,0,0,True,0
189731.857318534,ncckhnt1yaja,Queen,3,258zc9,79,19122,2,0,0,100,True,0
189732.941520661,ncckhnt1yaja,Queen,3,258zc9,60,47407,2,0,0,100,True,1
189733.626667006,ncckhnt1yaja,Queen,3,258zc9,1,49710,1,0,0,228,True,0
189735.722225427,ncckhnt1yaja,Queen,3,258zc9,17,1931,1,0,0,228,True,2
189736.104066681,ncckhnt1yaja,Queen,3,258zc9,64,10366,2,0,0,100,True,1
189736.797529234,ncckhnt1yaja,Queen,3,258zc9,5,46717,1,0,0,228,True,2
189737.168839327,ncckhnt1yaja,Queen,3,258zc9,17,1931,2,0,0,100,True,1
189737.863129239,ncckhnt1yaja,Queen,3,258zc9,50,47872,1,0,0,228,True,1
189738.238255029,ncckhnt1yaja,Queen,3,258zc9,5,46717,2,0,0,100,True,0
189738.695129378,ncckhnt1yaja,Queen,4,258zc9,50,47872,2,0,0,100,True,0
189740.093081203,ncckhnt1yaja,Queen,4,258zc9,31,59342,1,0,0,228,True,2
189740.461811502,ncckhnt1yaja,Queen,4,258zc9,3,51911,2,0,0,100,True,1
189740.849880236,ncckhnt1yaja,Queen,4,258zc9,45,60692,2,0,0,100,True,1
189741.548255485,ncckhnt1yaja,Queen,4,258zc9,37,12965,1,0,0,228,True,1
189741.553128162,ncckhnt1yaja,Queen,4,3ormp2,37,56140,2,0,100,0,True,0
