t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
189707.348094706,u6keytnvqym1,Randolph,0,gkjg4a,35,19244,2,0,0,100,True,2
189707.708880274,u6keytnvqym1,Randolph,0,gkjg4a,12,4091,2,0,0,100,True,1
189708.478320812,u6keytnvqym1,Randolph,1,3ormp2,43,19662,1,0,0,228,True,1
189709.181447339,u6keytnvqym1,Randolph,1,3ormp2,38,42481,1,0,0,228,True,1
189709.894946523,u6keytnvqym1,Randolph,1,3ormp2,45,49226,1,0,0,228,True,2
189710.588598953,u6keytnvqym1,Randolph,1,3ormp2,35,739,1,0,0,228,True,2
189711.277279315,u6keytnvqym1,Randolph,1,gkjg4a,7,28125,1,0,0,228,True,2
189711.962001315,u6keytnvqym1,Randolph,1,3ormp2,2,1789,1,0,0,228,True,1
189712.653060632,u6keytnvqym1,Randolph,1,3ormp2,46,32628,1,0,0,228,True,2
189713.01823212,u6keytnvqym1,Randolph,1,3ormp2,43,19662,2,0,0,100,True,1
189713.398001665,u6keytnvqym1,Randolph,1,3ormp2,60,15852,2,0,0,100,True,0
189714.865862152,u6keytnvqym1,Randolph,1,3ormp2,13,64350,1,0,0,228,True,0
189715.682732956,u6keytnvqym1,Randolph,1,3ormp2,38,42481,2,0,0,100,True,1
189716.36628938,u6keytnvqym1,Randolph,1,3ormp2,31,21171,1,0,0,228,True,2
189716.737248934,u6keytnvqym1,Randolph,1,3ormp2,21,60262,2,0,0,100,True,1
189717.103372398,u6keytnvqym1,Randolph,1,3ormp2,36,38985,2,0,0,100,True,1
189717.799822216,u6keytnvqym1,Randolph,1,3ormp2,61,12312,1,0,0,228,True,0
189719.182809774,u6keytnvqym1,Randolph,2,3ormp2,70,30755,1,0,0,228,True,0
189720.20755766,u6keytnvqym1,Randolph,2,gkjg4a,55,50084,1,0,0,228,True,2
189720.568521319,u6keytnvqym1,Randolph,2,3ormp2,68,36190,2,0,0,100,True,2
189720.950364449,u6keytnvqym1,Randolph,2,3ormp2,31,21171,2,0,0,100,True,1
189721.639379641,u6keytnvqym1,Randolph,2,3ormp2,5,62797,1,0,0,228,True,0
189722.400651834,u6keytnvqym1,Randolph,2,3ormp2,71,7042,1,0,0,228,True,2
189723.095670639,u6keytnvqym1,Randolph,2,gkjg4a,19,10158,1,0,0,228,True,3
189723.466868179,u6keytnvqym1,Randolph,2,gkjg4a,26,52458,2,0,0,100,True,3
189724.152073549,u6keytnvqym1,Randolph,2,3ormp2,28,4441,1,0,0,228,True,2
189724.838478571,u6keytnvqym1,Randolph,2,gkjg4a,6,55826,1,0,0,228,True,3
189725.534933628,u6keytnvqym1,Randolph,2,3ormp2,58,24624,1,0,0,228,True,2
189725.89655096,u6keytnvqym1,Randolph,2,gkjg4a,59,18678,2,0,0,100,True,1
189726.591442525,u6keytnvqym1,Randolph,2,3ormp2,47,35186,1,0,0,228,True,1
189726.997263398,u6keytnvqym1,Randolph,2,3ormp2,71,7042,2,0,0,100,True,1
189727.691372766,u6keytnvqym1,Randolph,2,gkjg4a,30,45377,1,0,0,228,True,0
189728.526920626,u6keytnvqym1,Randolph,3,3ormp2,40,60757,1,0,0,228,True,1
189728.89077738,u6keytnvqym1,Randolph,3,3ormp2,29,562,2,0,0,100,True,1
189729.278726586,u6keytnvqym1,Randolph,3,3ormp2,58,24624,2,0,0,100,True,1
189729.962391873,u6keytnvqym1,Randolph,3,3ormp2,4,21424,1,0,0,228,True,2
189730.327354825,u6keytnvqym1,Randolph,3,3ormp2,54,43215,2,0,0,100,True,4
189731.022136407,u6keytnvqym1,Randolph,3,3ormp2,48,41260,1,0,0,228,True,5
189731.416212589,u6keytnvqym1,Randolph,3,3ormp2,47,35186,2,0,0,100,True,4
189732.115027282,u6keytnvqym1,Randolph,3,gkjg4a,78,38665,1,0,0,228,True,7
189732.804855773,u6keytnvqym1,Randolph,3,3ormp2,37,56140,1,0,0,228,True,8
189733.183525169,u6keytnvqym1,Randolph,3,3ormp2,13,64350,2,0,0,100,True,9
189733.867614041,u6keytnvqym1,Randolph,3,3ormp2,14,24636,1,0,0,228,True,11
189734.250964178,u6keytnvqym1,Randolph,3,3ormp2,40,60757,2,0,0,100,True,10
189734.61810506,u6keytnvqym1,Randolph,3,gkjg4a,68,14050,2,0,0,100,True,10
189735.32415961,u6keytnvqym1,Randolph,3,3ormp2,26,36734,1,0,0,228,True,10
189735.695854185,u6keytnvqym1,Randolph,3,3ormp2,53,31878,2,0,0,100,True,10
189736.064035871,u6keytnvqym1,Randolph,3,3ormp2,61,12312,2,0,0,100,True,10
189736.746852538,u6keytnvqym1,Randolph,3,3ormp2,16,63395,1,0,0,228,True,11
189737.120616964,u6keytnvqym1,Randolph,3,3ormp2,4,21424,2,0,0,100,True,10
189737.804071736,u6keytnvqym1,Randolph,3,3ormp2,25,65051,1,0,0,228,True,10
189738.180964037,u6keytnvqym1,Randolph,4,3ormp2,3,7262,2,0,0,100,True,10
189738.633010753,u6keytnvqym1,Randolph,4,3ormp2,48,41260,2,0,0,100,True,9
189739.348544706,u6keytnvqym1,Randolph,4,3ormp2,17,52850,1,0,0,228,True,11
189740.039425072,u6keytnvqym1,Randolph,4,3ormp2,0,16602,1,0,0,228,True,11
189740.734601551,u6keytnvqym1,Randolph,4,3ormp2,6,46565,1,0,0,228,True,10
189741.113371236,u6keytnvqym1,Randolph,4,3ormp2,37,56140,2,0,0,100,True,9
189741.810059634,u6keytnvqym1,Randolph,4,3ormp2,79,45615,1,0,0,228,True,9
189742.502245401,u6keytnvqym1,Randolph,4,3ormp2,73,40424,1,0,0,228,True,9
189742.891812971,u6keytnvqym1,Randolph,4,3ormp2,14,24636,2,0,0,100,True,9
189743.583265076,u6keytnvqym1,Randolph,4,3ormp2,8,8548,1,0,0,228,True,8
189744.27031908,u6keytnvqym1,Randolph,4,3ormp2,56,46209,1,0,0,228,True,8
189744.657972787,u6keytnvqym1,Randolph,4,3ormp2,26,36734,2,0,0,100,True,8
189745.354273137,u6keytnvqym1,Randolph,4,3ormp2,33,43516,1,0,0,228,True,9
189745.722728167,u6keytnvqym1,Randolph,4,gkjg4a,4,42083,2,0,0,100,True,11
189746.421569834,u6keytnvqym1,Randolph,4,3ormp2,39,42427,1,0,0,228,True,10
189747.122479904,u6keytnvqym1,Randolph,4,3ormp2,44,45058,1,0,0,228,True,10
189747.817403001,u6keytnvqym1,Randolph,4,3ormp2,10,61441,1,0,0,228,True,10
189748.195569193,u6keytnvqym1,Randolph,5,3ormp2,17,52850,2,0,0,100,True,10
189748.911055906,u6keytnvqym1,Randolph,5,3ormp2,41,50310,1,0,0,228,True,13
189749.670764421,u6keytnvqym1,Randolph,5,3ormp2,62,2927,1,0,0,228,True,13
189750.358654112,u6keytnvqym1,Randolph,5,gkjg4a,37,30165,1,0,0,228,True,14
189750.730390442,u6keytnvqym1,Randolph,5,gkjg4a,70,58201,2,0,0,100,True,13
189751.11742106,u6keytnvqym1,Randolph,5,3ormp2,79,45615,2,0,0,100,True,13
189751.825485583,u6keytnvqym1,Randolph,5,3ormp2,51,4724,1,0,0,228,True,13
189752.196364285,u6keytnvqym1,Randolph,5,3ormp2,66,57694,2,0,0,100,True,12
189752.901349099,u6keytnvqym1,Randolph,5,3ormp2,11,47518,1,0,0,228,True,13
189753.604871975,u6keytnvqym1,Randolph,5,3ormp2,12,25939,1,0,0,228,True,12
189753.991467806,u6keytnvqym1,Randolph,5,3ormp2,8,8548,2,0,0,100,True,11
189754.688639346,u6keytnvqym1,Randolph,5,gkjg4a,64,21253,1,0,0,228,True,11
189755.374494082,u6keytnvqym1,Randolph,5,3ormp2,52,53437,1,0,0,228,True,11
189756.069151259,u6keytnvqym1,Randolph,5,gkjg4a,23,10144,1,0,0,228,True,12
189756.437289407,u6keytnvqym1,Randolph,5,3ormp2,56,46209,2,0,0,100,True,11
189756.809160622,u6keytnvqym1,Randolph,5,3ormp2,50,4341,2,0,0,100,True,11
