t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
189704.290568173,ug7qo30h0clu,Daisy,0,bz8tbo,41,47779,1,228,0,0,True,0
189705.034331017,ug7qo30h0clu,Daisy,0,bz8tbo,57,6808,1,228,0,0,True,0
189705.781807101,ug7qo30h0clu,Daisy,0,bz8tbo,21,59202,1,228,0,0,True,0
189706.558909086,ug7qo30h0clu,Daisy,0,bz8tbo,11,19737,1,228,0,0,True,0
189707.334351434,ug7qo30h0clu,Daisy,0,bz8tbo,43,34527,1,228,0,0,True,0
189708.11958592,ug7qo30h0clu,Daisy,0,bz8tbo,1,31760,1,228,0,0,True,3
189708.584127546,ug7qo30h0clu,Daisy,1,gkjg4a,16,6585,2,0,0,100,True,4
189708.966096865,ug7qo30h0clu,Daisy,1,gkjg4a,35,19244,2,0,0,100,True,4
189709.336108485,ug7qo30h0clu,Daisy,1,3ormp2,49,53642,2,0,0,100,True,3
189709.739893307,ug7qo30h0clu,Daisy,1,gkjg4a,12,4091,2,0,0,100,True,3
189710.113022021,ug7qo30h0clu,Daisy,1,zy3aln,40,44801,2,0,0,100,True,4
189710.798599399,ug7qo30h0clu,Daisy,1,zy3aln,18,28840,1,0,0,228,True,5
189711.48399899,ug7qo30h0clu,Daisy,1,zy3aln,23,31687,1,0,0,228,True,5
189711.849435873,ug7qo30h0clu,Daisy,1,3ormp2,60,15852,2,0,0,100,True,6
189712.205300614,ug7qo30h0clu,Daisy,1,gkjg4a,69,37303,2,0,0,100,True,5
189712.56730292,ug7qo30h0clu,Daisy,1,zy3aln,67,38660,2,0,0,100,True,4
189712.571514659,ug7qo30h0clu,Daisy,1,bz8tbo,21,59202,2,0,100,0,True,3
189713.268856356,ug7qo30h0clu,Daisy,1,gkjg4a,76,9659,1,0,0,228,True,4
189713.960241579,ug7qo30h0clu,Daisy,1,gkjg4a,66,56651,1,0,0,228,True,3
189714.324391077,ug7qo30h0clu,Daisy,1,3ormp2,38,42481,2,0,0,100,True,2
189714.688428782,ug7qo30h0clu,Daisy,1,gkjg4a,7,28125,2,0,0,100,True,1
189715.389556943,ug7qo30h0clu,Daisy,1,gkjg4a,56,16963,1,0,0,228,True,0
189716.092934514,ug7qo30h0clu,Daisy,1,bz8tbo,68,43416,1,228,0,0,True,1
189716.472711394,ug7qo30h0clu,Daisy,1,3ormp2,46,32628,2,0,0,100,True,0
189717.168481851,ug7qo30h0clu,Daisy,1,bz8tbo,29,16979,1,228,0,0,True,2
189717.85648571,ug7qo30h0clu,Daisy,1,3ormp2,68,36190,1,0,0,228,True,3
189718.57158,ug7qo30h0clu,Daisy,2,3ormp2,22,19020,1,0,0,228,True,2
189718.940619729,ug7qo30h0clu,Daisy,2,gkjg4a,76,9659,2,0,0,100,True,1
189719.324086753,ug7qo30h0clu,Daisy,2,3ormp2,31,21171,2,0,0,100,True,0
189720.008440112,ug7qo30h0clu,Daisy,2,bz8tbo,32,31901,1,228,0,0,True,0
189720.701509045,ug7qo30h0clu,Daisy,2,bz8tbo,50,63096,1,228,0,0,True,1
189721.38080894,ug7qo30h0clu,Daisy,2,gkjg4a,6,55826,1,0,0,228,True,1
189722.089973815,ug7qo30h0clu,Daisy,2,3ormp2,70,30755,1,0,0,228,True,1
189722.779843517,ug7qo30h0clu,Daisy,2,gkjg4a,61,1706,1,0,0,228,True,1
189723.471810994,ug7qo30h0clu,Daisy,2,3ormp2,5,62797,1,0,0,228,True,1
189723.840064903,ug7qo30h0clu,Daisy,2,3ormp2,63,32989,2,0,0,100,True,0
189724.542951015,ug7qo30h0clu,Daisy,2,bz8tbo,75,3576,1,228,0,0,True,1
189724.911900675,ug7qo30h0clu,Daisy,2,gkjg4a,26,52458,2,0,0,100,True,0
189725.620966586,ug7qo30h0clu,Daisy,2,bz8tbo,27,55363,1,228,0,0,True,0
189726.360993036,ug7qo30h0clu,Daisy,2,bz8tbo,64,56287,1,228,0,0,True,2
189726.739823246,ug7qo30h0clu,Daisy,2,3ormp2,29,562,2,0,0,100,True,1
189727.424069,ug7qo30h0clu,Daisy,2,3ormp2,54,43215,1,0,0,228,True,1
189728.135795603,ug7qo30h0clu,Daisy,2,gkjg4a,68,14050,1,0,0,228,True,2
189728.593091796,ug7qo30h0clu,Daisy,3,3ormp2,54,43215,2,0,0,100,True,1
189729.292904242,ug7qo30h0clu,Daisy,3,gkjg4a,78,38665,1,0,0,228,True,0
189729.989145557,ug7qo30h0clu,Daisy,3,bz8tbo,2,51087,1,228,0,0,True,0
189730.680475649,ug7qo30h0clu,Daisy,3,bz8tbo,19,55224,1,228,0,0,True,1
189731.067234693,ug7qo30h0clu,Daisy,3,3ormp2,61,12312,2,0,0,100,True,0
189731.769014572,ug7qo30h0clu,Daisy,3,bz8tbo,38,5385,1,228,0,0,True,1
189732.148735827,ug7qo30h0clu,Daisy,3,3ormp2,3,7262,2,0,0,100,True,0
189732.85066463,ug7qo30h0clu,Daisy,3,bz8tbo,9,60297,1,228,0,0,True,0
189733.547478704,ug7qo30h0clu,Daisy,3,bz8tbo,48,17640,1,228,0,0,True,1
189734.246172977,ug7qo30h0clu,Daisy,3,3ormp2,37,56140,1,0,0,228,True,0
189734.939197812,ug7qo30h0clu,Daisy,3,bz8tbo,8,58714,1,228,0,0,True,0
189735.627532673,ug7qo30h0clu,Daisy,3,bz8tbo,23,55477,1,228,0,0,True,1
189736.004879365,ug7qo30h0clu,Daisy,3,gkjg4a,68,14050,2,0,0,100,True,1
189736.010796825,ug7qo30h0clu,Daisy,3,bz8tbo,38,5385,2,0,100,0,True,0
