t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
189704.991598855,xi3riwzzu8hn,Randolph,0,3ormp2,69,56354,1,0,0,228,True,1
189705.357312023,xi3riwzzu8hn,Randolph,0,bz8tbo,41,47779,2,0,0,100,True,1
189706.042851568,xi3riwzzu8hn,Randolph,0,3ormp2,49,53642,1,0,0,228,True,0
189707.251306704,xi3riwzzu8hn,Randolph,0,3ormp2,60,15852,1,0,0,228,True,3
189707.948170918,xi3riwzzu8hn,Randolph,0,bz8tbo,57,6808,1,0,0,228,True,2
189708.734721494,xi3riwzzu8hn,Randolph,1,gkjg4a,69,37303,1,0,0,228,True,2
189709.108933233,xi3riwzzu8hn,Randolph,1,bz8tbo,21,59202,2,0,0,100,True,1
189709.487099553,xi3riwzzu8hn,Randolph,1,3ormp2,69,56354,2,0,0,100,True,0
189710.125320428,xi3riwzzu8hn,Randolph,1,3ormp2,49,53642,2,0,0,100,True,0
189711.251973992,xi3riwzzu8hn,Randolph,1,gkjg4a,65,35781,1,0,0,228,True,1
189711.612120997,xi3riwzzu8hn,Randolph,1,bz8tbo,1,31760,2,0,0,100,True,0
189712.397469714,xi3riwzzu8hn,Randolph,1,3ormp2,21,60262,1,0,0,228,True,0
189713.456434339,xi3riwzzu8hn,Randolph,1,3ormp2,36,38985,1,0,0,228,True,1
189713.826626999,xi3riwzzu8hn,Randolph,1,3ormp2,35,739,2,0,0,100,True,1
189714.517057222,xi3riwzzu8hn,Randolph,1,3ormp2,68,36190,1,0,0,228,True,1
189714.885354046,xi3riwzzu8hn,Randolph,1,3ormp2,45,49226,2,0,0,100,True,2
189715.276770904,xi3riwzzu8hn,Randolph,1,3ormp2,2,1789,2,0,0,100,True,2
189715.971083786,xi3riwzzu8hn,Randolph,1,3ormp2,22,19020,1,0,0,228,True,1
189716.667942949,xi3riwzzu8hn,Randolph,1,gkjg4a,46,46536,1,0,0,228,True,1
189717.354671644,xi3riwzzu8hn,Randolph,1,3ormp2,1,60187,1,0,0,228,True,0
189717.824791783,xi3riwzzu8hn,Randolph,1,3ormp2,46,32628,2,0,0,100,True,1
189718.549111235,xi3riwzzu8hn,Randolph,2,3ormp2,20,19767,1,0,0,228,True,1
189718.907897566,xi3riwzzu8hn,Randolph,2,gkjg4a,56,16963,2,0,0,100,True,0
189719.89917293,xi3riwzzu8hn,Randolph,2,3ormp2,63,32989,1,0,0,228,True,0
189720.591085319,xi3riwzzu8hn,Randolph,2,bz8tbo,29,16979,2,0,0,100,True,0
189721.683143108,xi3riwzzu8hn,Randolph,2,3ormp2,29,562,1,0,0,228,True,2
189722.082455394,xi3riwzzu8hn,Randolph,2,3ormp2,22,19020,2,0,0,100,True,1
189722.45812409,xi3riwzzu8hn,Randolph,2,3ormp2,20,19767,2,0,0,100,True,0
189723.04876125,xi3riwzzu8hn,Randolph,2,3ormp2,1,60187,2,0,0,100,True,0
189724.533814665,xi3riwzzu8hn,Randolph,2,3ormp2,54,43215,1,0,0,228,True,4
189724.907173371,xi3riwzzu8hn,Randolph,2,3ormp2,70,30755,2,0,0,100,True,3
189725.593557686,xi3riwzzu8hn,Randolph,2,gkjg4a,61,1706,1,0,0,228,True,5
189725.99875701,xi3riwzzu8hn,Randolph,2,gkjg4a,19,10158,2,0,0,100,True,5
189726.38004175,xi3riwzzu8hn,Randolph,2,3ormp2,63,32989,2,0,0,100,True,4
189726.74466167,xi3riwzzu8hn,Randolph,2,3ormp2,5,62797,2,0,0,100,True,3
189727.441446736,xi3riwzzu8hn,Randolph,2,3ormp2,3,7262,1,0,0,228,True,4
189727.807285144,xi3riwzzu8hn,Randolph,2,bz8tbo,32,31901,2,0,0,100,True,4
189728.553309192,xi3riwzzu8hn,Randolph,3,3ormp2,53,31878,1,0,0,228,True,5
189738.579466605,xi3riwzzu8hn,Randolph,4,3ormp2,28,4441,2,0,0,100,True,4
189739.284674456,xi3riwzzu8hn,Randolph,4,3ormp2,24,54101,1,0,0,228,True,3
189739.993375264,xi3riwzzu8hn,Randolph,4,bz8tbo,27,55363,1,0,0,228,True,3
189740.372380417,xi3riwzzu8hn,Randolph,4,gkjg4a,30,45377,2,0,0,100,True,4
189741.085588413,xi3riwzzu8hn,Randolph,4,bz8tbo,64,56287,1,0,0,228,True,7
189741.464473534,xi3riwzzu8hn,Randolph,4,3ormp2,16,63395,2,0,0,100,True,6
189742.176940284,xi3riwzzu8hn,Randolph,4,3ormp2,66,57694,1,0,0,228,True,6
189742.88076313,xi3riwzzu8hn,Randolph,4,bz8tbo,69,46734,1,0,0,228,True,6
189743.258565069,xi3riwzzu8hn,Randolph,4,bz8tbo,27,55363,2,0,0,100,True,6
189743.629186094,xi3riwzzu8hn,Randolph,4,bz8tbo,63,60894,2,0,0,100,True,7
189744.30921612,xi3riwzzu8hn,Randolph,4,3ormp2,50,4341,1,0,0,228,True,7
189745.006030426,xi3riwzzu8hn,Randolph,4,gkjg4a,13,36847,1,0,0,228,True,8
189745.687735207,xi3riwzzu8hn,Randolph,4,bz8tbo,13,47258,1,0,0,228,True,10
189746.047800016,xi3riwzzu8hn,Randolph,4,3ormp2,24,54101,2,0,0,100,True,9
189746.734227596,xi3riwzzu8hn,Randolph,4,3ormp2,23,21111,1,0,0,228,True,10
189747.110022386,xi3riwzzu8hn,Randolph,4,bz8tbo,69,46734,2,0,0,100,True,10
189747.481584425,xi3riwzzu8hn,Randolph,4,3ormp2,0,16602,2,0,0,100,True,10
189748.166730344,xi3riwzzu8hn,Randolph,5,bz8tbo,33,35866,1,0,0,228,True,10
189748.576800301,xi3riwzzu8hn,Randolph,5,bz8tbo,24,14222,2,0,0,100,True,9
189749.290656098,xi3riwzzu8hn,Randolph,5,3ormp2,15,57065,1,0,0,228,True,11
189749.981147175,xi3riwzzu8hn,Randolph,5,bz8tbo,70,14257,1,0,0,228,True,10
189750.676260474,xi3riwzzu8hn,Randolph,5,gkjg4a,22,2192,1,0,0,228,True,11
189751.358612409,xi3riwzzu8hn,Randolph,5,bz8tbo,25,2540,1,0,0,228,True,13
189751.731760889,xi3riwzzu8hn,Randolph,5,3ormp2,6,46565,2,0,0,100,True,13
189752.436676611,xi3riwzzu8hn,Randolph,5,3ormp2,57,37759,1,0,0,228,True,13
189753.123673199,xi3riwzzu8hn,Randolph,5,bz8tbo,30,42087,1,0,0,228,True,13
189753.483760762,xi3riwzzu8hn,Randolph,5,3ormp2,73,40424,2,0,0,100,True,13
189753.863520479,xi3riwzzu8hn,Randolph,5,gkjg4a,17,28906,2,0,0,100,True,14
189754.249123662,xi3riwzzu8hn,Randolph,5,bz8tbo,33,35866,2,0,0,100,True,13
189754.610017322,xi3riwzzu8hn,Randolph,5,3ormp2,33,43516,2,0,0,100,True,13
189755.304671751,xi3riwzzu8hn,Randolph,5,3ormp2,42,11679,1,0,0,228,True,13
189755.682488462,xi3riwzzu8hn,Randolph,5,bz8tbo,70,14257,2,0,0,100,True,13
189756.368206914,xi3riwzzu8hn,Randolph,5,3ormp2,72,3969,1,0,0,228,True,13
189756.742596517,xi3riwzzu8hn,Randolph,5,3ormp2,25,65051,2,0,0,100,True,14
189757.137914452,xi3riwzzu8hn,Randolph,5,gkjg4a,22,2192,2,0,0,100,True,13
189757.836552304,xi3riwzzu8hn,Randolph,5,3ormp2,30,8116,1,0,0,228,True,12
189758.549799866,xi3riwzzu8hn,Randolph,6,gkjg4a,25,46707,1,0,0,228,True,13
189759.277447501,xi3riwzzu8hn,Randolph,6,3ormp2,75,24869,1,0,0,228,True,12
189759.955819077,xi3riwzzu8hn,Randolph,6,3ormp2,59,33074,1,0,0,228,True,12
189760.646996659,xi3riwzzu8hn,Randolph,6,3ormp2,77,14550,1,0,0,228,True,12
189761.021483245,xi3riwzzu8hn,Randolph,6,3ormp2,15,57065,2,0,0,100,True,12
189761.718297582,xi3riwzzu8hn,Randolph,6,bz8tbo,59,54172,1,0,0,228,True,12
