t,user,current_round
189698.171088215,Daisy,0
189708.28076657,Daisy,1
189718.34224855,Daisy,2
189728.379043386,Daisy,3
189738.411579494,Daisy,4
189748.434263993,Daisy,5
189758.438143138,Daisy,6
189768.449461797,Daisy,7
189778.483724575,Daisy,8
189788.505172391,Daisy,9
189798.539782682,Daisy,10
189808.552424218,Daisy,11
189818.571583774,Daisy,12
189828.576257214,Daisy,13
189838.616249222,Daisy,14
189848.63280936,Daisy,15
189858.643273008,Daisy,16
189868.644252809,Daisy,17
189878.644801543,Daisy,18
189888.651048487,Daisy,19
189898.659392241,Daisy,20
189908.674069121,Daisy,21
189918.6807031,Daisy,22
189928.688246063,Daisy,23
189938.694411981,Daisy,24
189948.702269848,Daisy,25
189958.702586471,Daisy,26
189968.704830923,Daisy,27
189978.711626704,Daisy,28
189988.717146417,Daisy,29
189998.720757616,Daisy,30
190008.721825966,Daisy,31
190018.722404189,Daisy,32
190028.729994087,Daisy,33
190038.736635295,Daisy,34
190048.738568466,Daisy,35
190058.741773692,Daisy,36
190068.747096996,Daisy,37
190078.750657809,Daisy,38
190088.753233902,Daisy,39
190098.75905697,Daisy,40
190108.765115718,Daisy,41
190118.771135121,Daisy,42
190128.777138613,Daisy,43
190138.780695463,Daisy,44
190148.783012659,Daisy,45
190158.789209272,Daisy,46
190168.7969299,Daisy,47
190178.797092374,Daisy,48
190188.80215488,Daisy,49
190198.803573346,Daisy,50
190208.811783811,Daisy,51
190218.817283547,Daisy,52
190228.817455421,Daisy,53
190238.829856589,Daisy,54
190248.833994944,Daisy,55
190258.835387138,Daisy,56
190268.845934888,Daisy,57
190278.849426213,Daisy,58
190288.851508559,Daisy,59
