t,user,current_round
189698.267333445,Elvera,0
189708.384996145,Elvera,1
189718.45625245,Elvera,2
189728.5143168,Elvera,3
189738.558445569,Elvera,4
189748.593340261,Elvera,5
189758.619731852,Elvera,6
189768.694504372,Elvera,7
189778.701160186,Elvera,8
189788.71914693,Elvera,9
189798.739593387,Elvera,10
189808.739962352,Elvera,11
189818.757239648,Elvera,12
189828.770542967,Elvera,13
189838.796916043,Elvera,14
189848.814134866,Elvera,15
189858.82242523,Elvera,16
189868.831069616,Elvera,17
189878.835623449,Elvera,18
189888.836236953,Elvera,19
189898.849154971,Elvera,20
189908.864620584,Elvera,21
189918.867756898,Elvera,22
189928.875536021,Elvera,23
189938.878411562,Elvera,24
189948.878660467,Elvera,25
189958.893847725,Elvera,26
189968.902138264,Elvera,27
189978.919495191,Elvera,28
189988.928071025,Elvera,29
189998.931061994,Elvera,30
190008.936533624,Elvera,31
190018.944575082,Elvera,32
190028.948849319,Elvera,33
190038.955669188,Elvera,34
190048.958465414,Elvera,35
190058.960717242,Elvera,36
190068.966212088,Elvera,37
190078.970497335,Elvera,38
190088.977114217,Elvera,39
190098.986717428,Elvera,40
190108.997815739,Elvera,41
190119.004444142,Elvera,42
190129.006275865,Elvera,43
190139.009042219,Elvera,44
190149.009204025,Elvera,45
190159.018257074,Elvera,46
190169.020199049,Elvera,47
190179.024261289,Elvera,48
190189.027939342,Elvera,49
190199.0313577,Elvera,50
190209.033688976,Elvera,51
190219.042185492,Elvera,52
190229.049425658,Elvera,53
190239.052142239,Elvera,54
190249.055763792,Elvera,55
190259.061930124,Elvera,56
190269.065859521,Elvera,57
190279.069165776,Elvera,58
190289.076090997,Elvera,59
