t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success
167022.939441548,3pa58srkzirm,Kaci,0,3n1k98,31,3128434825,1,0,0,228,True
167023.665905467,3pa58srkzirm,Kaci,0,3n1k98,27,383773353,1,0,0,228,True
167024.362647738,3pa58srkzirm,Kaci,0,3n1k98,2,1227094172,1,0,0,228,True
167025.79433831,3pa58srkzirm,Kaci,1,3n1k98,65,2242291667,1,0,0,228,True
167026.524405495,3pa58srkzirm,Kaci,1,3n1k98,72,2999457820,2,0,0,100,True
167030.077761766,3pa58srkzirm,Kaci,1,3n1k98,75,3454198005,2,0,0,100,True
167038.512655711,3pa58srkzirm,Kaci,2,3n1k98,38,1118631412,1,0,0,228,True
167040.599784383,3pa58srkzirm,Kaci,2,3n1k98,40,1916219923,1,0,0,228,True
167042.699741058,3pa58srkzirm,Kaci,2,3n1k98,71,703667131,1,0,0,228,True
167043.063224522,3pa58srkzirm,Kaci,2,3n1k98,37,3184784417,2,0,0,100,True
167043.75104333,3pa58srkzirm,Kaci,2,3n1k98,41,1565476145,1,0,0,228,True
167044.541842479,3pa58srkzirm,Kaci,2,3n1k98,30,3921613419,2,0,0,100,True
167044.899300025,3pa58srkzirm,Kaci,2,3n1k98,64,1590801799,2,0,0,100,True
