t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success
167025.434641992,5nhr5df8dlch,Renna,0,3n1k98,54,1439498222,2,0,0,100,True
167039.19889206,5nhr5df8dlch,Renna,2,3n1k98,28,3615844331,1,0,0,228,True
167041.318077975,5nhr5df8dlch,Renna,2,3n1k98,64,3281308174,1,0,0,228,True
167042.398753801,5nhr5df8dlch,Renna,2,3n1k98,28,114766750,2,0,0,100,True
167043.531388332,5nhr5df8dlch,Renna,2,3n1k98,40,2773339946,2,0,0,100,True
167044.216625378,5nhr5df8dlch,Renna,2,3n1k98,23,3922556204,1,0,0,228,True
167046.12108707,5nhr5df8dlch,Renna,3,3n1k98,78,2126434868,1,0,0,228,True
167048.196709835,5nhr5df8dlch,Renna,3,3n1k98,39,3331329127,1,0,0,228,True
167050.931057923,5nhr5df8dlch,Renna,3,3n1k98,66,325170077,1,0,0,228,True
167053.41997839,5nhr5df8dlch,Renna,3,3n1k98,79,3642325689,2,0,0,100,True
167054.347037594,5nhr5df8dlch,Renna,3,3n1k98,36,3384531800,1,0,0,228,True
167055.037426798,5nhr5df8dlch,Renna,3,3n1k98,74,307338772,1,0,0,228,True
167057.12781527,5nhr5df8dlch,Renna,4,3n1k98,8,2859153081,1,0,0,228,True
167057.530497459,5nhr5df8dlch,Renna,4,3n1k98,1,2666483817,2,0,0,100,True
167058.513745483,5nhr5df8dlch,Renna,4,3n1k98,53,3011519698,1,0,0,228,True
167060.603651748,5nhr5df8dlch,Renna,4,3n1k98,44,2980733752,1,0,0,228,True
167062.692529385,5nhr5df8dlch,Renna,4,3n1k98,61,3317728621,1,0,0,228,True
167063.385632289,5nhr5df8dlch,Renna,4,3n1k98,58,1004608688,1,0,0,228,True
167063.796834717,5nhr5df8dlch,Renna,4,3n1k98,0,140189212,2,0,0,100,True
167065.524401565,5nhr5df8dlch,Renna,4,3n1k98,53,918283944,2,0,0,100,True
167066.855640762,5nhr5df8dlch,Renna,5,3n1k98,12,714503132,1,0,0,228,True
167067.219911393,5nhr5df8dlch,Renna,5,3n1k98,25,353439731,2,0,0,100,True
167067.905475929,5nhr5df8dlch,Renna,5,3n1k98,47,905696817,1,0,0,228,True
167071.81821387,5nhr5df8dlch,Renna,5,3n1k98,74,3710159837,2,0,0,100,True
167072.179370426,5nhr5df8dlch,Renna,5,3n1k98,47,4204654496,2,0,0,100,True
167073.150267145,5nhr5df8dlch,Renna,5,3n1k98,4,3414460544,2,0,0,100,True
167073.512668156,5nhr5df8dlch,Renna,5,3n1k98,12,4262625994,2,0,0,100,True
167074.617039124,5nhr5df8dlch,Renna,5,3n1k98,15,3535951035,2,0,0,100,True
167140.024382339,5nhr5df8dlch,Renna,12,3n1k98,62,3529912040,1,0,0,228,True
167142.121458992,5nhr5df8dlch,Renna,12,3n1k98,55,877096199,1,0,0,228,True
167142.814897185,5nhr5df8dlch,Renna,12,3n1k98,62,380165870,1,0,0,228,True
167143.179988446,5nhr5df8dlch,Renna,12,3n1k98,21,1144348995,2,0,0,100,True
167143.550750829,5nhr5df8dlch,Renna,12,3n1k98,76,3573067213,2,0,0,100,True
167145.595978476,5nhr5df8dlch,Renna,12,3n1k98,55,3742072492,1,0,0,228,True
