t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success
167018.696487775,83zvb4oz95iq,Norene,0,d1wh07,62,3289435750,1,0,0,228,True
167019.374661745,83zvb4oz95iq,Norene,0,3n1k98,68,3576202853,1,0,0,228,True
167020.122969543,83zvb4oz95iq,Norene,0,3n1k98,68,950780813,2,0,0,100,True
167022.94294527,83zvb4oz95iq,Norene,0,d1wh07,10,729197944,1,0,0,228,True
167023.305395921,83zvb4oz95iq,Norene,0,3n1k98,54,1439498222,2,0,0,100,True
167023.982954049,83zvb4oz95iq,Norene,0,d1wh07,22,3242377229,1,0,0,228,True
167024.663589204,83zvb4oz95iq,Norene,0,3n1k98,72,935237385,1,0,0,228,True
167025.341495464,83zvb4oz95iq,Norene,0,d1wh07,56,695604470,1,0,0,228,True
167027.897438746,83zvb4oz95iq,Norene,1,d1wh07,39,3393266448,1,0,0,228,True
167028.581959141,83zvb4oz95iq,Norene,1,3n1k98,75,1736630928,1,0,0,228,True
167028.944642471,83zvb4oz95iq,Norene,1,3n1k98,65,1594661926,2,0,0,100,True
167029.344039165,83zvb4oz95iq,Norene,1,3n1k98,75,3454198005,2,0,0,100,True
167029.705937573,83zvb4oz95iq,Norene,1,d1wh07,39,859105308,2,0,0,100,True
167030.673761661,83zvb4oz95iq,Norene,1,d1wh07,70,1528486703,1,0,0,228,True
167035.69750549,83zvb4oz95iq,Norene,2,d1wh07,38,253068767,2,0,0,100,True
167036.871156555,83zvb4oz95iq,Norene,2,d1wh07,42,1170836833,1,0,0,228,True
167041.02069843,83zvb4oz95iq,Norene,2,d1wh07,61,795334340,1,0,0,228,True
167041.38068669,83zvb4oz95iq,Norene,2,3n1k98,37,3184784417,2,0,0,100,True
167042.061118299,83zvb4oz95iq,Norene,2,3n1k98,40,1916219923,1,0,0,228,True
167042.441147908,83zvb4oz95iq,Norene,2,d1wh07,73,2498949641,2,0,0,100,True
167043.127499348,83zvb4oz95iq,Norene,2,d1wh07,6,881057015,1,0,0,228,True
167044.139653503,83zvb4oz95iq,Norene,2,d1wh07,74,562104361,1,0,0,228,True
167045.250210907,83zvb4oz95iq,Norene,2,3n1k98,71,3260614438,2,0,0,100,True
167045.632754954,83zvb4oz95iq,Norene,3,d1wh07,6,2184651157,2,0,0,100,True
167066.287259523,83zvb4oz95iq,Norene,5,d1wh07,50,587670513,1,0,0,228,True
167066.648239555,83zvb4oz95iq,Norene,5,d1wh07,74,3126327750,2,0,0,100,True
167068.247353954,83zvb4oz95iq,Norene,5,d1wh07,50,408460131,2,0,0,100,True
167068.929040953,83zvb4oz95iq,Norene,5,d1wh07,36,810660780,1,0,0,228,True
167069.387430923,83zvb4oz95iq,Norene,5,3n1k98,35,200157190,2,0,0,100,True
167070.275914162,83zvb4oz95iq,Norene,5,d1wh07,19,1126736422,1,0,0,228,True
167070.634784703,83zvb4oz95iq,Norene,5,3n1k98,47,4204654496,2,0,0,100,True
167071.313632932,83zvb4oz95iq,Norene,5,3n1k98,63,1548097509,1,0,0,228,True
167071.996390189,83zvb4oz95iq,Norene,5,d1wh07,46,2805887859,1,0,0,228,True
167072.359523618,83zvb4oz95iq,Norene,5,d1wh07,36,1320976190,2,0,0,100,True
167072.721921782,83zvb4oz95iq,Norene,5,3n1k98,15,3535951035,2,0,0,100,True
167074.716339227,83zvb4oz95iq,Norene,5,d1wh07,35,3271051674,1,0,0,228,True
167118.032825789,83zvb4oz95iq,Norene,10,3n1k98,7,1714995071,1,0,0,228,False
167120.112397693,83zvb4oz95iq,Norene,10,3n1k98,16,3456101644,1,0,0,228,False
167120.80230875,83zvb4oz95iq,Norene,10,3n1k98,19,2845912222,1,0,0,228,False
167126.929149927,83zvb4oz95iq,Norene,11,3n1k98,16,756303577,1,0,0,228,True
167147.718980026,83zvb4oz95iq,Norene,13,3n1k98,55,1827046714,1,0,0,228,True
167148.083196644,83zvb4oz95iq,Norene,13,3n1k98,55,1042845577,2,0,0,100,True
167148.441735904,83zvb4oz95iq,Norene,13,3n1k98,55,1784533333,2,0,0,100,True
