t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success
167020.097240299,a79hbonj35yj,Lucy,0,d1wh07,14,290322236,1,0,0,228,True
167021.485821979,a79hbonj35yj,Lucy,0,d1wh07,77,2968162573,1,0,0,228,True
167025.10135663,a79hbonj35yj,Lucy,0,d1wh07,4,3023044165,2,0,0,100,True
167028.590911392,a79hbonj35yj,Lucy,1,d1wh07,3,1253735325,1,0,0,228,True
167030.389087002,a79hbonj35yj,Lucy,1,d1wh07,3,800650593,2,0,0,100,True
167031.411665905,a79hbonj35yj,Lucy,1,d1wh07,54,2678450897,2,0,0,100,True
167032.090545913,a79hbonj35yj,Lucy,1,d1wh07,72,1943852456,1,0,0,228,True
167047.291629618,a79hbonj35yj,Lucy,3,d1wh07,24,2561325541,1,0,0,228,True
167059.602388483,a79hbonj35yj,Lucy,4,d1wh07,5,2848063499,2,0,0,100,True
167062.727732196,a79hbonj35yj,Lucy,4,d1wh07,55,2018781601,1,0,0,228,True
167064.508063201,a79hbonj35yj,Lucy,4,d1wh07,55,1051416576,2,0,0,100,True
167070.96531045,a79hbonj35yj,Lucy,5,d1wh07,69,3564260266,1,0,0,228,True
167073.82467148,a79hbonj35yj,Lucy,5,d1wh07,69,1575128713,2,0,0,100,True
167074.188649267,a79hbonj35yj,Lucy,5,d1wh07,19,973821,2,0,0,100,True
167074.547866095,a79hbonj35yj,Lucy,5,d1wh07,46,3496511535,2,0,0,100,True
167076.468845496,a79hbonj35yj,Lucy,6,d1wh07,59,1874904462,1,0,0,228,True
167076.835388095,a79hbonj35yj,Lucy,6,d1wh07,12,2098535410,2,0,0,100,True
167077.521784483,a79hbonj35yj,Lucy,6,d1wh07,66,69198618,1,0,0,228,True
167079.652321405,a79hbonj35yj,Lucy,6,d1wh07,66,950898163,2,0,0,100,True
167089.193958294,a79hbonj35yj,Lucy,7,d1wh07,40,420295106,2,0,0,100,True
167091.263864238,a79hbonj35yj,Lucy,7,d1wh07,75,2126326301,2,0,0,100,True
167091.965357742,a79hbonj35yj,Lucy,7,d1wh07,16,3431487368,1,0,0,228,True
167093.328488036,a79hbonj35yj,Lucy,7,d1wh07,79,3630198720,1,0,0,228,True
167095.428493175,a79hbonj35yj,Lucy,7,d1wh07,79,551600121,2,0,0,100,True
167096.167843878,a79hbonj35yj,Lucy,8,d1wh07,18,3877374448,1,0,0,228,True
167096.848621317,a79hbonj35yj,Lucy,8,d1wh07,32,1514776945,1,0,0,228,True
167098.857761644,a79hbonj35yj,Lucy,8,d1wh07,17,891196446,1,0,0,228,True
167100.939316505,a79hbonj35yj,Lucy,8,d1wh07,44,90037046,1,0,0,228,True
167105.070492441,a79hbonj35yj,Lucy,8,d1wh07,44,1453731402,1,0,0,228,True
167105.493203689,a79hbonj35yj,Lucy,8,d1wh07,27,629038909,2,0,0,100,True
167106.530129644,a79hbonj35yj,Lucy,9,d1wh07,7,2995711341,1,0,0,228,True
167106.893608977,a79hbonj35yj,Lucy,9,d1wh07,44,3940964438,2,0,0,100,True
167111.063850773,a79hbonj35yj,Lucy,9,d1wh07,27,2649856010,2,0,0,100,True
