t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success
167034.250752946,cpsyohfaqk99,Elvera,1,d1wh07,72,2622037547,2,0,0,100,True
167034.929232076,cpsyohfaqk99,Elvera,1,d1wh07,34,567441852,1,0,0,228,True
167059.183827717,cpsyohfaqk99,Elvera,4,d1wh07,29,2761795276,1,0,0,228,True
167060.575323785,cpsyohfaqk99,Elvera,4,d1wh07,58,3381544336,1,0,0,228,True
167060.983223592,cpsyohfaqk99,Elvera,4,d1wh07,29,2412334920,2,0,0,100,True
167061.690668883,cpsyohfaqk99,Elvera,4,d1wh07,60,1826393909,2,0,0,100,True
167062.357012245,cpsyohfaqk99,Elvera,4,d1wh07,58,1792868587,2,0,0,100,True
167064.052730451,cpsyohfaqk99,Elvera,4,d1wh07,51,4116871976,1,0,0,228,True
167064.417831353,cpsyohfaqk99,Elvera,4,d1wh07,41,397510950,2,0,0,100,True
167064.781359083,cpsyohfaqk99,Elvera,4,d1wh07,65,3474591497,2,0,0,100,True
167065.47830565,cpsyohfaqk99,Elvera,4,d1wh07,63,3548037180,1,0,0,228,True
167076.327891789,cpsyohfaqk99,Elvera,6,d1wh07,9,213165929,2,0,0,100,True
167077.184290926,cpsyohfaqk99,Elvera,6,d1wh07,20,2803653850,1,0,0,228,True
