t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success
167020.108091885,fmgkfubywbzm,Brande,0,3n1k98,50,288572892,1,0,0,228,True
167020.827262917,fmgkfubywbzm,Brande,0,3n1k98,49,4019565597,1,0,0,228,True
167020.830965059,fmgkfubywbzm,Brande,0,3n1k98,68,950780813,2,0,100,0,True
167020.865528455,fmgkfubywbzm,Brande,0,3n1k98,52,1887742472,2,0,100,0,True
167022.274812422,fmgkfubywbzm,Brande,0,3n1k98,49,3141117646,2,0,100,0,True
167024.359102806,fmgkfubywbzm,Brande,0,3n1k98,27,383773353,1,0,0,228,True
167026.480066588,fmgkfubywbzm,Brande,1,3n1k98,65,2242291667,1,0,0,228,True
167026.485173873,fmgkfubywbzm,Brande,1,3n1k98,31,984375900,2,0,100,0,True
167029.687591431,fmgkfubywbzm,Brande,1,3n1k98,65,1594661926,2,0,100,0,True
167039.422679416,fmgkfubywbzm,Brande,2,3n1k98,34,396849683,2,0,100,0,True
167040.975663638,fmgkfubywbzm,Brande,2,3n1k98,38,2925061010,2,0,100,0,True
167044.434492474,fmgkfubywbzm,Brande,2,3n1k98,41,1565476145,1,0,0,228,True
167044.904647052,fmgkfubywbzm,Brande,2,3n1k98,64,1590801799,2,0,100,0,True
167045.25530526,fmgkfubywbzm,Brande,2,3n1k98,71,3260614438,2,0,100,0,True
167045.90348777,fmgkfubywbzm,Brande,3,3n1k98,41,2769728369,2,0,100,0,True
167046.808321524,fmgkfubywbzm,Brande,3,3n1k98,78,2126434868,1,0,0,228,True
167047.489714773,fmgkfubywbzm,Brande,3,3n1k98,13,788209111,1,0,0,228,True
167048.201268662,fmgkfubywbzm,Brande,3,3n1k98,69,3269056011,1,0,0,228,True
167048.542911676,fmgkfubywbzm,Brande,3,3n1k98,23,910252656,2,0,100,0,True
167048.718258325,fmgkfubywbzm,Brande,3,3n1k98,78,4095957687,2,0,100,0,True
167050.135355756,fmgkfubywbzm,Brande,3,3n1k98,69,3898422164,2,0,100,0,True
167050.493466394,fmgkfubywbzm,Brande,3,3n1k98,39,1697045672,2,0,100,0,True
167051.656786399,fmgkfubywbzm,Brande,3,3n1k98,25,938757545,1,0,0,228,True
167052.533684796,fmgkfubywbzm,Brande,3,3n1k98,24,3504401801,1,0,0,228,True
167052.538224618,fmgkfubywbzm,Brande,3,3n1k98,3,537594155,2,0,100,0,True
167054.433361745,fmgkfubywbzm,Brande,3,3n1k98,1,3568916452,1,0,0,228,True
167056.503204726,fmgkfubywbzm,Brande,4,3n1k98,70,3484498290,1,0,0,228,True
167057.813623034,fmgkfubywbzm,Brande,4,3n1k98,8,2859153081,1,0,0,228,True
167057.817903212,fmgkfubywbzm,Brande,4,3n1k98,66,1195466768,2,0,100,0,True
167061.294948586,fmgkfubywbzm,Brande,4,3n1k98,44,2980733752,1,0,0,228,True
167063.381813791,fmgkfubywbzm,Brande,4,3n1k98,61,3317728621,1,0,0,228,True
167066.905225932,fmgkfubywbzm,Brande,5,3n1k98,59,1273461438,2,0,100,0,True
167067.942002731,fmgkfubywbzm,Brande,5,3n1k98,44,2431902217,2,0,100,0,True
167067.977932357,fmgkfubywbzm,Brande,5,3n1k98,61,912791586,2,0,100,0,True
167068.377135224,fmgkfubywbzm,Brande,5,3n1k98,33,943434594,2,0,100,0,True
167068.524163781,fmgkfubywbzm,Brande,5,3n1k98,45,2511405624,2,0,100,0,True
167068.651351506,fmgkfubywbzm,Brande,5,3n1k98,43,2098498783,2,0,100,0,True
167068.999165221,fmgkfubywbzm,Brande,5,3n1k98,29,85405690,2,0,100,0,True
167069.392380719,fmgkfubywbzm,Brande,5,3n1k98,35,200157190,2,0,100,0,True
167069.483239682,fmgkfubywbzm,Brande,5,3n1k98,36,3169149052,2,0,100,0,True
167071.451655605,fmgkfubywbzm,Brande,5,3n1k98,48,4289327840,2,0,100,0,True
167071.719672,fmgkfubywbzm,Brande,5,3n1k98,46,2711046539,2,0,100,0,True
167071.822898096,fmgkfubywbzm,Brande,5,3n1k98,74,3710159837,2,0,100,0,True
167076.221405658,fmgkfubywbzm,Brande,6,3n1k98,67,3373825795,1,0,0,228,True
167077.704085698,fmgkfubywbzm,Brande,6,3n1k98,6,1853199279,1,0,0,228,True
167077.708331737,fmgkfubywbzm,Brande,6,3n1k98,32,3212983770,2,0,100,0,True
167077.712581366,fmgkfubywbzm,Brande,6,3n1k98,67,821015788,2,0,100,0,True
167078.280886978,fmgkfubywbzm,Brande,6,3n1k98,26,1138817683,2,0,100,0,True
167079.63560093,fmgkfubywbzm,Brande,6,3n1k98,77,3776211543,1,0,0,228,True
167079.640699932,fmgkfubywbzm,Brande,6,3n1k98,42,494952541,2,0,100,0,True
167082.485936127,fmgkfubywbzm,Brande,6,3n1k98,77,3756399086,2,0,100,0,True
167082.808315076,fmgkfubywbzm,Brande,6,3n1k98,6,1875735097,2,0,100,0,True
167083.189405082,fmgkfubywbzm,Brande,6,3n1k98,73,442719266,2,0,100,0,True
167127.632114812,fmgkfubywbzm,Brande,11,3n1k98,19,304142067,1,0,0,228,True
167128.350906317,fmgkfubywbzm,Brande,11,3n1k98,7,1054651459,2,0,100,0,True
167129.092122217,fmgkfubywbzm,Brande,11,3n1k98,19,3257796917,2,0,100,0,True
167137.931689359,fmgkfubywbzm,Brande,12,3n1k98,17,3417455735,1,0,0,228,True
167139.33024408,fmgkfubywbzm,Brande,12,3n1k98,21,4168724189,1,0,0,228,True
167140.039446924,fmgkfubywbzm,Brande,12,3n1k98,76,2198078358,1,0,0,228,True
167140.720830057,fmgkfubywbzm,Brande,12,3n1k98,62,3529912040,1,0,0,228,True
167140.725128964,fmgkfubywbzm,Brande,12,3n1k98,17,1212923112,2,0,100,0,True
167142.810646139,fmgkfubywbzm,Brande,12,3n1k98,21,4225455827,1,0,0,228,True
167144.5884761,fmgkfubywbzm,Brande,12,3n1k98,22,684409487,2,0,100,0,True
167144.948162802,fmgkfubywbzm,Brande,12,3n1k98,55,4106318499,2,0,100,0,True
167145.307509836,fmgkfubywbzm,Brande,12,3n1k98,62,549097074,2,0,100,0,True
167145.680947041,fmgkfubywbzm,Brande,12,3n1k98,21,898615491,2,0,100,0,True
167147.029067148,fmgkfubywbzm,Brande,13,3n1k98,55,1827046714,1,0,0,228,True
167149.170443318,fmgkfubywbzm,Brande,13,3n1k98,55,1042845577,2,0,100,0,True
167156.571965985,fmgkfubywbzm,Brande,14,3n1k98,76,1107675003,2,0,100,0,True
