t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success
167022.245196782,kfmik27j3cc3,Kaci,0,3n1k98,54,696299026,1,0,0,228,True
167024.389818852,kfmik27j3cc3,Kaci,0,3n1k98,11,4081347771,2,0,0,100,True
167025.823263934,kfmik27j3cc3,Kaci,1,3n1k98,31,984375900,2,0,0,100,True
167026.188989934,kfmik27j3cc3,Kaci,1,3n1k98,27,2172025478,2,0,0,100,True
167027.189838045,kfmik27j3cc3,Kaci,1,3n1k98,14,885140627,1,0,0,228,True
167040.58414149,kfmik27j3cc3,Kaci,2,3n1k98,28,3615844331,1,0,0,228,True
167042.807877058,kfmik27j3cc3,Kaci,2,3n1k98,40,2773339946,2,0,0,100,True
167044.492441473,kfmik27j3cc3,Kaci,2,3n1k98,71,703667131,1,0,0,228,True
167067.604407969,kfmik27j3cc3,Kaci,5,3n1k98,48,204092659,1,0,0,228,True
167067.973312531,kfmik27j3cc3,Kaci,5,3n1k98,61,912791586,2,0,0,100,True
167069.282690357,kfmik27j3cc3,Kaci,5,3n1k98,47,905696817,1,0,0,228,True
167069.642245796,kfmik27j3cc3,Kaci,5,3n1k98,10,114477237,2,0,0,100,True
167070.330171022,kfmik27j3cc3,Kaci,5,3n1k98,15,370509566,1,0,0,228,True
167070.693476725,kfmik27j3cc3,Kaci,5,3n1k98,9,3971065730,2,0,0,100,True
167072.043721392,kfmik27j3cc3,Kaci,5,3n1k98,63,42183331,2,0,0,100,True
167073.724322482,kfmik27j3cc3,Kaci,5,3n1k98,32,3212983770,2,0,0,100,True
167074.086538754,kfmik27j3cc3,Kaci,5,3n1k98,56,3549181295,2,0,0,100,True
167077.018772052,kfmik27j3cc3,Kaci,6,3n1k98,60,1941836793,1,0,0,228,True
167077.64066131,kfmik27j3cc3,Kaci,6,3n1k98,67,821015788,2,0,0,100,True
167078.007658706,kfmik27j3cc3,Kaci,6,3n1k98,60,3876856073,2,0,0,100,True
