t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success
167019.395673789,l4y274bj8so8,Kaci,0,d1wh07,62,3289435750,1,0,0,228,True
167021.463716093,l4y274bj8so8,Kaci,0,d1wh07,11,274286669,1,0,0,228,True
167021.829168916,l4y274bj8so8,Kaci,0,d1wh07,14,509669306,2,0,0,100,True
167022.902356539,l4y274bj8so8,Kaci,0,d1wh07,77,1293944772,2,0,0,100,True
167023.639477234,l4y274bj8so8,Kaci,0,d1wh07,4,3556766100,1,0,0,228,True
167024.667831355,l4y274bj8so8,Kaci,0,d1wh07,22,3242377229,1,0,0,228,True
167025.028796612,l4y274bj8so8,Kaci,0,d1wh07,10,1817872644,2,0,0,100,True
167030.028583235,l4y274bj8so8,Kaci,1,d1wh07,3,800650593,2,0,0,100,True
167031.423244915,l4y274bj8so8,Kaci,1,d1wh07,48,3713039639,2,0,0,100,True
167032.102302317,l4y274bj8so8,Kaci,1,d1wh07,49,1067393401,1,0,0,228,True
167032.46540739,l4y274bj8so8,Kaci,1,d1wh07,70,811021336,2,0,0,100,True
167033.14707905,l4y274bj8so8,Kaci,1,d1wh07,72,1943852456,1,0,0,228,True
167033.51188348,l4y274bj8so8,Kaci,1,d1wh07,49,3100725686,2,0,0,100,True
167033.885647914,l4y274bj8so8,Kaci,1,d1wh07,72,2622037547,2,0,0,100,True
167034.572537186,l4y274bj8so8,Kaci,1,d1wh07,38,1187751603,1,0,0,228,True
167035.256582109,l4y274bj8so8,Kaci,1,d1wh07,37,1326387683,1,0,0,228,True
167036.86677012,l4y274bj8so8,Kaci,2,d1wh07,0,1089206186,1,0,0,228,True
167039.00531785,l4y274bj8so8,Kaci,2,d1wh07,67,3278305638,2,0,0,100,True
167039.68910926,l4y274bj8so8,Kaci,2,d1wh07,23,3401889014,1,0,0,228,True
167041.032620507,l4y274bj8so8,Kaci,2,d1wh07,33,1480022981,1,0,0,228,True
167041.399279528,l4y274bj8so8,Kaci,2,d1wh07,73,2498949641,2,0,0,100,True
167042.449501832,l4y274bj8so8,Kaci,2,d1wh07,61,2563181500,2,0,0,100,True
167043.78447172,l4y274bj8so8,Kaci,2,d1wh07,45,291971935,1,0,0,228,True
167046.026274676,l4y274bj8so8,Kaci,3,d1wh07,1,2071790935,2,0,0,100,True
167048.477982681,l4y274bj8so8,Kaci,3,d1wh07,15,4050512035,2,0,0,100,True
167049.178388752,l4y274bj8so8,Kaci,3,d1wh07,24,2487168362,2,0,0,100,True
167058.487949883,l4y274bj8so8,Kaci,4,d1wh07,5,3912413138,1,0,0,228,True
167060.625082331,l4y274bj8so8,Kaci,4,d1wh07,29,2412334920,2,0,0,100,True
167061.318104607,l4y274bj8so8,Kaci,4,d1wh07,60,1826393909,2,0,0,100,True
167063.408896265,l4y274bj8so8,Kaci,4,d1wh07,41,397510950,2,0,0,100,True
167063.772395497,l4y274bj8so8,Kaci,4,d1wh07,65,3474591497,2,0,0,100,True
167065.490114866,l4y274bj8so8,Kaci,4,d1wh07,51,762281084,2,0,0,100,True
167066.185533383,l4y274bj8so8,Kaci,5,d1wh07,71,2673111603,1,0,0,228,True
167068.252457202,l4y274bj8so8,Kaci,5,d1wh07,47,427709902,2,0,0,100,True
167070.349457229,l4y274bj8so8,Kaci,5,d1wh07,36,1320976190,2,0,0,100,True
167073.457895086,l4y274bj8so8,Kaci,5,d1wh07,69,1575128713,2,0,0,100,True
167073.820337442,l4y274bj8so8,Kaci,5,d1wh07,46,3496511535,2,0,0,100,True
167075.09685612,l4y274bj8so8,Kaci,5,d1wh07,9,3760287606,1,0,0,228,True
167077.146760555,l4y274bj8so8,Kaci,6,d1wh07,59,1874904462,1,0,0,228,True
167078.602599119,l4y274bj8so8,Kaci,6,d1wh07,20,4209929643,2,0,0,100,True
167079.291824636,l4y274bj8so8,Kaci,6,d1wh07,66,950898163,2,0,0,100,True
167089.205721172,l4y274bj8so8,Kaci,7,d1wh07,53,3494563644,2,0,0,100,True
167092.670706609,l4y274bj8so8,Kaci,7,d1wh07,52,325555409,2,0,0,100,True
167094.029575817,l4y274bj8so8,Kaci,7,d1wh07,79,3630198720,1,0,0,228,True
167094.705788572,l4y274bj8so8,Kaci,7,d1wh07,31,1144810245,1,0,0,228,True
167095.069185535,l4y274bj8so8,Kaci,7,d1wh07,79,551600121,2,0,0,100,True
167100.934380613,l4y274bj8so8,Kaci,8,d1wh07,30,1558915831,1,0,0,228,True
167102.376777168,l4y274bj8so8,Kaci,8,d1wh07,44,3712635561,2,0,0,100,True
167103.082901097,l4y274bj8so8,Kaci,8,d1wh07,76,4082010236,2,0,0,100,True
167105.760078762,l4y274bj8so8,Kaci,9,d1wh07,44,1453731402,1,0,0,228,True
167106.517623774,l4y274bj8so8,Kaci,9,d1wh07,44,3940964438,2,0,0,100,True
167108.212885357,l4y274bj8so8,Kaci,9,d1wh07,7,1526206807,2,0,0,100,True
167108.892589562,l4y274bj8so8,Kaci,9,d1wh07,79,3274655223,1,0,0,228,True
167109.624275993,l4y274bj8so8,Kaci,9,d1wh07,79,3213669084,2,0,0,100,True
