t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success
167020.861268969,todsfshih476,Angelita,0,3n1k98,52,1887742472,2,0,0,100,True
167021.558047656,todsfshih476,Angelita,0,d1wh07,4,3556766100,1,0,0,228,True
167022.241038774,todsfshih476,Angelita,0,3n1k98,11,1266364773,1,0,0,228,True
167022.60240552,todsfshih476,Angelita,0,3n1k98,50,1019031878,2,0,0,100,True
167022.962007513,todsfshih476,Angelita,0,d1wh07,57,4223378368,2,0,0,100,True
167025.059476664,todsfshih476,Angelita,0,3n1k98,27,383773353,1,0,0,228,True
167025.423630339,todsfshih476,Angelita,0,3n1k98,72,2999457820,2,0,0,100,True
167036.260065513,todsfshih476,Angelita,2,d1wh07,67,3326423390,1,0,0,228,True
167036.626581655,todsfshih476,Angelita,2,d1wh07,22,365019987,2,0,0,100,True
167037.311482775,todsfshih476,Angelita,2,3n1k98,34,4105000916,1,0,0,228,True
167037.992048271,todsfshih476,Angelita,2,d1wh07,23,3401889014,1,0,0,228,True
167038.669835947,todsfshih476,Angelita,2,3n1k98,37,261695503,1,0,0,228,True
167039.897795662,todsfshih476,Angelita,2,3n1k98,30,3949290844,1,0,0,228,True
167041.721389334,todsfshih476,Angelita,2,d1wh07,6,881057015,1,0,0,228,True
167042.415112139,todsfshih476,Angelita,2,3n1k98,57,1714804593,1,0,0,228,True
167042.774086742,todsfshih476,Angelita,2,3n1k98,30,3921613419,2,0,0,100,True
167043.452915493,todsfshih476,Angelita,2,d1wh07,74,562104361,1,0,0,228,True
167043.826766568,todsfshih476,Angelita,2,d1wh07,73,2498949641,2,0,0,100,True
167044.524504542,todsfshih476,Angelita,2,3n1k98,57,1714804593,1,0,0,228,True
167045.212164873,todsfshih476,Angelita,2,d1wh07,21,4053821021,1,0,0,228,True
167045.894500415,todsfshih476,Angelita,3,3n1k98,10,3960455872,1,0,0,228,True
167046.574058091,todsfshih476,Angelita,3,3n1k98,13,788209111,1,0,0,228,True
167046.971875948,todsfshih476,Angelita,3,3n1k98,57,3101223480,2,0,0,100,True
167047.661018436,todsfshih476,Angelita,3,3n1k98,23,3922556204,1,0,0,228,True
167048.341391178,todsfshih476,Angelita,3,3n1k98,3,3449637807,1,0,0,228,True
167048.712837032,todsfshih476,Angelita,3,3n1k98,78,4095957687,2,0,0,100,True
167049.396131522,todsfshih476,Angelita,3,3n1k98,69,3269056011,1,0,0,228,True
167049.757333008,todsfshih476,Angelita,3,3n1k98,13,1142178469,2,0,0,100,True
167050.121870662,todsfshih476,Angelita,3,d1wh07,24,2487168362,2,0,0,100,True
167050.488566047,todsfshih476,Angelita,3,3n1k98,39,1697045672,2,0,0,100,True
167051.170990307,todsfshih476,Angelita,3,3n1k98,79,4086235992,1,0,0,228,True
167051.853122342,todsfshih476,Angelita,3,3n1k98,24,3504401801,1,0,0,228,True
167052.213552227,todsfshih476,Angelita,3,3n1k98,3,537594155,2,0,0,100,True
167052.577619413,todsfshih476,Angelita,3,3n1k98,79,3642325689,2,0,0,100,True
167053.261524482,todsfshih476,Angelita,3,3n1k98,33,1372848802,1,0,0,228,True
167053.6179451,todsfshih476,Angelita,3,3n1k98,13,1142178469,2,0,0,100,True
167054.299277646,todsfshih476,Angelita,3,3n1k98,46,1749587663,1,0,0,228,True
167054.981372481,todsfshih476,Angelita,3,3n1k98,43,3971740996,1,0,0,228,True
167055.668905602,todsfshih476,Angelita,4,3n1k98,66,325170077,1,0,0,228,True
167065.933483014,todsfshih476,Angelita,5,3n1k98,25,353439731,2,0,0,100,True
167066.29880353,todsfshih476,Angelita,5,3n1k98,24,1998471602,2,0,0,100,True
167066.98560337,todsfshih476,Angelita,5,3n1k98,36,3384531800,1,0,0,228,True
167067.348317078,todsfshih476,Angelita,5,3n1k98,33,943434594,2,0,0,100,True
167067.714449174,todsfshih476,Angelita,5,d1wh07,51,762281084,2,0,0,100,True
167068.075308003,todsfshih476,Angelita,5,d1wh07,74,3126327750,2,0,0,100,True
167068.759013471,todsfshih476,Angelita,5,3n1k98,4,1821793772,1,0,0,228,True
167069.114489803,todsfshih476,Angelita,5,3n1k98,24,1998471602,2,0,0,100,True
167069.478136841,todsfshih476,Angelita,5,3n1k98,36,3169149052,2,0,0,100,True
167070.162190765,todsfshih476,Angelita,5,d1wh07,46,2805887859,1,0,0,228,True
167070.519263594,todsfshih476,Angelita,5,3n1k98,58,1657417218,2,0,0,100,True
167070.883645634,todsfshih476,Angelita,5,d1wh07,47,427709902,2,0,0,100,True
167071.587504362,todsfshih476,Angelita,5,3n1k98,56,1595758325,1,0,0,228,True
167072.273020458,todsfshih476,Angelita,5,d1wh07,12,1203199908,1,0,0,228,True
167072.970636238,todsfshih476,Angelita,5,3n1k98,32,906483594,1,0,0,228,True
167073.348307455,todsfshih476,Angelita,5,3n1k98,9,3971065730,2,0,0,100,True
167074.032449192,todsfshih476,Angelita,5,d1wh07,35,3271051674,1,0,0,228,True
167074.711998023,todsfshih476,Angelita,5,3n1k98,26,1194034944,1,0,0,228,True
167075.072953079,todsfshih476,Angelita,5,d1wh07,36,1320976190,2,0,0,100,True
167075.780627201,todsfshih476,Angelita,6,d1wh07,59,1874904462,1,0,0,228,True
