t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success
167022.917724258,upvfffe15jas,Toshiko,0,d1wh07,11,1288060453,2,0,100,0,True
167022.969889427,upvfffe15jas,Toshiko,0,d1wh07,57,4223378368,2,0,100,0,True
167030.086399999,upvfffe15jas,Toshiko,1,d1wh07,39,859105308,2,0,100,0,True
167031.782934645,upvfffe15jas,Toshiko,1,d1wh07,54,2678450897,2,0,100,0,True
167032.505297825,upvfffe15jas,Toshiko,1,d1wh07,48,3713039639,2,0,100,0,True
167033.555146131,upvfffe15jas,Toshiko,1,d1wh07,70,811021336,2,0,100,0,True
167034.591618846,upvfffe15jas,Toshiko,1,d1wh07,49,3100725686,2,0,100,0,True
167036.091026608,upvfffe15jas,Toshiko,2,d1wh07,38,253068767,2,0,100,0,True
167040.700371756,upvfffe15jas,Toshiko,2,d1wh07,42,792379072,2,0,100,0,True
167040.727474582,upvfffe15jas,Toshiko,2,d1wh07,8,2451158746,2,0,100,0,True
167046.701271659,upvfffe15jas,Toshiko,3,d1wh07,45,4165698459,2,0,100,0,True
167047.073730902,upvfffe15jas,Toshiko,3,d1wh07,6,2184651157,2,0,100,0,True
167047.429904432,upvfffe15jas,Toshiko,3,d1wh07,1,2071790935,2,0,100,0,True
167049.207461517,upvfffe15jas,Toshiko,3,d1wh07,15,4050512035,2,0,100,0,True
167050.131032629,upvfffe15jas,Toshiko,3,d1wh07,24,2487168362,2,0,100,0,True
167067.720052507,upvfffe15jas,Toshiko,5,d1wh07,51,762281084,2,0,100,0,True
167068.080037813,upvfffe15jas,Toshiko,5,d1wh07,74,3126327750,2,0,100,0,True
167074.197482208,upvfffe15jas,Toshiko,5,d1wh07,69,1575128713,2,0,100,0,True
167074.912439074,upvfffe15jas,Toshiko,5,d1wh07,46,3496511535,2,0,100,0,True
167076.700210305,upvfffe15jas,Toshiko,6,d1wh07,9,213165929,2,0,100,0,True
167076.839828392,upvfffe15jas,Toshiko,6,d1wh07,78,4249649265,2,0,100,0,True
167077.211976817,upvfffe15jas,Toshiko,6,d1wh07,12,2098535410,2,0,100,0,True
167077.559917118,upvfffe15jas,Toshiko,6,d1wh07,19,973821,2,0,100,0,True
167078.198633727,upvfffe15jas,Toshiko,6,d1wh07,71,3247641637,2,0,100,0,True
167078.611663769,upvfffe15jas,Toshiko,6,d1wh07,59,3513402836,2,0,100,0,True
167079.681387494,upvfffe15jas,Toshiko,6,d1wh07,63,14762349,2,0,100,0,True
167080.025553549,upvfffe15jas,Toshiko,6,d1wh07,26,3478548214,2,0,100,0,True
167080.029787003,upvfffe15jas,Toshiko,6,d1wh07,66,950898163,2,0,100,0,True
167080.730159225,upvfffe15jas,Toshiko,6,d1wh07,20,4209929643,2,0,100,0,True
167106.848263771,upvfffe15jas,Toshiko,9,d1wh07,76,3328094843,2,0,100,0,True
167107.259566732,upvfffe15jas,Toshiko,9,d1wh07,44,3940964438,2,0,100,0,True
167108.947621844,upvfffe15jas,Toshiko,9,d1wh07,7,1526206807,2,0,100,0,True
167111.43729158,upvfffe15jas,Toshiko,9,d1wh07,27,2649856010,2,0,100,0,True
167115.938808627,upvfffe15jas,Toshiko,10,d1wh07,27,629038909,2,0,100,0,True
