t,user,current_round
167015.545903238,Norene,0
167025.553741421,Norene,1
167035.569000276,Norene,2
167045.578831084,Norene,3
167055.580207506,Norene,4
167065.585901697,Norene,5
167075.59810843,Norene,6
167085.610994148,Norene,7
167095.613843028,Norene,8
167105.614482094,Norene,9
167115.623267311,Norene,10
167125.629801386,Norene,11
167135.635216985,Norene,12
167145.654550372,Norene,13
167155.65753489,Norene,14
167165.664356859,Norene,15
167175.665901668,Norene,16
167185.669025453,Norene,17
167195.674659851,Norene,18
167205.676281072,Norene,19
