t,user,current_round
167015.638979688,Renna,0
167025.667793161,Renna,1
167035.701498578,Renna,2
167045.71645736,Renna,3
167055.731008789,Renna,4
167065.749303112,Renna,5
167075.763601107,Renna,6
167085.776541044,Renna,7
167095.785399293,Renna,8
167105.810146792,Renna,9
167115.814122834,Renna,10
167125.831373518,Renna,11
167135.846995227,Renna,12
167145.85322403,Renna,13
167155.865453123,Renna,14
167165.86674729,Renna,15
167175.873091266,Renna,16
167185.879565279,Renna,17
167195.885729829,Renna,18
167205.895216452,Renna,19
