t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
193479.782446661,6bmg6x3g25lz,Vicki,1,5poehn,65,33805,1,0,228,0,True,0
193480.150684892,6bmg6x3g25lz,Vicki,1,5poehn,65,33805,2,100,0,0,True,0
193481.574083314,6bmg6x3g25lz,Vicki,1,t0sxae,54,34532,2,0,100,0,True,0
193482.623238012,6bmg6x3g25lz,Vicki,1,t0sxae,65,42011,2,0,100,0,True,0
193483.365437249,6bmg6x3g25lz,Vicki,1,t0sxae,63,7351,2,0,100,0,True,0
193488.289394562,6bmg6x3g25lz,Vicki,1,5poehn,48,35395,1,0,228,0,True,0
193488.677859425,6bmg6x3g25lz,Vicki,2,5poehn,48,35395,2,100,0,0,True,0
193492.597190451,6bmg6x3g25lz,Vicki,2,5poehn,70,11591,1,0,228,0,True,0
193492.964652553,6bmg6x3g25lz,Vicki,2,5poehn,70,11591,2,100,0,0,True,0
193495.732972847,6bmg6x3g25lz,Vicki,2,t0sxae,22,18143,2,0,100,0,True,0
193502.862134589,6bmg6x3g25lz,Vicki,3,5poehn,19,52195,1,0,228,0,True,0
193503.235939174,6bmg6x3g25lz,Vicki,3,5poehn,19,52195,2,100,0,0,True,0
193505.967230859,6bmg6x3g25lz,Vicki,3,5poehn,63,60321,1,0,228,0,True,0
193506.327182116,6bmg6x3g25lz,Vicki,3,5poehn,63,60321,2,100,0,0,True,0
193512.219076459,6bmg6x3g25lz,Vicki,4,5poehn,45,27419,1,0,228,0,True,0
193512.59196943,6bmg6x3g25lz,Vicki,4,5poehn,45,27419,2,100,0,0,True,0
193516.721458257,6bmg6x3g25lz,Vicki,4,5poehn,53,19151,1,0,228,0,True,0
193517.089924435,6bmg6x3g25lz,Vicki,4,5poehn,53,19151,2,100,0,0,True,0
193517.853044659,6bmg6x3g25lz,Vicki,4,5poehn,73,38551,1,0,228,0,True,0
193518.216038351,6bmg6x3g25lz,Vicki,4,5poehn,73,38551,2,100,0,0,True,0
193522.84274469,6bmg6x3g25lz,Vicki,5,5poehn,50,43696,1,0,228,0,True,0
193523.223626195,6bmg6x3g25lz,Vicki,5,5poehn,50,43696,2,100,0,0,True,0
193524.838432127,6bmg6x3g25lz,Vicki,5,5poehn,8,599,1,0,228,0,True,0
193525.203178899,6bmg6x3g25lz,Vicki,5,5poehn,8,599,2,100,0,0,True,0
193527.486373698,6bmg6x3g25lz,Vicki,5,t0sxae,56,39486,2,0,100,0,True,0
193530.260212164,6bmg6x3g25lz,Vicki,6,5poehn,34,27673,1,0,228,0,True,0
193530.632516122,6bmg6x3g25lz,Vicki,6,5poehn,34,27673,2,100,0,0,True,0
193533.093303832,6bmg6x3g25lz,Vicki,6,t0sxae,78,34197,2,0,100,0,True,0
193554.102902441,6bmg6x3g25lz,Vicki,8,t0sxae,6,24340,2,0,100,0,True,0
193556.176855696,6bmg6x3g25lz,Vicki,8,t0sxae,29,10065,2,0,100,0,True,0
193558.28466131,6bmg6x3g25lz,Vicki,8,t0sxae,47,2929,2,0,100,0,True,0
193558.596488067,6bmg6x3g25lz,Vicki,9,5poehn,1,44220,1,0,228,0,True,0
193558.959720055,6bmg6x3g25lz,Vicki,9,5poehn,1,44220,2,100,0,0,True,0
193559.826651639,6bmg6x3g25lz,Vicki,9,5poehn,37,1357,1,0,228,0,True,0
193560.210849195,6bmg6x3g25lz,Vicki,9,5poehn,37,1357,2,100,0,0,True,0
193561.608961458,6bmg6x3g25lz,Vicki,9,kdt48j,35,57827,1,0,228,0,True,0
193561.98207459,6bmg6x3g25lz,Vicki,9,kdt48j,35,57827,2,100,0,0,True,0
193564.441375727,6bmg6x3g25lz,Vicki,9,5poehn,36,54262,1,0,228,0,True,0
193564.815375714,6bmg6x3g25lz,Vicki,9,5poehn,36,54262,2,100,0,0,True,0
193566.59209363,6bmg6x3g25lz,Vicki,9,5poehn,36,33658,1,0,228,0,True,0
193566.98412018,6bmg6x3g25lz,Vicki,9,5poehn,36,33658,2,100,0,0,True,0
193573.444652107,6bmg6x3g25lz,Vicki,10,t0sxae,50,55241,2,0,100,0,True,0
193577.288786255,6bmg6x3g25lz,Vicki,10,t0sxae,0,35976,2,0,100,0,True,0
193582.591249024,6bmg6x3g25lz,Vicki,11,5poehn,22,22723,1,0,228,0,True,0
193582.986709624,6bmg6x3g25lz,Vicki,11,5poehn,22,22723,2,100,0,0,True,0
193584.811927985,6bmg6x3g25lz,Vicki,11,5poehn,71,6555,1,0,228,0,True,0
193585.182899633,6bmg6x3g25lz,Vicki,11,5poehn,71,6555,2,100,0,0,True,1
193585.187553169,6bmg6x3g25lz,Vicki,11,5poehn,39,2517,1,0,228,0,True,0
193585.548423983,6bmg6x3g25lz,Vicki,11,5poehn,39,2517,2,100,0,0,True,0
193591.066646575,6bmg6x3g25lz,Vicki,12,5poehn,79,4147,1,0,228,0,True,0
193591.441811498,6bmg6x3g25lz,Vicki,12,5poehn,79,4147,2,100,0,0,True,0
193592.153062074,6bmg6x3g25lz,Vicki,12,5poehn,27,33211,1,0,228,0,True,0
193592.52617551,6bmg6x3g25lz,Vicki,12,5poehn,27,33211,2,100,0,0,True,0
193592.580994725,6bmg6x3g25lz,Vicki,12,5poehn,24,64647,1,0,228,0,True,0
193592.941893026,6bmg6x3g25lz,Vicki,12,5poehn,24,64647,2,100,0,0,True,0
193597.124465618,6bmg6x3g25lz,Vicki,12,5poehn,17,33844,1,0,228,0,True,0
193597.498140224,6bmg6x3g25lz,Vicki,12,5poehn,17,33844,2,100,0,0,True,0
