t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
193474.587469823,er9103lgazzb,Vicki,0,t0sxae,24,16328,1,228,0,0,True,0
193475.333108423,er9103lgazzb,Vicki,0,t0sxae,54,34532,1,228,0,0,True,0
193476.122458366,er9103lgazzb,Vicki,0,t0sxae,63,7351,1,228,0,0,True,0
193476.874543603,er9103lgazzb,Vicki,0,t0sxae,13,16217,1,228,0,0,True,1
193477.585160784,er9103lgazzb,Vicki,0,fki02z,36,64369,1,0,0,228,True,0
193478.350342491,er9103lgazzb,Vicki,0,t0sxae,65,42011,1,228,0,0,True,1
193478.720225068,er9103lgazzb,Vicki,1,mgjzm2,3,28957,2,0,0,100,True,0
193489.079305581,er9103lgazzb,Vicki,2,t0sxae,22,18143,1,228,0,0,True,0
193489.778230893,er9103lgazzb,Vicki,2,t0sxae,27,47120,1,228,0,0,True,0
193490.471090436,er9103lgazzb,Vicki,2,t0sxae,18,16246,1,228,0,0,True,0
193491.172528228,er9103lgazzb,Vicki,2,t0sxae,58,26184,1,228,0,0,True,0
193491.863113301,er9103lgazzb,Vicki,2,t0sxae,68,57729,1,228,0,0,True,0
193492.556296968,er9103lgazzb,Vicki,2,t0sxae,48,1185,1,228,0,0,True,0
193493.24324586,er9103lgazzb,Vicki,2,t0sxae,43,31235,1,228,0,0,True,1
193493.611338104,er9103lgazzb,Vicki,2,mgjzm2,33,10125,2,0,0,100,True,0
193494.313537041,er9103lgazzb,Vicki,2,t0sxae,37,39029,1,228,0,0,True,0
193495.019153105,er9103lgazzb,Vicki,2,t0sxae,9,27558,1,228,0,0,True,0
193495.709230015,er9103lgazzb,Vicki,2,t0sxae,57,32110,1,228,0,0,True,1
193496.408030998,er9103lgazzb,Vicki,2,fki02z,69,61071,1,0,0,228,True,1
193496.412575233,er9103lgazzb,Vicki,2,5poehn,25,51766,1,0,228,0,True,0
193496.790326547,er9103lgazzb,Vicki,2,5poehn,25,51766,2,100,0,0,True,0
193497.486102802,er9103lgazzb,Vicki,2,t0sxae,78,34197,1,228,0,0,True,0
193498.184606837,er9103lgazzb,Vicki,2,t0sxae,56,39486,1,228,0,0,True,0
193498.877971279,er9103lgazzb,Vicki,3,t0sxae,79,24057,1,228,0,0,True,0
193499.575253129,er9103lgazzb,Vicki,3,t0sxae,52,3473,1,228,0,0,True,0
193500.281835439,er9103lgazzb,Vicki,3,t0sxae,4,42213,1,228,0,0,True,5
193500.649281764,er9103lgazzb,Vicki,3,fki02z,20,5785,2,0,0,100,True,4
193500.653866903,er9103lgazzb,Vicki,3,5poehn,54,25097,1,0,228,0,True,3
193501.020587945,er9103lgazzb,Vicki,3,5poehn,54,25097,2,100,0,0,True,3
193501.025272077,er9103lgazzb,Vicki,3,5poehn,42,21690,1,0,228,0,True,2
193501.403254932,er9103lgazzb,Vicki,3,5poehn,42,21690,2,100,0,0,True,2
193501.771857171,er9103lgazzb,Vicki,3,mgjzm2,65,29436,2,0,0,100,True,1
193501.776501783,er9103lgazzb,Vicki,3,t0sxae,27,47120,2,0,100,0,True,0
193502.471120888,er9103lgazzb,Vicki,3,t0sxae,35,15664,1,228,0,0,True,0
193503.164307754,er9103lgazzb,Vicki,3,t0sxae,20,62379,1,228,0,0,True,0
193503.860436594,er9103lgazzb,Vicki,3,t0sxae,42,56412,1,228,0,0,True,1
193503.864979082,er9103lgazzb,Vicki,3,5poehn,43,36270,1,0,228,0,True,0
193504.239840591,er9103lgazzb,Vicki,3,5poehn,43,36270,2,100,0,0,True,0
193504.935437594,er9103lgazzb,Vicki,3,t0sxae,77,46342,1,228,0,0,True,0
193505.648130377,er9103lgazzb,Vicki,3,t0sxae,50,55241,1,228,0,0,True,2
193506.009515034,er9103lgazzb,Vicki,3,mgjzm2,15,18495,2,0,0,100,True,2
193506.370766453,er9103lgazzb,Vicki,3,fki02z,14,36086,2,0,0,100,True,1
193506.375766762,er9103lgazzb,Vicki,3,t0sxae,68,57729,2,0,100,0,True,0
193507.062897738,er9103lgazzb,Vicki,3,t0sxae,7,30796,1,228,0,0,True,0
193507.75666905,er9103lgazzb,Vicki,3,t0sxae,51,38458,1,228,0,0,True,0
193508.472781926,er9103lgazzb,Vicki,4,t0sxae,71,47741,1,228,0,0,True,0
193519.118218159,er9103lgazzb,Vicki,5,t0sxae,70,53831,1,228,0,0,True,0
193519.812475316,er9103lgazzb,Vicki,5,t0sxae,16,48257,1,228,0,0,True,0
193520.496701572,er9103lgazzb,Vicki,5,t0sxae,39,13696,1,228,0,0,True,0
193521.192255284,er9103lgazzb,Vicki,5,t0sxae,29,10065,1,228,0,0,True,0
193521.874056853,er9103lgazzb,Vicki,5,t0sxae,60,63666,1,228,0,0,True,0
193522.573757751,er9103lgazzb,Vicki,5,t0sxae,69,1526,1,228,0,0,True,0
193523.284516188,er9103lgazzb,Vicki,5,t0sxae,6,24340,1,228,0,0,True,1
193523.990429132,er9103lgazzb,Vicki,5,mgjzm2,48,47810,1,0,0,228,True,0
193524.683847358,er9103lgazzb,Vicki,5,t0sxae,12,54179,1,228,0,0,True,0
193525.368455475,er9103lgazzb,Vicki,5,t0sxae,23,25862,1,228,0,0,True,0
193526.059493773,er9103lgazzb,Vicki,5,t0sxae,44,25847,1,228,0,0,True,2
193526.751482576,er9103lgazzb,Vicki,5,mgjzm2,2,56904,1,0,0,228,True,5
193526.75617341,er9103lgazzb,Vicki,5,t0sxae,43,31235,2,0,100,0,True,4
193527.124105891,er9103lgazzb,Vicki,5,fki02z,34,40985,2,0,0,100,True,4
193527.129197114,er9103lgazzb,Vicki,5,kdt48j,7,6310,1,0,228,0,True,3
193527.503134094,er9103lgazzb,Vicki,5,kdt48j,7,6310,2,100,0,0,True,3
193527.86473728,er9103lgazzb,Vicki,5,mgjzm2,67,8828,2,0,0,100,True,2
193527.869420324,er9103lgazzb,Vicki,5,kdt48j,24,30850,1,0,228,0,True,1
193528.262239627,er9103lgazzb,Vicki,5,kdt48j,24,30850,2,100,0,0,True,1
193528.266637364,er9103lgazzb,Vicki,5,5poehn,38,4202,1,0,228,0,True,0
193528.661927964,er9103lgazzb,Vicki,6,5poehn,38,4202,2,100,0,0,True,0
193529.356052354,er9103lgazzb,Vicki,6,t0sxae,47,2929,1,228,0,0,True,1
