t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
193489.802953816,hxj8cypyn3fm,Demetra,2,kdt48j,72,4196,2,0,100,0,True,0
193492.491155654,hxj8cypyn3fm,Demetra,2,t0sxae,22,18143,1,0,228,0,True,0
193492.881364307,hxj8cypyn3fm,Demetra,2,t0sxae,22,18143,2,100,0,0,True,0
193493.301633878,hxj8cypyn3fm,Demetra,2,t0sxae,18,16246,1,0,228,0,True,0
193493.673384352,hxj8cypyn3fm,Demetra,2,t0sxae,18,16246,2,100,0,0,True,0
193496.435374615,hxj8cypyn3fm,Demetra,2,fki02z,69,61071,1,0,228,0,True,0
193496.810102639,hxj8cypyn3fm,Demetra,2,fki02z,69,61071,2,100,0,0,True,0
193497.132150927,hxj8cypyn3fm,Demetra,2,fki02z,11,38385,1,0,228,0,True,0
193497.510180181,hxj8cypyn3fm,Demetra,2,fki02z,11,38385,2,100,0,0,True,0
193520.111207186,hxj8cypyn3fm,Demetra,5,b3x35q,1,45455,2,0,100,0,True,0
193522.561886361,hxj8cypyn3fm,Demetra,5,t0sxae,7,30796,1,0,228,0,True,0
193522.93276609,hxj8cypyn3fm,Demetra,5,t0sxae,7,30796,2,100,0,0,True,0
193524.234764873,hxj8cypyn3fm,Demetra,5,fki02z,31,55761,1,0,228,0,True,0
193524.599990264,hxj8cypyn3fm,Demetra,5,fki02z,31,55761,2,100,0,0,True,0
193525.223049605,hxj8cypyn3fm,Demetra,5,kdt48j,21,37033,2,0,100,0,True,0
193528.178791594,hxj8cypyn3fm,Demetra,5,t0sxae,16,48257,1,0,228,0,True,0
193528.580509047,hxj8cypyn3fm,Demetra,6,t0sxae,16,48257,2,100,0,0,True,0
193533.332534277,hxj8cypyn3fm,Demetra,6,t0sxae,29,10065,1,0,228,0,True,0
193533.696246536,hxj8cypyn3fm,Demetra,6,t0sxae,29,10065,2,100,0,0,True,0
193534.823449847,hxj8cypyn3fm,Demetra,6,t0sxae,47,2929,1,0,228,0,True,0
193535.182995064,hxj8cypyn3fm,Demetra,6,t0sxae,47,2929,2,100,0,0,True,0
193535.756361986,hxj8cypyn3fm,Demetra,6,b3x35q,71,15197,2,0,100,0,True,0
193536.102064068,hxj8cypyn3fm,Demetra,6,kdt48j,54,57119,2,0,100,0,True,0
193628.675983837,hxj8cypyn3fm,Demetra,16,kdt48j,38,62411,2,0,100,0,True,0
193713.49893007,hxj8cypyn3fm,Demetra,24,fki02z,50,20917,1,0,228,0,True,0
193713.859157767,hxj8cypyn3fm,Demetra,24,fki02z,50,20917,2,100,0,0,True,0
193714.187153652,hxj8cypyn3fm,Demetra,24,fki02z,50,31181,1,0,228,0,True,0
193714.5616776,hxj8cypyn3fm,Demetra,24,fki02z,50,31181,2,100,0,0,True,0
193714.872363938,hxj8cypyn3fm,Demetra,24,fki02z,50,27925,1,0,228,0,True,0
193715.24740365,hxj8cypyn3fm,Demetra,24,fki02z,50,27925,2,100,0,0,True,0
193728.445056034,hxj8cypyn3fm,Demetra,26,t0sxae,41,57898,1,0,228,0,True,0
193728.808074766,hxj8cypyn3fm,Demetra,26,t0sxae,41,57898,2,100,0,0,True,0
