t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
193475.309069354,i8ik97qzj0j6,Julius,0,5poehn,40,15176,1,0,0,228,True,0
193491.498001014,i8ik97qzj0j6,Julius,2,5poehn,49,64033,1,0,0,228,True,0
193493.313311122,i8ik97qzj0j6,Julius,2,3n5x7u,63,38688,1,0,0,228,True,2
193493.993309819,i8ik97qzj0j6,Julius,2,5poehn,25,51766,1,0,0,228,True,1
193494.358340319,i8ik97qzj0j6,Julius,2,5poehn,77,50540,2,0,0,100,True,0
193494.773893307,i8ik97qzj0j6,Julius,2,5poehn,70,11591,2,0,0,100,True,0
193496.417289247,i8ik97qzj0j6,Julius,2,5poehn,54,25097,1,0,0,228,True,1
193496.421581895,i8ik97qzj0j6,Julius,2,3n5x7u,64,27423,2,0,100,0,True,0
193498.27154793,i8ik97qzj0j6,Julius,2,3n5x7u,48,50982,1,0,0,228,True,1
193498.952996358,i8ik97qzj0j6,Julius,3,5poehn,10,42609,1,0,0,228,True,0
193499.554445834,i8ik97qzj0j6,Julius,3,3n5x7u,33,22346,2,0,100,0,True,0
193499.594793083,i8ik97qzj0j6,Julius,3,3n5x7u,48,50982,2,0,100,0,True,0
193500.369679924,i8ik97qzj0j6,Julius,3,5poehn,7,25565,2,0,0,100,True,0
193501.29855207,i8ik97qzj0j6,Julius,3,5poehn,63,60321,1,0,0,228,True,1
193501.692047719,i8ik97qzj0j6,Julius,3,5poehn,11,63951,2,0,0,100,True,0
193502.723889102,i8ik97qzj0j6,Julius,3,b3x35q,20,30456,1,0,228,0,True,0
193503.089054328,i8ik97qzj0j6,Julius,3,b3x35q,20,30456,2,100,0,0,True,0
193504.091217729,i8ik97qzj0j6,Julius,3,5poehn,45,27419,1,0,0,228,True,0
193506.023537198,i8ik97qzj0j6,Julius,3,5poehn,54,25097,2,0,0,100,True,0
193506.178729679,i8ik97qzj0j6,Julius,3,b3x35q,15,49476,1,0,228,0,True,0
193506.556954998,i8ik97qzj0j6,Julius,3,b3x35q,15,49476,2,100,0,0,True,0
193509.361355991,i8ik97qzj0j6,Julius,4,5poehn,67,34536,1,0,0,228,True,0
193510.616532189,i8ik97qzj0j6,Julius,4,3n5x7u,11,16411,2,0,100,0,True,0
193511.768417884,i8ik97qzj0j6,Julius,4,5poehn,12,20612,1,0,0,228,True,1
193511.773102295,i8ik97qzj0j6,Julius,4,3n5x7u,5,19597,2,0,100,0,True,0
193512.009440541,i8ik97qzj0j6,Julius,4,3n5x7u,71,34868,2,0,100,0,True,0
193512.806432077,i8ik97qzj0j6,Julius,4,3n5x7u,26,52547,2,0,100,0,True,0
193514.902429982,i8ik97qzj0j6,Julius,4,5poehn,13,62367,1,0,0,228,True,0
193518.188214849,i8ik97qzj0j6,Julius,4,5poehn,53,19151,2,0,0,100,True,0
193530.88808875,i8ik97qzj0j6,Julius,6,5poehn,56,56550,2,0,0,100,True,0
193531.347791675,i8ik97qzj0j6,Julius,6,5poehn,13,62367,2,0,0,100,True,0
193535.701564093,i8ik97qzj0j6,Julius,6,5poehn,60,24869,2,0,0,100,True,0
193536.955217741,i8ik97qzj0j6,Julius,6,3n5x7u,39,6773,2,0,100,0,True,0
