t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
193474.569675759,o0mfix6jtcf8,Gloria,0,5hvjk9,7,2031,1,228,0,0,True,1
193475.252771873,o0mfix6jtcf8,Gloria,0,z3cndz,11,33151,1,228,0,0,True,1
193475.955021912,o0mfix6jtcf8,Gloria,0,kdt48j,1,39442,1,0,0,228,True,0
193476.724136274,o0mfix6jtcf8,Gloria,0,5hvjk9,61,30829,1,228,0,0,True,0
193477.457110997,o0mfix6jtcf8,Gloria,0,z3cndz,9,22074,1,228,0,0,True,1
193478.177453294,o0mfix6jtcf8,Gloria,0,3n5x7u,79,12476,1,0,0,228,True,1
193478.188590715,o0mfix6jtcf8,Gloria,0,mgjzm2,27,59658,1,0,228,0,True,0
193478.649612951,o0mfix6jtcf8,Gloria,1,mgjzm2,27,59658,2,100,0,0,True,0
193479.344365633,o0mfix6jtcf8,Gloria,1,5hvjk9,53,14101,1,228,0,0,True,0
193480.03895648,o0mfix6jtcf8,Gloria,1,z3cndz,53,36972,1,228,0,0,True,0
193480.776858561,o0mfix6jtcf8,Gloria,1,5hvjk9,4,13587,1,228,0,0,True,1
193481.473440886,o0mfix6jtcf8,Gloria,1,z3cndz,65,45830,1,228,0,0,True,1
193481.852193697,o0mfix6jtcf8,Gloria,1,kdt48j,1,39442,2,0,0,100,True,0
193482.559422063,o0mfix6jtcf8,Gloria,1,5hvjk9,68,7104,1,228,0,0,True,0
193483.251001472,o0mfix6jtcf8,Gloria,1,z3cndz,22,19179,1,228,0,0,True,0
193483.955542515,o0mfix6jtcf8,Gloria,1,5hvjk9,31,55540,1,228,0,0,True,1
193484.63672704,o0mfix6jtcf8,Gloria,1,z3cndz,35,21766,1,228,0,0,True,3
193484.642948746,o0mfix6jtcf8,Gloria,1,mgjzm2,61,64842,1,0,228,0,True,2
193485.003549326,o0mfix6jtcf8,Gloria,1,mgjzm2,61,64842,2,100,0,0,True,2
193485.390942445,o0mfix6jtcf8,Gloria,1,mgjzm2,40,53547,2,0,0,100,True,1
193486.08723594,o0mfix6jtcf8,Gloria,1,3n5x7u,54,64143,1,0,0,228,True,0
193486.793163179,o0mfix6jtcf8,Gloria,1,5hvjk9,13,26074,1,228,0,0,True,0
193487.478451786,o0mfix6jtcf8,Gloria,1,z3cndz,23,5279,1,228,0,0,True,1
193488.167641225,o0mfix6jtcf8,Gloria,1,3n5x7u,75,32398,1,0,0,228,True,1
193488.173799705,o0mfix6jtcf8,Gloria,1,z3cndz,65,45830,2,0,100,0,True,0
193488.883589284,o0mfix6jtcf8,Gloria,2,5hvjk9,74,56517,1,228,0,0,True,0
193519.000728984,o0mfix6jtcf8,Gloria,5,5hvjk9,54,43885,1,228,0,0,True,1
193519.685322669,o0mfix6jtcf8,Gloria,5,z3cndz,41,39664,1,228,0,0,True,1
193520.050754655,o0mfix6jtcf8,Gloria,5,3n5x7u,30,21575,2,0,0,100,True,0
193520.746554304,o0mfix6jtcf8,Gloria,5,5hvjk9,65,29697,1,228,0,0,True,0
193521.435736321,o0mfix6jtcf8,Gloria,5,z3cndz,0,26176,1,228,0,0,True,1
