t,user,current_round
193468.330863594,Bennie,0
193478.415098509,Bennie,1
193488.441174304,Bennie,2
193498.445571904,Bennie,3
193508.484846533,Bennie,4
193518.51336619,Bennie,5
193528.523512369,Bennie,6
193538.524034944,Bennie,7
193548.542259198,Bennie,8
193558.554309469,Bennie,9
193568.578030985,Bennie,10
193578.597454555,Bennie,11
193588.609945348,Bennie,12
193598.617386246,Bennie,13
193608.617961765,Bennie,14
193618.64080551,Bennie,15
193628.644275658,Bennie,16
193638.646808935,Bennie,17
193648.653169905,Bennie,18
193658.65831032,Bennie,19
193668.675124957,Bennie,20
193678.716350733,Bennie,21
193688.719261694,Bennie,22
193698.768211757,Bennie,23
193708.776640343,Bennie,24
193718.782857856,Bennie,25
193728.785399888,Bennie,26
193738.785523326,Bennie,27
193748.790368065,Bennie,28
193758.792826982,Bennie,29
193768.800069659,Bennie,30
193778.81087861,Bennie,31
193788.828280401,Bennie,32
193798.859384618,Bennie,33
193808.866714366,Bennie,34
193818.874494735,Bennie,35
193828.875665802,Bennie,36
193838.880516588,Bennie,37
193848.888385806,Bennie,38
193858.889083867,Bennie,39
