t,user,current_round
193468.240923534,Gloria,0
193478.262962089,Gloria,1
193488.28092809,Gloria,2
193498.283942099,Gloria,3
193508.288317133,Gloria,4
193518.299060802,Gloria,5
193528.316871298,Gloria,6
193538.338677432,Gloria,7
193548.35201534,Gloria,8
193558.354300922,Gloria,9
193568.366410356,Gloria,10
193578.368904625,Gloria,11
193588.376389521,Gloria,12
193598.382481889,Gloria,13
193608.396427196,Gloria,14
193618.402909446,Gloria,15
193628.40606793,Gloria,16
193638.417518688,Gloria,17
193648.419081275,Gloria,18
193658.433514563,Gloria,19
193668.437796011,Gloria,20
193678.445753133,Gloria,21
193688.456702876,Gloria,22
193698.458071284,Gloria,23
193708.484715594,Gloria,24
193718.503462848,Gloria,25
193728.507177824,Gloria,26
193738.510896467,Gloria,27
193748.514338969,Gloria,28
193758.521479427,Gloria,29
193768.530567252,Gloria,30
193778.535318877,Gloria,31
193788.539698918,Gloria,32
193798.542127191,Gloria,33
193808.554112247,Gloria,34
193818.554157766,Gloria,35
193828.557241314,Gloria,36
193838.574339689,Gloria,37
193848.575934408,Gloria,38
193858.580857214,Gloria,39
