t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
195244.417507418,d6io8w7fppoz,Twila,1,w3vp8g,4,56833,1,0,0,1124,True,0
195255.878293574,d6io8w7fppoz,Twila,2,8g7lj7,4,18067,1,0,0,1124,True,1
195258.804389854,d6io8w7fppoz,Twila,2,jgvbrz,9,59219,1,0,0,1124,True,1
195259.175497527,d6io8w7fppoz,Twila,2,jgvbrz,3,61548,2,0,0,100,True,0
195260.203902913,d6io8w7fppoz,Twila,3,oud02s,2,46898,2,0,0,100,True,0
195264.704582243,d6io8w7fppoz,Twila,3,oud02s,5,25224,1,0,0,1124,True,0
195268.165103775,d6io8w7fppoz,Twila,3,w3vp8g,3,22260,1,0,0,1124,True,0
195272.217152993,d6io8w7fppoz,Twila,4,w3vp8g,2,17203,1,0,0,1124,True,0
195273.372394299,d6io8w7fppoz,Twila,4,rgi3wh,5,21129,2,0,100,0,True,0
195280.607490554,d6io8w7fppoz,Twila,5,jgvbrz,4,56083,1,0,0,1124,True,3
195280.979192603,d6io8w7fppoz,Twila,5,w3vp8g,7,24830,2,0,0,100,True,3
195281.342035062,d6io8w7fppoz,Twila,5,jgvbrz,9,59219,2,0,0,100,True,2
195281.704024015,d6io8w7fppoz,Twila,5,oud02s,4,64806,2,0,0,100,True,1
195282.068811628,d6io8w7fppoz,Twila,5,oud02s,0,11226,2,0,0,100,True,0
195282.188830682,d6io8w7fppoz,Twila,5,x1ti20,2,47140,2,0,100,0,True,0
195289.985710193,d6io8w7fppoz,Twila,5,8g7lj7,4,18067,2,0,0,100,True,1
195290.357097365,d6io8w7fppoz,Twila,6,8g7lj7,0,62585,2,0,0,100,True,0
195292.722351569,d6io8w7fppoz,Twila,6,oud02s,9,29440,2,0,0,100,True,0
195293.68690741,d6io8w7fppoz,Twila,6,w3vp8g,4,56833,2,0,0,100,True,0
195298.712545117,d6io8w7fppoz,Twila,6,oud02s,6,11127,2,0,0,100,True,0
195299.744317455,d6io8w7fppoz,Twila,6,oud02s,1,41854,2,0,0,100,True,0
195304.116833503,d6io8w7fppoz,Twila,7,jgvbrz,2,44284,2,0,0,100,True,0
195308.833979008,d6io8w7fppoz,Twila,7,rgi3wh,3,32042,1,0,0,1124,True,1
195311.760901252,d6io8w7fppoz,Twila,8,jgvbrz,7,21242,1,0,0,1124,True,1
195311.7655574,d6io8w7fppoz,Twila,8,x1ti20,3,25634,2,0,100,0,True,0
195314.003045298,d6io8w7fppoz,Twila,8,oud02s,8,28100,2,0,0,100,True,0
195319.015634772,d6io8w7fppoz,Twila,8,oud02s,8,32372,2,0,0,100,True,0
195325.740517137,d6io8w7fppoz,Twila,9,8g7lj7,6,30023,1,0,0,1124,True,1
195328.665502998,d6io8w7fppoz,Twila,9,jgvbrz,5,57139,1,0,0,1124,True,0
195331.784271117,d6io8w7fppoz,Twila,10,oud02s,3,21607,1,0,0,1124,True,0
195334.151827721,d6io8w7fppoz,Twila,10,jgvbrz,5,57139,2,0,0,100,True,0
195338.853631388,d6io8w7fppoz,Twila,10,rgi3wh,2,64150,1,0,0,1124,True,1
195341.775045874,d6io8w7fppoz,Twila,11,8g7lj7,7,55396,1,0,0,1124,True,1
195344.693204009,d6io8w7fppoz,Twila,11,8g7lj7,8,45608,1,0,0,1124,True,2
195345.058816567,d6io8w7fppoz,Twila,11,8g7lj7,6,5295,2,0,0,100,True,1
195347.97541969,d6io8w7fppoz,Twila,11,jgvbrz,1,3316,1,0,0,1124,True,0
195351.364666293,d6io8w7fppoz,Twila,12,8g7lj7,8,19851,1,0,0,1124,True,1
195351.368836465,d6io8w7fppoz,Twila,12,rgi3wh,2,64150,2,0,100,0,True,0
195357.60624171,d6io8w7fppoz,Twila,12,8g7lj7,8,47421,1,0,0,1124,True,1
195357.972868257,d6io8w7fppoz,Twila,12,8g7lj7,7,20927,2,0,0,100,True,0
195359.860326961,d6io8w7fppoz,Twila,12,w3vp8g,0,26751,2,0,0,100,True,0
195361.189761674,d6io8w7fppoz,Twila,13,jgvbrz,1,3316,2,0,0,100,True,0
195367.501542424,d6io8w7fppoz,Twila,13,jgvbrz,1,62170,1,0,0,1124,True,2
195370.421638128,d6io8w7fppoz,Twila,14,w3vp8g,6,4474,1,0,0,1124,True,3
195373.339409041,d6io8w7fppoz,Twila,14,rgi3wh,6,6554,1,0,0,1124,True,3
195373.703152566,d6io8w7fppoz,Twila,14,8g7lj7,8,31305,2,0,0,100,True,2
195374.065120945,d6io8w7fppoz,Twila,14,jgvbrz,6,22780,2,0,0,100,True,1
195374.427878592,d6io8w7fppoz,Twila,14,8g7lj7,8,47421,2,0,0,100,True,0
195375.332041646,d6io8w7fppoz,Twila,14,jgvbrz,1,62170,2,0,0,100,True,0
195376.233592145,d6io8w7fppoz,Twila,14,jgvbrz,6,33864,2,0,0,100,True,0
195377.740917036,d6io8w7fppoz,Twila,14,8g7lj7,6,59577,2,0,0,100,True,0
195378.745300468,d6io8w7fppoz,Twila,14,8g7lj7,8,19851,2,0,0,100,True,0
195412.055059422,d6io8w7fppoz,Twila,18,rgi3wh,8,26173,2,0,100,0,True,0
