t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
195253.896271651,vlv2pg49dac3,Cristina,2,erq6gf,5,59632,2,0,0,100,True,0
195264.699551336,vlv2pg49dac3,Cristina,3,erq6gf,1,64225,1,0,0,1124,True,1
195267.625259054,vlv2pg49dac3,Cristina,3,erq6gf,0,59871,1,0,0,1124,True,0
195314.639595869,vlv2pg49dac3,Cristina,8,erq6gf,6,57169,1,0,0,1124,True,1
195314.645358381,vlv2pg49dac3,Cristina,8,8g7lj7,5,59690,1,0,1124,0,True,0
195315.023394125,vlv2pg49dac3,Cristina,8,8g7lj7,5,59690,2,100,0,0,True,0
195317.316310839,vlv2pg49dac3,Cristina,8,erq6gf,2,54901,2,0,0,100,True,0
195318.679941989,vlv2pg49dac3,Cristina,8,erq6gf,6,63064,2,0,0,100,True,0
195319.696962212,vlv2pg49dac3,Cristina,8,w3vp8g,1,56343,2,0,100,0,True,0
195375.506316452,vlv2pg49dac3,Cristina,14,w3vp8g,6,7598,2,0,100,0,True,0
