t,user,current_round
195229.945697196,Kaci,0
195239.983103344,Kaci,1
195249.991014856,Kaci,2
195259.99206256,Kaci,3
195269.994478406,Kaci,4
195279.997206853,Kaci,5
195290.007887709,Kaci,6
195300.010067863,Kaci,7
195310.014123317,Kaci,8
195320.019786674,Kaci,9
195330.025064427,Kaci,10
195340.032500486,Kaci,11
195350.033492047,Kaci,12
195360.042388841,Kaci,13
195370.046574664,Kaci,14
195380.052276313,Kaci,15
195390.05802621,Kaci,16
195400.058659075,Kaci,17
195410.076789751,Kaci,18
195420.082348065,Kaci,19
195430.0942177,Kaci,20
195440.100052632,Kaci,21
195450.107009885,Kaci,22
