t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
197726.00621024,0psq1k2q7ek6,Georgene,2,2473hp,4,7141,1,0,1124,0,True,3
197726.013907199,0psq1k2q7ek6,Georgene,2,2473hp,4,7141,2,100,0,0,True,3
197726.018811453,0psq1k2q7ek6,Georgene,2,2473hp,5,35461,1,0,1124,0,True,2
197726.024414234,0psq1k2q7ek6,Georgene,2,2473hp,5,35461,2,100,0,0,True,2
197726.029803686,0psq1k2q7ek6,Georgene,2,2473hp,3,47393,1,0,1124,0,True,1
197726.034981863,0psq1k2q7ek6,Georgene,2,2473hp,3,47393,2,100,0,0,True,1
197726.039286268,0psq1k2q7ek6,Georgene,2,2473hp,1,64684,1,0,1124,0,True,0
197726.046787124,0psq1k2q7ek6,Georgene,2,2473hp,1,64684,2,100,0,0,True,0
197741.448230011,0psq1k2q7ek6,Georgene,4,2473hp,3,861,1,0,1124,0,True,2
197741.455942074,0psq1k2q7ek6,Georgene,4,2473hp,3,861,2,100,0,0,True,2
197741.460627171,0psq1k2q7ek6,Georgene,4,2473hp,8,30231,1,0,1124,0,True,1
197741.465948797,0psq1k2q7ek6,Georgene,4,2473hp,8,30231,2,100,0,0,True,1
197741.470309329,0psq1k2q7ek6,Georgene,4,2473hp,2,58175,1,0,1124,0,True,0
197741.474923166,0psq1k2q7ek6,Georgene,4,2473hp,2,58175,2,100,0,0,True,0
197751.812857949,0psq1k2q7ek6,Georgene,4,9u5m7k,1,34709,2,0,100,0,True,9
197751.817174044,0psq1k2q7ek6,Georgene,4,2473hp,6,1332,1,0,1124,0,True,8
197751.82201196,0psq1k2q7ek6,Georgene,4,2473hp,6,1332,2,100,0,0,True,8
197751.827127955,0psq1k2q7ek6,Georgene,4,2473hp,9,16438,1,0,1124,0,True,7
197751.831537981,0psq1k2q7ek6,Georgene,4,2473hp,9,16438,2,100,0,0,True,7
197751.836277536,0psq1k2q7ek6,Georgene,4,2473hp,2,21066,1,0,1124,0,True,6
197751.841238111,0psq1k2q7ek6,Georgene,4,2473hp,2,21066,2,100,0,0,True,6
197751.84577785,0psq1k2q7ek6,Georgene,4,2473hp,7,23530,1,0,1124,0,True,5
197751.850301574,0psq1k2q7ek6,Georgene,4,2473hp,7,23530,2,100,0,0,True,5
197751.856951973,0psq1k2q7ek6,Georgene,4,2473hp,8,6223,1,0,1124,0,True,4
197751.861554126,0psq1k2q7ek6,Georgene,4,2473hp,8,6223,2,100,0,0,True,4
197751.865786197,0psq1k2q7ek6,Georgene,4,2473hp,8,49201,1,0,1124,0,True,3
197751.871016407,0psq1k2q7ek6,Georgene,4,2473hp,8,49201,2,100,0,0,True,3
197751.877802784,0psq1k2q7ek6,Georgene,4,2473hp,6,51425,1,0,1124,0,True,2
197751.882117159,0psq1k2q7ek6,Georgene,4,2473hp,6,51425,2,100,0,0,True,2
197751.887467569,0psq1k2q7ek6,Georgene,4,2473hp,0,43860,1,0,1124,0,True,1
197751.892056521,0psq1k2q7ek6,Georgene,4,2473hp,0,43860,2,100,0,0,True,1
197751.896451576,0psq1k2q7ek6,Georgene,4,2473hp,6,10197,1,0,1124,0,True,0
197751.900993642,0psq1k2q7ek6,Georgene,4,2473hp,6,10197,2,100,0,0,True,0
197754.769507269,0psq1k2q7ek6,Georgene,5,9u5m7k,4,50431,2,0,100,0,True,5
197754.773913438,0psq1k2q7ek6,Georgene,5,9u5m7k,5,41199,2,0,100,0,True,4
197754.778379992,0psq1k2q7ek6,Georgene,5,9u5m7k,2,47877,2,0,100,0,True,3
197754.782838948,0psq1k2q7ek6,Georgene,5,9u5m7k,2,55067,2,0,100,0,True,2
197754.787538857,0psq1k2q7ek6,Georgene,5,9u5m7k,2,51310,2,0,100,0,True,1
197754.791870782,0psq1k2q7ek6,Georgene,5,9u5m7k,8,26253,2,0,100,0,True,0
197756.253203108,0psq1k2q7ek6,Georgene,5,9u5m7k,5,56596,2,0,100,0,True,7
197756.25704341,0psq1k2q7ek6,Georgene,5,9u5m7k,7,54174,2,0,100,0,True,6
197756.26105743,0psq1k2q7ek6,Georgene,5,2473hp,0,22464,1,0,1124,0,True,5
197756.264799759,0psq1k2q7ek6,Georgene,5,2473hp,0,22464,2,100,0,0,True,5
197756.26961939,0psq1k2q7ek6,Georgene,5,2473hp,8,27263,1,0,1124,0,True,4
197756.275538194,0psq1k2q7ek6,Georgene,5,2473hp,8,27263,2,100,0,0,True,4
197756.279928116,0psq1k2q7ek6,Georgene,5,2473hp,6,10887,1,0,1124,0,True,3
197756.284655654,0psq1k2q7ek6,Georgene,5,2473hp,6,10887,2,100,0,0,True,3
197756.291189623,0psq1k2q7ek6,Georgene,5,2473hp,0,29777,1,0,1124,0,True,2
197756.295615963,0psq1k2q7ek6,Georgene,5,2473hp,0,29777,2,100,0,0,True,2
197756.301992996,0psq1k2q7ek6,Georgene,5,2473hp,0,32745,1,0,1124,0,True,1
197756.306493813,0psq1k2q7ek6,Georgene,5,2473hp,0,32745,2,100,0,0,True,1
197756.31094651,0psq1k2q7ek6,Georgene,5,2473hp,3,54633,1,0,1124,0,True,0
197756.315346227,0psq1k2q7ek6,Georgene,5,2473hp,3,54633,2,100,0,0,True,0
197761.874152868,0psq1k2q7ek6,Georgene,5,9u5m7k,0,18810,2,0,100,0,True,15
197761.879351113,0psq1k2q7ek6,Georgene,5,9u5m7k,6,46480,2,0,100,0,True,14
197761.887965263,0psq1k2q7ek6,Georgene,5,9u5m7k,5,27237,2,0,100,0,True,13
197761.898238291,0psq1k2q7ek6,Georgene,5,9u5m7k,3,38008,2,0,100,0,True,12
197761.903166799,0psq1k2q7ek6,Georgene,5,9u5m7k,3,30401,2,0,100,0,True,11
197761.907635701,0psq1k2q7ek6,Georgene,5,9u5m7k,5,27886,2,0,100,0,True,10
197761.917396218,0psq1k2q7ek6,Georgene,5,9u5m7k,8,32265,2,0,100,0,True,9
197761.925031277,0psq1k2q7ek6,Georgene,5,2473hp,4,44260,1,0,1124,0,True,8
197761.934030397,0psq1k2q7ek6,Georgene,5,2473hp,4,44260,2,100,0,0,True,8
197761.939119341,0psq1k2q7ek6,Georgene,5,2473hp,7,45132,1,0,1124,0,True,7
197761.945270243,0psq1k2q7ek6,Georgene,5,2473hp,7,45132,2,100,0,0,True,7
197761.953171016,0psq1k2q7ek6,Georgene,5,2473hp,1,62727,1,0,1124,0,True,6
197761.957841153,0psq1k2q7ek6,Georgene,5,2473hp,1,62727,2,100,0,0,True,6
197761.96554047,0psq1k2q7ek6,Georgene,5,2473hp,2,48103,1,0,1124,0,True,5
197761.970133184,0psq1k2q7ek6,Georgene,5,2473hp,2,48103,2,100,0,0,True,5
197761.974556736,0psq1k2q7ek6,Georgene,5,2473hp,1,48033,1,0,1124,0,True,4
197761.984565701,0psq1k2q7ek6,Georgene,5,2473hp,1,48033,2,100,0,0,True,4
197761.98923706,0psq1k2q7ek6,Georgene,5,2473hp,7,37908,1,0,1124,0,True,3
197761.997472971,0psq1k2q7ek6,Georgene,5,2473hp,7,37908,2,100,0,0,True,3
197762.002809814,0psq1k2q7ek6,Georgene,5,2473hp,3,55368,1,0,1124,0,True,2
197762.007411748,0psq1k2q7ek6,Georgene,5,2473hp,3,55368,2,100,0,0,True,2
197762.012998441,0psq1k2q7ek6,Georgene,5,2473hp,4,47583,1,0,1124,0,True,1
197762.021226985,0psq1k2q7ek6,Georgene,5,2473hp,4,47583,2,100,0,0,True,1
197762.027405559,0psq1k2q7ek6,Georgene,5,2473hp,5,56467,1,0,1124,0,True,0
197762.033025369,0psq1k2q7ek6,Georgene,5,2473hp,5,56467,2,100,0,0,True,0
197764.46741714,0psq1k2q7ek6,Georgene,6,9u5m7k,1,59923,2,0,100,0,True,2
197764.471050598,0psq1k2q7ek6,Georgene,6,2473hp,0,45854,1,0,1124,0,True,1
197764.475015851,0psq1k2q7ek6,Georgene,6,2473hp,0,45854,2,100,0,0,True,1
197764.478752656,0psq1k2q7ek6,Georgene,6,2473hp,3,2930,1,0,1124,0,True,0
197764.482346005,0psq1k2q7ek6,Georgene,6,2473hp,3,2930,2,100,0,0,True,0
197766.403618173,0psq1k2q7ek6,Georgene,6,9u5m7k,9,65388,2,0,100,0,True,21
197766.407664195,0psq1k2q7ek6,Georgene,6,9u5m7k,8,63311,2,0,100,0,True,20
197766.411821589,0psq1k2q7ek6,Georgene,6,9u5m7k,6,11487,2,0,100,0,True,19
197766.415707804,0psq1k2q7ek6,Georgene,6,9u5m7k,7,6408,2,0,100,0,True,18
197766.419484262,0psq1k2q7ek6,Georgene,6,9u5m7k,8,42627,2,0,100,0,True,17
197766.423231627,0psq1k2q7ek6,Georgene,6,9u5m7k,4,1101,2,0,100,0,True,16
197766.427108278,0psq1k2q7ek6,Georgene,6,9u5m7k,9,62084,2,0,100,0,True,15
197766.430825857,0psq1k2q7ek6,Georgene,6,9u5m7k,5,25192,2,0,100,0,True,14
197766.434535369,0psq1k2q7ek6,Georgene,6,9u5m7k,3,12670,2,0,100,0,True,13
197766.438297149,0psq1k2q7ek6,Georgene,6,9u5m7k,1,10550,2,0,100,0,True,12
197766.442167635,0psq1k2q7ek6,Georgene,6,9u5m7k,6,19938,2,0,100,0,True,11
197766.446019047,0psq1k2q7ek6,Georgene,6,9u5m7k,0,54574,2,0,100,0,True,10
197766.449720223,0psq1k2q7ek6,Georgene,6,9u5m7k,4,64922,2,0,100,0,True,9
