t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
197703.042097573,66h0h9cotts4,Stephany,1,2473hp,4,6402,1,0,0,1124,True,4
197703.046127735,66h0h9cotts4,Stephany,1,2473hp,3,47393,1,0,0,1124,True,3
197703.050352311,66h0h9cotts4,Stephany,1,2473hp,0,38476,1,0,0,1124,True,2
197703.054840826,66h0h9cotts4,Stephany,1,2473hp,1,42748,1,0,0,1124,True,1
197703.059967536,66h0h9cotts4,Stephany,1,2473hp,4,7141,1,0,0,1124,True,0
197704.497662639,66h0h9cotts4,Stephany,1,2473hp,0,60726,1,0,0,1124,True,2
197704.501851042,66h0h9cotts4,Stephany,1,2473hp,5,31674,1,0,0,1124,True,1
197704.506016117,66h0h9cotts4,Stephany,1,2473hp,3,861,1,0,0,1124,True,0
197706.282940259,66h0h9cotts4,Stephany,1,2473hp,0,23360,1,0,0,1124,True,4
197706.287123959,66h0h9cotts4,Stephany,1,2473hp,2,39089,1,0,0,1124,True,3
197706.294195992,66h0h9cotts4,Stephany,1,2473hp,5,43382,1,0,0,1124,True,2
197706.298553681,66h0h9cotts4,Stephany,1,2473hp,0,39975,1,0,0,1124,True,1
197706.303594007,66h0h9cotts4,Stephany,1,2473hp,2,4950,1,0,0,1124,True,0
197708.771812272,66h0h9cotts4,Stephany,1,2473hp,7,10607,1,0,0,1124,True,1
197708.776287015,66h0h9cotts4,Stephany,1,2473hp,2,32511,1,0,0,1124,True,0
197711.391615492,66h0h9cotts4,Stephany,1,3jwruh,5,53881,2,0,0,100,True,5
197711.396582237,66h0h9cotts4,Stephany,1,2473hp,5,40753,1,0,0,1124,True,4
197711.401571297,66h0h9cotts4,Stephany,1,2473hp,4,29004,1,0,0,1124,True,3
197711.407022517,66h0h9cotts4,Stephany,1,2473hp,6,13770,1,0,0,1124,True,2
197711.412069805,66h0h9cotts4,Stephany,1,2473hp,9,6975,1,0,0,1124,True,1
197711.417349102,66h0h9cotts4,Stephany,1,2473hp,2,18595,1,0,0,1124,True,0
197727.1157483,66h0h9cotts4,Stephany,3,3jwruh,2,33088,2,0,0,100,True,17
197727.120936795,66h0h9cotts4,Stephany,3,3jwruh,9,48927,2,0,0,100,True,16
197727.128977135,66h0h9cotts4,Stephany,3,2473hp,4,47583,1,0,0,1124,True,15
197727.134042382,66h0h9cotts4,Stephany,3,2473hp,5,53328,1,0,0,1124,True,14
197727.140562081,66h0h9cotts4,Stephany,3,2473hp,1,1057,1,0,0,1124,True,13
197727.146797683,66h0h9cotts4,Stephany,3,2473hp,9,42694,1,0,0,1124,True,12
197727.151389206,66h0h9cotts4,Stephany,3,4o0b7b,8,40077,1,0,0,1124,True,11
197727.159621153,66h0h9cotts4,Stephany,3,mzl62o,1,60460,1,0,0,1124,True,10
197727.16609722,66h0h9cotts4,Stephany,3,mzl62o,5,53457,1,0,0,1124,True,9
197727.173846504,66h0h9cotts4,Stephany,3,mzl62o,1,62296,1,0,0,1124,True,8
197727.179274621,66h0h9cotts4,Stephany,3,4o0b7b,7,30025,1,0,0,1124,True,7
197727.183969166,66h0h9cotts4,Stephany,3,4o0b7b,0,28350,1,0,0,1124,True,6
197727.188372163,66h0h9cotts4,Stephany,3,3jwruh,4,63536,1,0,0,1124,True,5
197727.198448706,66h0h9cotts4,Stephany,3,mzl62o,8,17142,1,0,0,1124,True,4
197727.204594627,66h0h9cotts4,Stephany,3,mzl62o,0,18042,1,0,0,1124,True,3
197727.211583864,66h0h9cotts4,Stephany,3,2473hp,1,52423,1,0,0,1124,True,2
197727.21616463,66h0h9cotts4,Stephany,3,2473hp,1,48033,1,0,0,1124,True,1
197727.221591901,66h0h9cotts4,Stephany,3,2473hp,3,15122,1,0,0,1124,True,0
197736.412336976,66h0h9cotts4,Stephany,3,3jwruh,7,5641,2,0,0,100,True,30
197736.417814261,66h0h9cotts4,Stephany,3,3jwruh,1,51254,2,0,0,100,True,29
197736.42435997,66h0h9cotts4,Stephany,3,3jwruh,0,45776,2,0,0,100,True,28
197736.429936116,66h0h9cotts4,Stephany,3,mzl62o,3,2249,2,0,0,100,True,27
197736.435014383,66h0h9cotts4,Stephany,3,mzl62o,2,56272,2,0,0,100,True,26
197736.439286326,66h0h9cotts4,Stephany,3,mzl62o,6,25468,2,0,0,100,True,25
197736.443749796,66h0h9cotts4,Stephany,3,mzl62o,5,41847,2,0,0,100,True,24
197736.448628045,66h0h9cotts4,Stephany,3,mzl62o,4,13278,2,0,0,100,True,23
197736.453536653,66h0h9cotts4,Stephany,3,mzl62o,0,52543,2,0,0,100,True,22
197736.457784386,66h0h9cotts4,Stephany,3,mzl62o,2,34669,2,0,0,100,True,21
197736.462693894,66h0h9cotts4,Stephany,3,4o0b7b,5,21413,2,0,0,100,True,20
197736.467851779,66h0h9cotts4,Stephany,3,3jwruh,0,15947,1,0,0,1124,True,19
197736.47219616,66h0h9cotts4,Stephany,3,3jwruh,1,16780,1,0,0,1124,True,18
197736.476691485,66h0h9cotts4,Stephany,3,3jwruh,5,4507,1,0,0,1124,True,17
197736.481526128,66h0h9cotts4,Stephany,3,3jwruh,8,23769,1,0,0,1124,True,16
197736.48651573,66h0h9cotts4,Stephany,3,4o0b7b,8,7622,1,0,0,1124,True,15
197736.490802681,66h0h9cotts4,Stephany,3,4o0b7b,8,3906,1,0,0,1124,True,14
197736.495716398,66h0h9cotts4,Stephany,3,4o0b7b,9,18125,1,0,0,1124,True,13
197736.50087328,66h0h9cotts4,Stephany,3,4o0b7b,7,7454,1,0,0,1124,True,12
197736.505272389,66h0h9cotts4,Stephany,3,4o0b7b,3,39047,1,0,0,1124,True,11
197736.510660774,66h0h9cotts4,Stephany,3,4o0b7b,0,15743,1,0,0,1124,True,10
197736.515561412,66h0h9cotts4,Stephany,3,4o0b7b,1,31498,1,0,0,1124,True,9
197736.520558153,66h0h9cotts4,Stephany,3,4o0b7b,3,9394,1,0,0,1124,True,8
197736.524853755,66h0h9cotts4,Stephany,3,4o0b7b,0,17717,1,0,0,1124,True,7
197736.529855948,66h0h9cotts4,Stephany,3,4o0b7b,5,44993,1,0,0,1124,True,6
197736.534933719,66h0h9cotts4,Stephany,3,3jwruh,7,60386,1,0,0,1124,True,5
197736.539228263,66h0h9cotts4,Stephany,3,3jwruh,0,42828,1,0,0,1124,True,4
197736.543774875,66h0h9cotts4,Stephany,3,3jwruh,1,1301,1,0,0,1124,True,3
197736.548720033,66h0h9cotts4,Stephany,3,3jwruh,6,1252,1,0,0,1124,True,2
197736.553661105,66h0h9cotts4,Stephany,3,3jwruh,5,50801,1,0,0,1124,True,1
197736.557940761,66h0h9cotts4,Stephany,3,3jwruh,3,17778,1,0,0,1124,True,0
197740.913360327,66h0h9cotts4,Stephany,4,3jwruh,9,3609,2,0,0,100,True,25
197740.917765145,66h0h9cotts4,Stephany,4,jgkfhy,0,53170,2,0,100,0,True,24
197740.922010119,66h0h9cotts4,Stephany,4,jgkfhy,3,23081,2,0,100,0,True,23
197740.926932343,66h0h9cotts4,Stephany,4,4o0b7b,4,48131,2,0,0,100,True,22
197740.931826859,66h0h9cotts4,Stephany,4,mzl62o,5,28316,2,0,0,100,True,21
197740.936190532,66h0h9cotts4,Stephany,4,mzl62o,6,47998,2,0,0,100,True,20
197740.940457,66h0h9cotts4,Stephany,4,mzl62o,3,15528,2,0,0,100,True,19
197740.945525777,66h0h9cotts4,Stephany,4,mzl62o,7,53596,2,0,0,100,True,18
197740.950250017,66h0h9cotts4,Stephany,4,mzl62o,9,23632,2,0,0,100,True,17
197740.954530695,66h0h9cotts4,Stephany,4,mzl62o,6,27949,2,0,0,100,True,16
197740.959205594,66h0h9cotts4,Stephany,4,mzl62o,2,12424,2,0,0,100,True,15
197740.964250275,66h0h9cotts4,Stephany,4,mzl62o,2,11242,2,0,0,100,True,14
197740.968589744,66h0h9cotts4,Stephany,4,mzl62o,3,55116,2,0,0,100,True,13
197740.972897462,66h0h9cotts4,Stephany,4,mzl62o,0,54959,2,0,0,100,True,12
197740.978974847,66h0h9cotts4,Stephany,4,3jwruh,2,28083,2,0,0,100,True,11
197740.983766241,66h0h9cotts4,Stephany,4,4o0b7b,0,3544,2,0,0,100,True,10
197740.988028238,66h0h9cotts4,Stephany,4,jgkfhy,9,22534,2,0,100,0,True,9
197740.992908849,66h0h9cotts4,Stephany,4,2473hp,8,38055,1,0,0,1124,True,8
197740.997835813,66h0h9cotts4,Stephany,4,2473hp,9,23881,1,0,0,1124,True,7
197741.002177296,66h0h9cotts4,Stephany,4,3jwruh,9,63401,1,0,0,1124,True,6
197741.006522724,66h0h9cotts4,Stephany,4,3jwruh,7,33901,1,0,0,1124,True,5
197741.013118544,66h0h9cotts4,Stephany,4,3jwruh,8,20443,1,0,0,1124,True,4
197741.019596699,66h0h9cotts4,Stephany,4,4o0b7b,6,59004,1,0,0,1124,True,3
197741.024616414,66h0h9cotts4,Stephany,4,3jwruh,6,41278,1,0,0,1124,True,2
197741.035524386,66h0h9cotts4,Stephany,4,3jwruh,7,11494,1,0,0,1124,True,1
197741.041325537,66h0h9cotts4,Stephany,4,2473hp,6,9915,1,0,0,1124,True,0
197742.90023115,66h0h9cotts4,Stephany,4,3jwruh,3,23030,2,0,0,100,True,2
197742.904463856,66h0h9cotts4,Stephany,4,3jwruh,3,22773,2,0,0,100,True,1
197742.908952472,66h0h9cotts4,Stephany,4,2473hp,1,22371,1,0,0,1124,True,0
197745.732337505,66h0h9cotts4,Stephany,4,4o0b7b,0,11870,2,0,0,100,True,41
197745.736746756,66h0h9cotts4,Stephany,4,4o0b7b,2,34969,2,0,0,100,True,40
197745.741506878,66h0h9cotts4,Stephany,4,4o0b7b,2,43107,2,0,0,100,True,39
197745.746166233,66h0h9cotts4,Stephany,4,4o0b7b,5,2901,2,0,0,100,True,38
197745.750458538,66h0h9cotts4,Stephany,4,4o0b7b,9,62559,2,0,0,100,True,37
197745.754919433,66h0h9cotts4,Stephany,4,4o0b7b,0,49483,2,0,0,100,True,36
197745.759757975,66h0h9cotts4,Stephany,4,4o0b7b,4,7708,2,0,0,100,True,35
197745.764199868,66h0h9cotts4,Stephany,4,4o0b7b,7,31236,2,0,0,100,True,34
197745.768440894,66h0h9cotts4,Stephany,4,4o0b7b,2,14189,2,0,0,100,True,33
197745.772930509,66h0h9cotts4,Stephany,4,4o0b7b,9,35180,2,0,0,100,True,32
197745.778275923,66h0h9cotts4,Stephany,4,4o0b7b,8,46714,2,0,0,100,True,31
197745.782755357,66h0h9cotts4,Stephany,4,4o0b7b,1,15579,2,0,0,100,True,30
197745.787139645,66h0h9cotts4,Stephany,4,mzl62o,3,45574,2,0,0,100,True,29
197745.792009731,66h0h9cotts4,Stephany,4,mzl62o,4,54894,2,0,0,100,True,28
197745.796533348,66h0h9cotts4,Stephany,4,mzl62o,8,31158,2,0,0,100,True,27
197745.800785439,66h0h9cotts4,Stephany,4,mzl62o,3,15073,2,0,0,100,True,26
197745.805150411,66h0h9cotts4,Stephany,4,mzl62o,0,22636,2,0,0,100,True,25
197745.810139446,66h0h9cotts4,Stephany,4,mzl62o,2,25176,2,0,0,100,True,24
197745.814708236,66h0h9cotts4,Stephany,4,mzl62o,4,33450,2,0,0,100,True,23
197745.819069826,66h0h9cotts4,Stephany,4,mzl62o,7,11166,2,0,0,100,True,22
197745.823564727,66h0h9cotts4,Stephany,4,mzl62o,7,51375,2,0,0,100,True,21
197745.828284624,66h0h9cotts4,Stephany,4,mzl62o,5,30368,2,0,0,100,True,20
197745.834197947,66h0h9cotts4,Stephany,4,mzl62o,3,58325,2,0,0,100,True,19
197745.838867817,66h0h9cotts4,Stephany,4,mzl62o,2,3558,2,0,0,100,True,18
197745.845344612,66h0h9cotts4,Stephany,4,mzl62o,5,38453,2,0,0,100,True,17
197745.850546201,66h0h9cotts4,Stephany,4,3jwruh,7,21025,2,0,0,100,True,16
197745.85548144,66h0h9cotts4,Stephany,4,3jwruh,6,10899,2,0,0,100,True,15
197745.860337474,66h0h9cotts4,Stephany,4,4o0b7b,1,7387,2,0,0,100,True,14
197745.864819929,66h0h9cotts4,Stephany,4,4o0b7b,5,29879,2,0,0,100,True,13
197745.869103594,66h0h9cotts4,Stephany,4,4o0b7b,0,15974,2,0,0,100,True,12
197745.873420483,66h0h9cotts4,Stephany,4,4o0b7b,8,45336,2,0,0,100,True,11
197745.878275269,66h0h9cotts4,Stephany,4,4o0b7b,2,11736,2,0,0,100,True,10
197745.882828381,66h0h9cotts4,Stephany,4,4o0b7b,8,61557,2,0,0,100,True,9
197745.887271582,66h0h9cotts4,Stephany,4,3jwruh,0,6345,2,0,0,100,True,8
197745.892262784,66h0h9cotts4,Stephany,4,3jwruh,4,17069,2,0,0,100,True,7
197745.897201099,66h0h9cotts4,Stephany,4,3jwruh,1,25427,2,0,0,100,True,6
197745.901574382,66h0h9cotts4,Stephany,4,3jwruh,0,16426,2,0,0,100,True,5
197745.906148009,66h0h9cotts4,Stephany,4,4o0b7b,3,29079,2,0,0,100,True,4
197745.911015563,66h0h9cotts4,Stephany,4,4o0b7b,5,31845,2,0,0,100,True,3
197745.915634582,66h0h9cotts4,Stephany,4,4o0b7b,0,2440,2,0,0,100,True,2
197745.92002089,66h0h9cotts4,Stephany,4,mzl62o,1,60460,2,0,0,100,True,1
197745.924868229,66h0h9cotts4,Stephany,4,4o0b7b,7,26550,2,0,0,100,True,0
197758.957184921,66h0h9cotts4,Stephany,6,2473hp,1,64684,2,0,0,100,True,20
