t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
197703.128250592,d3jf3hxz9b72,Stephany,1,zdzy5u,6,65117,1,0,0,1124,True,1
197703.132103718,d3jf3hxz9b72,Stephany,1,zdzy5u,3,26919,1,0,0,1124,True,0
197704.572446367,d3jf3hxz9b72,Stephany,1,zdzy5u,8,33243,1,0,0,1124,True,4
197704.577131521,d3jf3hxz9b72,Stephany,1,zdzy5u,2,36468,1,0,0,1124,True,3
197704.581340311,d3jf3hxz9b72,Stephany,1,zdzy5u,0,35617,1,0,0,1124,True,2
197704.585460755,d3jf3hxz9b72,Stephany,1,zdzy5u,1,16201,1,0,0,1124,True,1
197704.590298313,d3jf3hxz9b72,Stephany,1,zdzy5u,2,30891,1,0,0,1124,True,0
197706.406289195,d3jf3hxz9b72,Stephany,1,zdzy5u,2,65490,1,0,0,1124,True,3
197706.410374432,d3jf3hxz9b72,Stephany,1,zdzy5u,9,21332,1,0,0,1124,True,2
197706.414261242,d3jf3hxz9b72,Stephany,1,zdzy5u,0,6799,1,0,0,1124,True,1
197706.418346229,d3jf3hxz9b72,Stephany,1,zdzy5u,9,20438,1,0,0,1124,True,0
197708.929337147,d3jf3hxz9b72,Stephany,1,zdzy5u,7,44591,1,0,0,1124,True,17
197708.934224624,d3jf3hxz9b72,Stephany,1,jgkfhy,0,29679,1,0,0,1124,True,16
197708.939928996,d3jf3hxz9b72,Stephany,1,kzl3xn,4,22675,1,0,0,1124,True,15
197708.945191787,d3jf3hxz9b72,Stephany,1,tcigtr,6,10032,1,0,0,1124,True,14
197708.949937507,d3jf3hxz9b72,Stephany,1,kzl3xn,8,7112,1,0,0,1124,True,13
197708.95577641,d3jf3hxz9b72,Stephany,1,kzl3xn,0,7506,1,0,0,1124,True,12
197708.960954979,d3jf3hxz9b72,Stephany,1,jgkfhy,5,1527,1,0,0,1124,True,11
197708.965352257,d3jf3hxz9b72,Stephany,1,mzl62o,5,53457,1,0,0,1124,True,10
197708.970360012,d3jf3hxz9b72,Stephany,1,tcigtr,5,32659,1,0,0,1124,True,9
197708.976715167,d3jf3hxz9b72,Stephany,1,tcigtr,0,19003,1,0,0,1124,True,8
197708.9842511,d3jf3hxz9b72,Stephany,1,tcigtr,9,64094,1,0,0,1124,True,7
