t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
197714.225321731,eaax0ozm1pvi,Shawnda,2,jgkfhy,4,43768,1,0,0,1124,True,26
197714.22946843,eaax0ozm1pvi,Shawnda,2,9u5m7k,4,33649,1,0,1124,0,True,25
197714.233956648,eaax0ozm1pvi,Shawnda,2,9u5m7k,4,33649,2,100,0,0,True,25
197714.238271879,eaax0ozm1pvi,Shawnda,2,9u5m7k,1,34709,1,0,1124,0,True,24
197714.242775572,eaax0ozm1pvi,Shawnda,2,9u5m7k,1,34709,2,100,0,0,True,24
197714.247506188,eaax0ozm1pvi,Shawnda,2,9u5m7k,8,3148,1,0,1124,0,True,23
197714.252286251,eaax0ozm1pvi,Shawnda,2,9u5m7k,8,3148,2,100,0,0,True,23
197714.256538453,eaax0ozm1pvi,Shawnda,2,9u5m7k,7,24134,1,0,1124,0,True,22
197714.261149977,eaax0ozm1pvi,Shawnda,2,9u5m7k,7,24134,2,100,0,0,True,22
197714.265914413,eaax0ozm1pvi,Shawnda,2,9u5m7k,1,22258,1,0,1124,0,True,21
197714.270454185,eaax0ozm1pvi,Shawnda,2,9u5m7k,1,22258,2,100,0,0,True,21
197714.274755267,eaax0ozm1pvi,Shawnda,2,9u5m7k,2,55067,1,0,1124,0,True,20
197714.279219869,eaax0ozm1pvi,Shawnda,2,9u5m7k,2,55067,2,100,0,0,True,20
197714.284046817,eaax0ozm1pvi,Shawnda,2,jgkfhy,4,11208,1,0,0,1124,True,19
197714.288407441,eaax0ozm1pvi,Shawnda,2,9u5m7k,4,50431,1,0,1124,0,True,18
197714.292860652,eaax0ozm1pvi,Shawnda,2,9u5m7k,4,50431,2,100,0,0,True,18
197714.297319992,eaax0ozm1pvi,Shawnda,2,jgkfhy,5,37988,1,0,0,1124,True,17
197714.301637119,eaax0ozm1pvi,Shawnda,2,9u5m7k,5,41199,1,0,1124,0,True,16
197714.305908579,eaax0ozm1pvi,Shawnda,2,9u5m7k,5,41199,2,100,0,0,True,16
197714.312886649,eaax0ozm1pvi,Shawnda,2,9u5m7k,7,13820,1,0,1124,0,True,15
197714.320526,eaax0ozm1pvi,Shawnda,2,9u5m7k,7,13820,2,100,0,0,True,15
197714.325053511,eaax0ozm1pvi,Shawnda,2,jgkfhy,9,21134,1,0,0,1124,True,14
197714.332456317,eaax0ozm1pvi,Shawnda,2,jgkfhy,1,45810,1,0,0,1124,True,13
197714.33701453,eaax0ozm1pvi,Shawnda,2,9u5m7k,2,51310,1,0,1124,0,True,12
197714.341309132,eaax0ozm1pvi,Shawnda,2,9u5m7k,2,51310,2,100,0,0,True,12
197714.346066141,eaax0ozm1pvi,Shawnda,2,9u5m7k,7,2176,1,0,1124,0,True,11
197714.350863487,eaax0ozm1pvi,Shawnda,2,9u5m7k,7,2176,2,100,0,0,True,11
197714.355325916,eaax0ozm1pvi,Shawnda,2,9u5m7k,9,39904,1,0,1124,0,True,10
197714.359901704,eaax0ozm1pvi,Shawnda,2,9u5m7k,9,39904,2,100,0,0,True,10
197714.364604347,eaax0ozm1pvi,Shawnda,2,9u5m7k,2,9439,1,0,1124,0,True,9
197714.36903678,eaax0ozm1pvi,Shawnda,2,9u5m7k,2,9439,2,100,0,0,True,9
197714.373420616,eaax0ozm1pvi,Shawnda,2,jgkfhy,6,26271,1,0,0,1124,True,8
197714.378054693,eaax0ozm1pvi,Shawnda,2,jgkfhy,9,36905,1,0,0,1124,True,7
197714.382953585,eaax0ozm1pvi,Shawnda,2,9u5m7k,9,13171,1,0,1124,0,True,6
197714.387421719,eaax0ozm1pvi,Shawnda,2,9u5m7k,9,13171,2,100,0,0,True,6
197714.391815488,eaax0ozm1pvi,Shawnda,2,jgkfhy,2,55138,1,0,0,1124,True,5
197714.396401747,eaax0ozm1pvi,Shawnda,2,jgkfhy,7,48111,1,0,0,1124,True,4
197714.400936177,eaax0ozm1pvi,Shawnda,2,9u5m7k,9,13312,1,0,1124,0,True,3
197714.405254383,eaax0ozm1pvi,Shawnda,2,9u5m7k,9,13312,2,100,0,0,True,3
197714.409625604,eaax0ozm1pvi,Shawnda,2,jgkfhy,2,28273,1,0,0,1124,True,2
197714.414227717,eaax0ozm1pvi,Shawnda,2,jgkfhy,5,29934,1,0,0,1124,True,1
197714.418818814,eaax0ozm1pvi,Shawnda,2,9u5m7k,9,1562,1,0,1124,0,True,0
197714.423149669,eaax0ozm1pvi,Shawnda,2,9u5m7k,9,1562,2,100,0,0,True,0
197720.800564211,eaax0ozm1pvi,Shawnda,2,jgkfhy,7,17904,2,0,0,100,True,12
197720.804799059,eaax0ozm1pvi,Shawnda,2,mzl62o,9,423,1,0,0,1124,True,11
197720.809792186,eaax0ozm1pvi,Shawnda,2,2473hp,2,58175,1,0,0,1124,True,10
197720.814362443,eaax0ozm1pvi,Shawnda,2,mzl62o,9,23632,1,0,0,1124,True,9
197720.818577876,eaax0ozm1pvi,Shawnda,2,mzl62o,0,54959,1,0,0,1124,True,8
197720.822718024,eaax0ozm1pvi,Shawnda,2,mzl62o,4,34943,1,0,0,1124,True,7
197720.827836391,eaax0ozm1pvi,Shawnda,2,2473hp,1,22643,1,0,0,1124,True,6
197720.832231721,eaax0ozm1pvi,Shawnda,2,2473hp,9,61140,1,0,0,1124,True,5
197720.836435343,eaax0ozm1pvi,Shawnda,2,mzl62o,0,32330,1,0,0,1124,True,4
197720.840923571,eaax0ozm1pvi,Shawnda,2,mzl62o,6,27949,1,0,0,1124,True,3
197720.846120202,eaax0ozm1pvi,Shawnda,2,9u5m7k,6,52494,1,0,1124,0,True,2
197720.850607455,eaax0ozm1pvi,Shawnda,2,9u5m7k,6,52494,2,100,0,0,True,2
197720.854828399,eaax0ozm1pvi,Shawnda,2,9u5m7k,8,26253,1,0,1124,0,True,1
197720.859891974,eaax0ozm1pvi,Shawnda,2,9u5m7k,8,26253,2,100,0,0,True,1
197720.864481676,eaax0ozm1pvi,Shawnda,2,9u5m7k,2,47877,1,0,1124,0,True,0
197720.868698409,eaax0ozm1pvi,Shawnda,2,9u5m7k,2,47877,2,100,0,0,True,0
197726.077188298,eaax0ozm1pvi,Shawnda,2,jgkfhy,8,53686,2,0,0,100,True,39
197726.082262094,eaax0ozm1pvi,Shawnda,2,jgkfhy,0,18561,2,0,0,100,True,38
197726.087261589,eaax0ozm1pvi,Shawnda,2,9u5m7k,5,56596,1,0,1124,0,True,37
197726.094598861,eaax0ozm1pvi,Shawnda,2,9u5m7k,5,56596,2,100,0,0,True,37
197726.09994247,eaax0ozm1pvi,Shawnda,2,9u5m7k,7,54174,1,0,1124,0,True,36
197726.105189558,eaax0ozm1pvi,Shawnda,2,9u5m7k,7,54174,2,100,0,0,True,36
197726.113860788,eaax0ozm1pvi,Shawnda,2,mzl62o,9,59735,1,0,0,1124,True,35
197726.118479423,eaax0ozm1pvi,Shawnda,2,mzl62o,2,45288,1,0,0,1124,True,34
197726.125117296,eaax0ozm1pvi,Shawnda,2,mzl62o,7,62598,1,0,0,1124,True,33
197726.132200897,eaax0ozm1pvi,Shawnda,2,mzl62o,3,15073,1,0,0,1124,True,32
197726.137321629,eaax0ozm1pvi,Shawnda,2,2473hp,7,50112,1,0,0,1124,True,31
197726.145736718,eaax0ozm1pvi,Shawnda,2,2473hp,5,5847,1,0,0,1124,True,30
197726.150904888,eaax0ozm1pvi,Shawnda,2,2473hp,8,37237,1,0,0,1124,True,29
197726.155662786,eaax0ozm1pvi,Shawnda,2,2473hp,8,5854,1,0,0,1124,True,28
197726.164538151,eaax0ozm1pvi,Shawnda,2,2473hp,1,27089,1,0,0,1124,True,27
197726.169127436,eaax0ozm1pvi,Shawnda,2,2473hp,9,63361,1,0,0,1124,True,26
197726.173709706,eaax0ozm1pvi,Shawnda,2,2473hp,6,25565,1,0,0,1124,True,25
197726.184881956,eaax0ozm1pvi,Shawnda,2,2473hp,3,57003,1,0,0,1124,True,24
197726.192632119,eaax0ozm1pvi,Shawnda,2,tcigtr,2,31957,1,0,1124,0,True,23
197726.199166619,eaax0ozm1pvi,Shawnda,2,tcigtr,2,31957,2,100,0,0,True,23
197726.204346902,eaax0ozm1pvi,Shawnda,2,mzl62o,0,2382,1,0,0,1124,True,22
197726.212821979,eaax0ozm1pvi,Shawnda,2,mzl62o,2,3558,1,0,0,1124,True,21
197726.218038259,eaax0ozm1pvi,Shawnda,2,mzl62o,4,12772,1,0,0,1124,True,20
197726.223546341,eaax0ozm1pvi,Shawnda,2,mzl62o,0,22636,1,0,0,1124,True,19
