t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
197703.25015702,jufml9vsrec0,Yuriko,1,ta2g7e,7,24472,1,0,0,1124,True,3
197703.25413515,jufml9vsrec0,Yuriko,1,ta2g7e,1,57794,1,0,0,1124,True,2
197703.25950938,jufml9vsrec0,Yuriko,1,ta2g7e,0,33519,1,0,0,1124,True,1
197703.263984498,jufml9vsrec0,Yuriko,1,ta2g7e,5,27086,1,0,0,1124,True,0
197704.709805021,jufml9vsrec0,Yuriko,1,ta2g7e,9,9205,1,0,0,1124,True,6
197704.714136845,jufml9vsrec0,Yuriko,1,ta2g7e,2,17811,1,0,0,1124,True,5
197704.71830476,jufml9vsrec0,Yuriko,1,ta2g7e,4,4113,1,0,0,1124,True,4
197704.722985516,jufml9vsrec0,Yuriko,1,ta2g7e,6,45796,1,0,0,1124,True,3
197704.727612277,jufml9vsrec0,Yuriko,1,ta2g7e,3,25775,1,0,0,1124,True,2
197704.731824652,jufml9vsrec0,Yuriko,1,ta2g7e,5,16200,1,0,0,1124,True,1
197704.736051309,jufml9vsrec0,Yuriko,1,ta2g7e,6,44080,1,0,0,1124,True,0
197706.712824289,jufml9vsrec0,Yuriko,1,ta2g7e,7,5816,1,0,0,1124,True,16
197706.717050988,jufml9vsrec0,Yuriko,1,ta2g7e,2,21712,1,0,0,1124,True,15
197706.721704649,jufml9vsrec0,Yuriko,1,ta2g7e,3,54685,1,0,0,1124,True,14
197706.726289623,jufml9vsrec0,Yuriko,1,ta2g7e,9,32373,1,0,0,1124,True,13
197706.73059913,jufml9vsrec0,Yuriko,1,ta2g7e,0,56818,1,0,0,1124,True,12
197706.734967883,jufml9vsrec0,Yuriko,1,ta2g7e,4,27908,1,0,0,1124,True,11
197706.739551847,jufml9vsrec0,Yuriko,1,kzl3xn,0,39610,2,0,0,100,True,10
197706.74403487,jufml9vsrec0,Yuriko,1,ta2g7e,9,10330,1,0,0,1124,True,9
197706.748314333,jufml9vsrec0,Yuriko,1,ta2g7e,2,27810,1,0,0,1124,True,8
197706.752698398,jufml9vsrec0,Yuriko,1,ta2g7e,5,22932,1,0,0,1124,True,7
197706.75730089,jufml9vsrec0,Yuriko,1,ta2g7e,7,44912,1,0,0,1124,True,6
197706.761812783,jufml9vsrec0,Yuriko,1,ta2g7e,0,28121,1,0,0,1124,True,5
197706.76600132,jufml9vsrec0,Yuriko,1,ta2g7e,1,49147,1,0,0,1124,True,4
197706.770396348,jufml9vsrec0,Yuriko,1,ta2g7e,2,2710,1,0,0,1124,True,3
197706.774975875,jufml9vsrec0,Yuriko,1,ta2g7e,4,1309,1,0,0,1124,True,2
197706.779766815,jufml9vsrec0,Yuriko,1,ta2g7e,5,15307,1,0,0,1124,True,1
197706.783845595,jufml9vsrec0,Yuriko,1,ta2g7e,6,7918,1,0,0,1124,True,0
197709.268475098,jufml9vsrec0,Yuriko,1,4o0b7b,7,30025,1,0,0,1124,True,11
197709.273893206,jufml9vsrec0,Yuriko,1,4o0b7b,0,28350,1,0,0,1124,True,10
197709.278718171,jufml9vsrec0,Yuriko,1,4o0b7b,1,14458,1,0,0,1124,True,9
197709.283357942,jufml9vsrec0,Yuriko,1,ta2g7e,0,49992,1,0,0,1124,True,8
197709.29189339,jufml9vsrec0,Yuriko,1,ta2g7e,1,63854,1,0,0,1124,True,7
197709.297174089,jufml9vsrec0,Yuriko,1,ta2g7e,3,23590,1,0,0,1124,True,6
197709.302011046,jufml9vsrec0,Yuriko,1,ta2g7e,4,18983,1,0,0,1124,True,5
197709.310606012,jufml9vsrec0,Yuriko,1,ta2g7e,7,25326,1,0,0,1124,True,4
197709.31514221,jufml9vsrec0,Yuriko,1,ta2g7e,8,46810,1,0,0,1124,True,3
197709.321629724,jufml9vsrec0,Yuriko,1,ta2g7e,9,14369,1,0,0,1124,True,2
197709.326505058,jufml9vsrec0,Yuriko,1,ta2g7e,2,49203,1,0,0,1124,True,1
197709.330972751,jufml9vsrec0,Yuriko,1,ta2g7e,3,3633,1,0,0,1124,True,0
197712.035680768,jufml9vsrec0,Yuriko,1,ta2g7e,5,50176,1,0,0,1124,True,12
197712.041531756,jufml9vsrec0,Yuriko,1,ta2g7e,6,17319,1,0,0,1124,True,11
197712.046627243,jufml9vsrec0,Yuriko,1,4o0b7b,7,2071,1,0,0,1124,True,10
197712.052280448,jufml9vsrec0,Yuriko,1,4o0b7b,9,17087,1,0,0,1124,True,9
197712.057282369,jufml9vsrec0,Yuriko,1,4o0b7b,3,23312,1,0,0,1124,True,8
197712.062304021,jufml9vsrec0,Yuriko,1,ta2g7e,8,40734,1,0,0,1124,True,7
197712.067261268,jufml9vsrec0,Yuriko,1,4o0b7b,4,48131,1,0,0,1124,True,6
197712.072891615,jufml9vsrec0,Yuriko,1,4o0b7b,6,14843,1,0,0,1124,True,5
197712.077868507,jufml9vsrec0,Yuriko,1,ta2g7e,0,41945,1,0,0,1124,True,4
197712.082851838,jufml9vsrec0,Yuriko,1,ta2g7e,1,51956,1,0,0,1124,True,3
197712.08840439,jufml9vsrec0,Yuriko,1,ta2g7e,6,32096,1,0,0,1124,True,2
197712.093296018,jufml9vsrec0,Yuriko,1,ta2g7e,7,29387,1,0,0,1124,True,1
197712.098055711,jufml9vsrec0,Yuriko,1,ta2g7e,1,24983,1,0,0,1124,True,0
197716.114112313,jufml9vsrec0,Yuriko,2,kzl3xn,0,31507,2,0,0,100,True,34
197716.120422797,jufml9vsrec0,Yuriko,2,ta2g7e,5,14030,1,0,0,1124,True,33
197716.124739859,jufml9vsrec0,Yuriko,2,4o0b7b,0,64405,1,0,0,1124,True,32
197716.129434564,jufml9vsrec0,Yuriko,2,4o0b7b,5,29879,1,0,0,1124,True,31
197716.136589524,jufml9vsrec0,Yuriko,2,4o0b7b,7,18076,1,0,0,1124,True,30
197716.141116514,jufml9vsrec0,Yuriko,2,4o0b7b,7,65147,1,0,0,1124,True,29
197716.146464219,jufml9vsrec0,Yuriko,2,4o0b7b,2,14189,1,0,0,1124,True,28
197716.15140859,jufml9vsrec0,Yuriko,2,4o0b7b,4,29303,1,0,0,1124,True,27
197716.155686177,jufml9vsrec0,Yuriko,2,4o0b7b,3,50138,1,0,0,1124,True,26
197716.160172517,jufml9vsrec0,Yuriko,2,4o0b7b,4,16727,1,0,0,1124,True,25
197716.16513735,jufml9vsrec0,Yuriko,2,4o0b7b,8,19196,1,0,0,1124,True,24
197716.16950674,jufml9vsrec0,Yuriko,2,4o0b7b,0,11870,1,0,0,1124,True,23
197716.173895737,jufml9vsrec0,Yuriko,2,4o0b7b,2,52814,1,0,0,1124,True,22
197716.179023295,jufml9vsrec0,Yuriko,2,4o0b7b,5,39112,1,0,0,1124,True,21
197716.183984795,jufml9vsrec0,Yuriko,2,4o0b7b,6,20084,1,0,0,1124,True,20
197716.188309964,jufml9vsrec0,Yuriko,2,ta2g7e,9,38975,1,0,0,1124,True,19
197716.19272833,jufml9vsrec0,Yuriko,2,ta2g7e,0,56061,1,0,0,1124,True,18
197716.197539142,jufml9vsrec0,Yuriko,2,ta2g7e,1,2106,1,0,0,1124,True,17
197716.202240734,jufml9vsrec0,Yuriko,2,ta2g7e,4,21756,1,0,0,1124,True,16
197716.206696363,jufml9vsrec0,Yuriko,2,ta2g7e,6,18520,1,0,0,1124,True,15
197716.211310343,jufml9vsrec0,Yuriko,2,4o0b7b,2,34969,1,0,0,1124,True,14
197716.216160495,jufml9vsrec0,Yuriko,2,4o0b7b,3,32648,1,0,0,1124,True,13
197716.220716945,jufml9vsrec0,Yuriko,2,4o0b7b,5,8647,1,0,0,1124,True,12
197716.225103393,jufml9vsrec0,Yuriko,2,4o0b7b,9,61006,1,0,0,1124,True,11
197716.229685729,jufml9vsrec0,Yuriko,2,4o0b7b,3,46476,1,0,0,1124,True,10
197716.234039922,jufml9vsrec0,Yuriko,2,kzl3xn,3,10640,1,0,0,1124,True,9
197716.238568036,jufml9vsrec0,Yuriko,2,4o0b7b,9,35180,1,0,0,1124,True,8
197716.243012457,jufml9vsrec0,Yuriko,2,4o0b7b,1,6274,1,0,0,1124,True,7
197716.247299176,jufml9vsrec0,Yuriko,2,4o0b7b,2,43107,1,0,0,1124,True,6
197716.251956372,jufml9vsrec0,Yuriko,2,4o0b7b,8,46714,1,0,0,1124,True,5
197716.256208245,jufml9vsrec0,Yuriko,2,4o0b7b,6,62955,1,0,0,1124,True,4
197716.260467999,jufml9vsrec0,Yuriko,2,ta2g7e,2,41526,1,0,0,1124,True,3
197716.265012319,jufml9vsrec0,Yuriko,2,ta2g7e,4,59255,1,0,0,1124,True,2
197716.269321259,jufml9vsrec0,Yuriko,2,ta2g7e,5,38406,1,0,0,1124,True,1
197716.273842807,jufml9vsrec0,Yuriko,2,ta2g7e,1,44661,1,0,0,1124,True,0
197719.564341993,jufml9vsrec0,Yuriko,2,kzl3xn,7,13264,2,0,0,100,True,10
197719.568688194,jufml9vsrec0,Yuriko,2,ta2g7e,4,1017,1,0,0,1124,True,9
197719.572986539,jufml9vsrec0,Yuriko,2,4o0b7b,1,18463,1,0,0,1124,True,8
197719.577582904,jufml9vsrec0,Yuriko,2,4o0b7b,6,40756,1,0,0,1124,True,7
197719.582122947,jufml9vsrec0,Yuriko,2,kzl3xn,2,7555,1,0,0,1124,True,6
197719.586405624,jufml9vsrec0,Yuriko,2,kzl3xn,5,38392,1,0,0,1124,True,5
197719.590569586,jufml9vsrec0,Yuriko,2,4o0b7b,2,33835,1,0,0,1124,True,4
197719.595984758,jufml9vsrec0,Yuriko,2,4o0b7b,3,29079,1,0,0,1124,True,3
197719.600441535,jufml9vsrec0,Yuriko,2,4o0b7b,8,25229,1,0,0,1124,True,2
197719.604733494,jufml9vsrec0,Yuriko,2,4o0b7b,1,61061,1,0,0,1124,True,1
