t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
197698.313694767,kidd2x078pkp,Stephany,0,jgkfhy,9,36737,1,1124,0,0,True,0
197698.358253695,kidd2x078pkp,Stephany,0,jgkfhy,3,11719,1,1124,0,0,True,0
197698.41754289,kidd2x078pkp,Stephany,0,jgkfhy,2,26285,1,1124,0,0,True,0
197698.477231839,kidd2x078pkp,Stephany,0,jgkfhy,1,59535,1,1124,0,0,True,0
197698.532996359,kidd2x078pkp,Stephany,0,jgkfhy,8,29507,1,1124,0,0,True,0
197698.592704492,kidd2x078pkp,Stephany,0,jgkfhy,7,17904,1,1124,0,0,True,0
197698.643403769,kidd2x078pkp,Stephany,0,jgkfhy,4,43768,1,1124,0,0,True,0
197698.70247551,kidd2x078pkp,Stephany,0,jgkfhy,0,29679,1,1124,0,0,True,0
197698.751899508,kidd2x078pkp,Stephany,0,jgkfhy,5,48137,1,1124,0,0,True,0
197698.802225122,kidd2x078pkp,Stephany,0,jgkfhy,6,20623,1,1124,0,0,True,0
197698.854735101,kidd2x078pkp,Stephany,0,jgkfhy,0,55813,1,1124,0,0,True,0
197698.910734354,kidd2x078pkp,Stephany,0,jgkfhy,1,24451,1,1124,0,0,True,0
197698.963814762,kidd2x078pkp,Stephany,0,jgkfhy,2,28874,1,1124,0,0,True,0
197699.021129334,kidd2x078pkp,Stephany,0,jgkfhy,3,48276,1,1124,0,0,True,0
197699.08333029,kidd2x078pkp,Stephany,0,jgkfhy,4,50214,1,1124,0,0,True,0
197699.136312666,kidd2x078pkp,Stephany,0,jgkfhy,5,1527,1,1124,0,0,True,0
197699.187205523,kidd2x078pkp,Stephany,0,jgkfhy,6,30214,1,1124,0,0,True,0
197699.238186997,kidd2x078pkp,Stephany,0,jgkfhy,7,19250,1,1124,0,0,True,0
197699.296468203,kidd2x078pkp,Stephany,0,jgkfhy,8,53686,1,1124,0,0,True,0
197699.349957827,kidd2x078pkp,Stephany,0,jgkfhy,9,52809,1,1124,0,0,True,0
197699.410747194,kidd2x078pkp,Stephany,0,jgkfhy,0,52800,1,1124,0,0,True,0
197699.473826783,kidd2x078pkp,Stephany,0,jgkfhy,1,28794,1,1124,0,0,True,0
197699.540403082,kidd2x078pkp,Stephany,0,jgkfhy,2,23956,1,1124,0,0,True,0
