t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
197703.617609682,lol7rdexb9dl,Toshiko,1,tcigtr,1,38302,1,0,0,1124,True,5
197703.621564421,lol7rdexb9dl,Toshiko,1,tcigtr,3,51542,1,0,0,1124,True,4
197703.626555218,lol7rdexb9dl,Toshiko,1,tcigtr,5,32659,1,0,0,1124,True,3
197703.630852931,lol7rdexb9dl,Toshiko,1,tcigtr,0,19003,1,0,0,1124,True,2
197703.635055679,lol7rdexb9dl,Toshiko,1,3jwruh,1,691,1,0,0,1124,True,1
197703.639679724,lol7rdexb9dl,Toshiko,1,tcigtr,2,31957,1,0,0,1124,True,0
197705.202479158,lol7rdexb9dl,Toshiko,1,3jwruh,0,54853,1,0,0,1124,True,9
197705.207321929,lol7rdexb9dl,Toshiko,1,tcigtr,1,7815,1,0,0,1124,True,8
197705.211869586,lol7rdexb9dl,Toshiko,1,3jwruh,2,28083,1,0,0,1124,True,7
197705.21609052,lol7rdexb9dl,Toshiko,1,tcigtr,5,36286,1,0,0,1124,True,6
197705.220534585,lol7rdexb9dl,Toshiko,1,tcigtr,7,45118,1,0,0,1124,True,5
197705.225485375,lol7rdexb9dl,Toshiko,1,3jwruh,7,12410,1,0,0,1124,True,4
197705.229845697,lol7rdexb9dl,Toshiko,1,tcigtr,8,30746,1,0,0,1124,True,3
197705.234069174,lol7rdexb9dl,Toshiko,1,tcigtr,9,59033,1,0,0,1124,True,2
197705.238895082,lol7rdexb9dl,Toshiko,1,tcigtr,4,31047,1,0,0,1124,True,1
197705.243584113,lol7rdexb9dl,Toshiko,1,3jwruh,5,56029,1,0,0,1124,True,0
197707.829257689,lol7rdexb9dl,Toshiko,1,tcigtr,8,42752,1,0,0,1124,True,15
197707.833231302,lol7rdexb9dl,Toshiko,1,3jwruh,0,40138,1,0,0,1124,True,14
197707.837800344,lol7rdexb9dl,Toshiko,1,tcigtr,4,16564,1,0,0,1124,True,13
197707.842213378,lol7rdexb9dl,Toshiko,1,tcigtr,8,55055,1,0,0,1124,True,12
197707.846405645,lol7rdexb9dl,Toshiko,1,tcigtr,9,61100,1,0,0,1124,True,11
197707.850426662,lol7rdexb9dl,Toshiko,1,tcigtr,1,24505,1,0,0,1124,True,10
197707.854941516,lol7rdexb9dl,Toshiko,1,tcigtr,6,25555,1,0,0,1124,True,9
197707.859273963,lol7rdexb9dl,Toshiko,1,zdzy5u,9,100,2,0,0,100,True,8
197707.863430843,lol7rdexb9dl,Toshiko,1,3jwruh,9,63401,1,0,0,1124,True,7
197707.867602995,lol7rdexb9dl,Toshiko,1,3jwruh,0,45776,1,0,0,1124,True,6
197707.872222109,lol7rdexb9dl,Toshiko,1,tcigtr,1,35830,1,0,0,1124,True,5
197707.876757082,lol7rdexb9dl,Toshiko,1,tcigtr,0,16331,1,0,0,1124,True,4
197707.881473151,lol7rdexb9dl,Toshiko,1,3jwruh,3,23030,1,0,0,1124,True,3
197707.890482368,lol7rdexb9dl,Toshiko,1,tcigtr,4,46742,1,0,0,1124,True,2
197707.895568748,lol7rdexb9dl,Toshiko,1,tcigtr,5,10264,1,0,0,1124,True,1
197707.89982737,lol7rdexb9dl,Toshiko,1,tcigtr,6,41,1,0,0,1124,True,0
197710.130874631,lol7rdexb9dl,Toshiko,1,kzl3xn,7,51473,2,0,0,100,True,14
197710.135733151,lol7rdexb9dl,Toshiko,1,tcigtr,7,56013,1,0,0,1124,True,13
197710.141154415,lol7rdexb9dl,Toshiko,1,tcigtr,8,2753,1,0,0,1124,True,12
197710.14592452,lol7rdexb9dl,Toshiko,1,3jwruh,8,20443,1,0,0,1124,True,11
197710.150684398,lol7rdexb9dl,Toshiko,1,tcigtr,6,23222,1,0,0,1124,True,10
197710.156242678,lol7rdexb9dl,Toshiko,1,3jwruh,0,15367,1,0,0,1124,True,9
