t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
197707.407409582,neofcn8hv2ux,Cordia,1,zdzy5u,1,18397,2,0,0,100,True,0
197712.752157795,neofcn8hv2ux,Cordia,1,zdzy5u,5,11473,2,0,0,100,True,1
197712.756737561,neofcn8hv2ux,Cordia,1,zdzy5u,2,20441,2,0,0,100,True,0
197719.984857575,neofcn8hv2ux,Cordia,2,zdzy5u,9,28712,2,0,0,100,True,4
197719.989048173,neofcn8hv2ux,Cordia,2,zdzy5u,6,8888,2,0,0,100,True,3
197719.993644139,neofcn8hv2ux,Cordia,2,zdzy5u,1,16201,1,0,0,1124,True,2
197719.99818868,neofcn8hv2ux,Cordia,2,zdzy5u,2,30891,1,0,0,1124,True,1
197720.002440767,neofcn8hv2ux,Cordia,2,zdzy5u,6,64234,1,0,0,1124,True,0
197723.879375307,neofcn8hv2ux,Cordia,2,zdzy5u,0,56665,2,0,0,100,True,7
197723.883688754,neofcn8hv2ux,Cordia,2,zdzy5u,9,22641,2,0,0,100,True,6
197723.88802599,neofcn8hv2ux,Cordia,2,zdzy5u,9,39931,2,0,0,100,True,5
197723.894478597,neofcn8hv2ux,Cordia,2,zdzy5u,6,4318,1,0,0,1124,True,4
197723.898839371,neofcn8hv2ux,Cordia,2,zdzy5u,9,20438,1,0,0,1124,True,3
197723.903041629,neofcn8hv2ux,Cordia,2,zdzy5u,7,27698,1,0,0,1124,True,2
197723.908191414,neofcn8hv2ux,Cordia,2,zdzy5u,9,21332,1,0,0,1124,True,1
197723.914255279,neofcn8hv2ux,Cordia,2,zdzy5u,2,25324,1,0,0,1124,True,0
197728.286608587,neofcn8hv2ux,Cordia,3,zdzy5u,8,18435,2,0,0,100,True,6
197728.291730968,neofcn8hv2ux,Cordia,3,zdzy5u,0,24987,2,0,0,100,True,5
197728.296369433,neofcn8hv2ux,Cordia,3,zdzy5u,8,40924,2,0,0,100,True,4
197728.30063755,neofcn8hv2ux,Cordia,3,zdzy5u,9,7957,1,0,0,1124,True,3
197728.305852546,neofcn8hv2ux,Cordia,3,zdzy5u,3,47861,1,0,0,1124,True,2
197728.310743606,neofcn8hv2ux,Cordia,3,zdzy5u,6,46759,1,0,0,1124,True,1
197728.315034432,neofcn8hv2ux,Cordia,3,zdzy5u,5,44800,1,0,0,1124,True,0
197732.238435449,neofcn8hv2ux,Cordia,3,zdzy5u,2,35131,2,0,0,100,True,9
197732.243109539,neofcn8hv2ux,Cordia,3,zdzy5u,9,10593,2,0,0,100,True,8
197732.247527762,neofcn8hv2ux,Cordia,3,zdzy5u,3,26919,2,0,0,100,True,7
197732.252487588,neofcn8hv2ux,Cordia,3,zdzy5u,6,65117,2,0,0,100,True,6
197732.257237881,neofcn8hv2ux,Cordia,3,zdzy5u,6,13839,1,0,0,1124,True,5
197732.261857137,neofcn8hv2ux,Cordia,3,zdzy5u,2,57311,1,0,0,1124,True,4
197732.266432973,neofcn8hv2ux,Cordia,3,zdzy5u,3,19194,1,0,0,1124,True,3
197732.271525542,neofcn8hv2ux,Cordia,3,zdzy5u,1,19309,1,0,0,1124,True,2
197732.276157764,neofcn8hv2ux,Cordia,3,zdzy5u,9,52136,1,0,0,1124,True,1
197732.280617265,neofcn8hv2ux,Cordia,3,zdzy5u,8,26416,1,0,0,1124,True,0
197747.436699529,neofcn8hv2ux,Cordia,5,zdzy5u,6,64234,2,0,0,100,True,3
197747.443059111,neofcn8hv2ux,Cordia,5,zdzy5u,0,60586,1,0,0,1124,True,2
197747.447533442,neofcn8hv2ux,Cordia,5,zdzy5u,9,57458,1,0,0,1124,True,1
197747.45183715,neofcn8hv2ux,Cordia,5,zdzy5u,9,46583,1,0,0,1124,True,0
197756.433733394,neofcn8hv2ux,Cordia,5,zdzy5u,2,15896,1,0,0,1124,True,0
197762.037565999,neofcn8hv2ux,Cordia,6,ta2g7e,6,7918,2,0,100,0,True,5
197762.042195814,neofcn8hv2ux,Cordia,6,ta2g7e,7,44912,2,0,100,0,True,4
197762.05181587,neofcn8hv2ux,Cordia,6,ta2g7e,3,62349,2,0,100,0,True,3
197762.05678155,neofcn8hv2ux,Cordia,6,ta2g7e,5,62968,2,0,100,0,True,2
197762.065380163,neofcn8hv2ux,Cordia,6,zdzy5u,0,27596,1,0,0,1124,True,1
197762.073670927,neofcn8hv2ux,Cordia,6,zdzy5u,8,59101,1,0,0,1124,True,0
197766.486582907,neofcn8hv2ux,Cordia,6,zdzy5u,3,40906,2,0,0,100,True,3
197766.490183251,neofcn8hv2ux,Cordia,6,ta2g7e,0,5833,2,0,100,0,True,2
197766.494024672,neofcn8hv2ux,Cordia,6,ta2g7e,7,65045,2,0,100,0,True,1
197766.497569162,neofcn8hv2ux,Cordia,6,ta2g7e,4,46973,2,0,100,0,True,0
197767.98241561,neofcn8hv2ux,Cordia,6,ta2g7e,1,44661,2,0,100,0,True,5
197767.986742016,neofcn8hv2ux,Cordia,6,ta2g7e,9,38975,2,0,100,0,True,4
197767.991612807,neofcn8hv2ux,Cordia,6,ta2g7e,5,14030,2,0,100,0,True,3
197767.998759332,neofcn8hv2ux,Cordia,6,ta2g7e,1,64801,2,0,100,0,True,2
197768.003185336,neofcn8hv2ux,Cordia,6,ta2g7e,5,10658,2,0,100,0,True,1
197768.007697813,neofcn8hv2ux,Cordia,6,ta2g7e,8,14764,2,0,100,0,True,0
