t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
197698.345306976,psnd5oc4fmj3,Toshiko,0,4o0b7b,4,19543,1,1124,0,0,True,0
197698.401651646,psnd5oc4fmj3,Toshiko,0,4o0b7b,7,30025,1,1124,0,0,True,0
197698.459068921,psnd5oc4fmj3,Toshiko,0,4o0b7b,6,59116,1,1124,0,0,True,0
197698.513793806,psnd5oc4fmj3,Toshiko,0,4o0b7b,1,258,1,1124,0,0,True,0
197698.57657801,psnd5oc4fmj3,Toshiko,0,4o0b7b,5,21413,1,1124,0,0,True,0
197698.628368676,psnd5oc4fmj3,Toshiko,0,4o0b7b,9,23043,1,1124,0,0,True,0
197698.686988378,psnd5oc4fmj3,Toshiko,0,4o0b7b,3,33923,1,1124,0,0,True,0
197698.736929958,psnd5oc4fmj3,Toshiko,0,4o0b7b,0,31747,1,1124,0,0,True,0
197698.786833737,psnd5oc4fmj3,Toshiko,0,4o0b7b,2,25938,1,1124,0,0,True,0
197698.836901107,psnd5oc4fmj3,Toshiko,0,4o0b7b,8,40077,1,1124,0,0,True,0
197698.894431288,psnd5oc4fmj3,Toshiko,0,4o0b7b,0,28350,1,1124,0,0,True,0
197698.947361335,psnd5oc4fmj3,Toshiko,0,4o0b7b,1,14458,1,1124,0,0,True,0
197699.004099516,psnd5oc4fmj3,Toshiko,0,4o0b7b,2,52136,1,1124,0,0,True,0
197699.063275184,psnd5oc4fmj3,Toshiko,0,4o0b7b,3,682,1,1124,0,0,True,0
197699.119995323,psnd5oc4fmj3,Toshiko,0,4o0b7b,4,35707,1,1124,0,0,True,0
197699.171354146,psnd5oc4fmj3,Toshiko,0,4o0b7b,5,38958,1,1124,0,0,True,0
197699.223087339,psnd5oc4fmj3,Toshiko,0,4o0b7b,6,63223,1,1124,0,0,True,0
197699.281478889,psnd5oc4fmj3,Toshiko,0,4o0b7b,7,2071,1,1124,0,0,True,0
197699.333422391,psnd5oc4fmj3,Toshiko,0,4o0b7b,8,4836,1,1124,0,0,True,0
197699.388612278,psnd5oc4fmj3,Toshiko,0,4o0b7b,9,17087,1,1124,0,0,True,0
197699.451608039,psnd5oc4fmj3,Toshiko,0,4o0b7b,0,3544,1,1124,0,0,True,0
197699.522668466,psnd5oc4fmj3,Toshiko,0,4o0b7b,1,12478,1,1124,0,0,True,0
197699.585695438,psnd5oc4fmj3,Toshiko,0,4o0b7b,2,57765,1,1124,0,0,True,0
197699.638987001,psnd5oc4fmj3,Toshiko,0,4o0b7b,3,23312,1,1124,0,0,True,0
197699.699042432,psnd5oc4fmj3,Toshiko,0,4o0b7b,4,48131,1,1124,0,0,True,0
197699.752360087,psnd5oc4fmj3,Toshiko,0,4o0b7b,5,25709,1,1124,0,0,True,0
197699.805754162,psnd5oc4fmj3,Toshiko,0,4o0b7b,6,64501,1,1124,0,0,True,0
197699.867918248,psnd5oc4fmj3,Toshiko,0,4o0b7b,7,14936,1,1124,0,0,True,0
197699.921794059,psnd5oc4fmj3,Toshiko,0,4o0b7b,8,48051,1,1124,0,0,True,0
197699.975258396,psnd5oc4fmj3,Toshiko,0,4o0b7b,9,15829,1,1124,0,0,True,0
197700.035821258,psnd5oc4fmj3,Toshiko,0,4o0b7b,0,46599,1,1124,0,0,True,0
197700.10228664,psnd5oc4fmj3,Toshiko,0,4o0b7b,1,19144,1,1124,0,0,True,0
197700.164373022,psnd5oc4fmj3,Toshiko,0,4o0b7b,2,52943,1,1124,0,0,True,0
197700.221331781,psnd5oc4fmj3,Toshiko,0,4o0b7b,3,5291,1,1124,0,0,True,0
197700.28397554,psnd5oc4fmj3,Toshiko,0,4o0b7b,4,54072,1,1124,0,0,True,0
197700.340128113,psnd5oc4fmj3,Toshiko,0,4o0b7b,5,30920,1,1124,0,0,True,0
197700.399226402,psnd5oc4fmj3,Toshiko,0,4o0b7b,6,14843,1,1124,0,0,True,0
197700.456891779,psnd5oc4fmj3,Toshiko,0,4o0b7b,7,57814,1,1124,0,0,True,0
