t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
197743.016369627,pwf7f8kh673d,Annelle,4,ta2g7e,7,3667,1,0,1124,0,True,6
197743.021635349,pwf7f8kh673d,Annelle,4,ta2g7e,7,3667,2,100,0,0,True,6
197743.027517852,pwf7f8kh673d,Annelle,4,ta2g7e,5,14030,1,0,1124,0,True,5
197743.036714896,pwf7f8kh673d,Annelle,4,ta2g7e,5,14030,2,100,0,0,True,5
197743.043556814,pwf7f8kh673d,Annelle,4,ta2g7e,9,49362,1,0,1124,0,True,4
197743.048853747,pwf7f8kh673d,Annelle,4,ta2g7e,9,49362,2,100,0,0,True,4
197743.053214674,pwf7f8kh673d,Annelle,4,ta2g7e,4,25061,1,0,1124,0,True,3
197743.057564594,pwf7f8kh673d,Annelle,4,ta2g7e,4,25061,2,100,0,0,True,3
197743.062629114,pwf7f8kh673d,Annelle,4,ta2g7e,6,18520,1,0,1124,0,True,2
197743.067039598,pwf7f8kh673d,Annelle,4,ta2g7e,6,18520,2,100,0,0,True,2
197743.071229096,pwf7f8kh673d,Annelle,4,ta2g7e,1,44661,1,0,1124,0,True,1
197743.076327031,pwf7f8kh673d,Annelle,4,ta2g7e,1,44661,2,100,0,0,True,1
197743.080749255,pwf7f8kh673d,Annelle,4,ta2g7e,7,58290,1,0,1124,0,True,0
197743.085036968,pwf7f8kh673d,Annelle,4,ta2g7e,7,58290,2,100,0,0,True,0
197746.030048644,pwf7f8kh673d,Annelle,4,3jwruh,8,29841,2,0,100,0,True,2
197746.035626552,pwf7f8kh673d,Annelle,4,3jwruh,9,49038,2,0,100,0,True,1
197746.040290003,pwf7f8kh673d,Annelle,4,3jwruh,2,26312,2,0,100,0,True,0
197750.704841935,pwf7f8kh673d,Annelle,4,3jwruh,5,18681,2,0,100,0,True,11
197750.709258185,pwf7f8kh673d,Annelle,4,3jwruh,1,691,2,0,100,0,True,10
197750.713556159,pwf7f8kh673d,Annelle,4,ta2g7e,4,44480,1,0,1124,0,True,9
197750.717992915,pwf7f8kh673d,Annelle,4,ta2g7e,4,44480,2,100,0,0,True,9
197750.722807064,pwf7f8kh673d,Annelle,4,ta2g7e,2,20002,1,0,1124,0,True,8
197750.727358507,pwf7f8kh673d,Annelle,4,ta2g7e,2,20002,2,100,0,0,True,8
197750.73173877,pwf7f8kh673d,Annelle,4,ta2g7e,5,38406,1,0,1124,0,True,7
197750.736308303,pwf7f8kh673d,Annelle,4,ta2g7e,5,38406,2,100,0,0,True,7
197750.740928659,pwf7f8kh673d,Annelle,4,ta2g7e,8,15544,1,0,1124,0,True,6
197750.745480984,pwf7f8kh673d,Annelle,4,ta2g7e,8,15544,2,100,0,0,True,6
197750.749758086,pwf7f8kh673d,Annelle,4,ta2g7e,0,8776,1,0,1124,0,True,5
197750.754569076,pwf7f8kh673d,Annelle,4,ta2g7e,0,8776,2,100,0,0,True,5
197750.759156283,pwf7f8kh673d,Annelle,4,ta2g7e,9,19819,1,0,1124,0,True,4
197750.763606408,pwf7f8kh673d,Annelle,4,ta2g7e,9,19819,2,100,0,0,True,4
197750.767934442,pwf7f8kh673d,Annelle,4,ta2g7e,3,13100,1,0,1124,0,True,3
197750.772632,pwf7f8kh673d,Annelle,4,ta2g7e,3,13100,2,100,0,0,True,3
197750.77710407,pwf7f8kh673d,Annelle,4,ta2g7e,2,29276,1,0,1124,0,True,2
197750.781351854,pwf7f8kh673d,Annelle,4,ta2g7e,2,29276,2,100,0,0,True,2
197750.786114412,pwf7f8kh673d,Annelle,4,ta2g7e,0,11079,1,0,1124,0,True,1
197750.79064045,pwf7f8kh673d,Annelle,4,ta2g7e,0,11079,2,100,0,0,True,1
197750.794981016,pwf7f8kh673d,Annelle,4,ta2g7e,8,7954,1,0,1124,0,True,0
197750.799453201,pwf7f8kh673d,Annelle,4,ta2g7e,8,7954,2,100,0,0,True,0
