t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
197703.609380072,sx819j8sbtkm,Annelle,1,4o0b7b,3,33923,1,0,0,1124,True,1
197703.613360589,sx819j8sbtkm,Annelle,1,4o0b7b,8,40077,1,0,0,1124,True,0
197705.180492625,sx819j8sbtkm,Annelle,1,4o0b7b,4,48131,1,0,0,1124,True,4
197705.184713424,sx819j8sbtkm,Annelle,1,4o0b7b,8,48051,1,0,0,1124,True,3
197705.189349654,sx819j8sbtkm,Annelle,1,4o0b7b,0,46599,1,0,0,1124,True,2
197705.194020211,sx819j8sbtkm,Annelle,1,4o0b7b,2,52943,1,0,0,1124,True,1
197705.19824514,sx819j8sbtkm,Annelle,1,4o0b7b,6,14843,1,0,0,1124,True,0
197707.790118478,sx819j8sbtkm,Annelle,1,4o0b7b,8,50001,1,0,0,1124,True,8
197707.794593963,sx819j8sbtkm,Annelle,1,4o0b7b,9,62559,1,0,0,1124,True,7
197707.798743605,sx819j8sbtkm,Annelle,1,4o0b7b,2,46099,1,0,0,1124,True,6
197707.803083747,sx819j8sbtkm,Annelle,1,4o0b7b,1,7387,1,0,0,1124,True,5
197707.807633422,sx819j8sbtkm,Annelle,1,4o0b7b,2,52814,1,0,0,1124,True,4
197707.812085402,sx819j8sbtkm,Annelle,1,4o0b7b,3,35793,1,0,0,1124,True,3
197707.816114701,sx819j8sbtkm,Annelle,1,4o0b7b,5,39112,1,0,0,1124,True,2
197707.820531724,sx819j8sbtkm,Annelle,1,4o0b7b,6,20084,1,0,0,1124,True,1
197707.824851927,sx819j8sbtkm,Annelle,1,4o0b7b,6,552,1,0,0,1124,True,0
197710.08525462,sx819j8sbtkm,Annelle,1,4o0b7b,7,14451,1,0,0,1124,True,7
197710.090852884,sx819j8sbtkm,Annelle,1,4o0b7b,8,46714,1,0,0,1124,True,6
197710.097225535,sx819j8sbtkm,Annelle,1,2473hp,3,47393,1,0,0,1124,True,5
197710.102066813,sx819j8sbtkm,Annelle,1,2473hp,1,64684,1,0,0,1124,True,4
197710.110360549,sx819j8sbtkm,Annelle,1,4o0b7b,1,15579,1,0,0,1124,True,3
197710.114840833,sx819j8sbtkm,Annelle,1,4o0b7b,4,7020,1,0,0,1124,True,2
197710.121499674,sx819j8sbtkm,Annelle,1,4o0b7b,6,62955,1,0,0,1124,True,1
197710.126404019,sx819j8sbtkm,Annelle,1,4o0b7b,7,31236,1,0,0,1124,True,0
197713.219577122,sx819j8sbtkm,Annelle,1,4o0b7b,6,42784,1,0,0,1124,True,7
197713.224169118,sx819j8sbtkm,Annelle,1,4o0b7b,7,26550,1,0,0,1124,True,6
197713.228975103,sx819j8sbtkm,Annelle,1,2473hp,1,64276,1,0,0,1124,True,5
197713.233810715,sx819j8sbtkm,Annelle,1,2473hp,2,29451,1,0,0,1124,True,4
197713.239110859,sx819j8sbtkm,Annelle,1,2473hp,3,29276,1,0,0,1124,True,3
197713.24388955,sx819j8sbtkm,Annelle,1,2473hp,9,61140,1,0,0,1124,True,2
197713.248773403,sx819j8sbtkm,Annelle,1,4o0b7b,4,36488,1,0,0,1124,True,1
197713.253399741,sx819j8sbtkm,Annelle,1,4o0b7b,0,2440,1,0,0,1124,True,0
197717.929815114,sx819j8sbtkm,Annelle,2,4o0b7b,5,62255,1,0,0,1124,True,25
197717.93693334,sx819j8sbtkm,Annelle,2,2473hp,2,39089,1,0,0,1124,True,24
197717.941219112,sx819j8sbtkm,Annelle,2,2473hp,0,39975,1,0,0,1124,True,23
197717.946741319,sx819j8sbtkm,Annelle,2,2473hp,8,58161,1,0,0,1124,True,22
197717.951154038,sx819j8sbtkm,Annelle,2,2473hp,4,38215,1,0,0,1124,True,21
197717.955390862,sx819j8sbtkm,Annelle,2,2473hp,8,25114,1,0,0,1124,True,20
197717.960233035,sx819j8sbtkm,Annelle,2,2473hp,1,39540,1,0,0,1124,True,19
197717.96528367,sx819j8sbtkm,Annelle,2,2473hp,3,4038,1,0,0,1124,True,18
197717.969683165,sx819j8sbtkm,Annelle,2,2473hp,4,27216,1,0,0,1124,True,17
197717.973957784,sx819j8sbtkm,Annelle,2,2473hp,6,25124,1,0,0,1124,True,16
197717.979058106,sx819j8sbtkm,Annelle,2,4o0b7b,9,5101,1,0,0,1124,True,15
197717.983659761,sx819j8sbtkm,Annelle,2,4o0b7b,0,17717,1,0,0,1124,True,14
197717.987989232,sx819j8sbtkm,Annelle,2,4o0b7b,2,37193,1,0,0,1124,True,13
197717.99278794,sx819j8sbtkm,Annelle,2,4o0b7b,8,3906,1,0,0,1124,True,12
197717.997985011,sx819j8sbtkm,Annelle,2,4o0b7b,9,18125,1,0,0,1124,True,11
197718.002446269,sx819j8sbtkm,Annelle,2,2473hp,7,10607,1,0,0,1124,True,10
197718.007125572,sx819j8sbtkm,Annelle,2,2473hp,1,27598,1,0,0,1124,True,9
197718.012032002,sx819j8sbtkm,Annelle,2,2473hp,2,38267,1,0,0,1124,True,8
197718.016627932,sx819j8sbtkm,Annelle,2,2473hp,3,45984,1,0,0,1124,True,7
197718.021426146,sx819j8sbtkm,Annelle,2,2473hp,5,16335,1,0,0,1124,True,6
197718.029042908,sx819j8sbtkm,Annelle,2,4o0b7b,0,19627,1,0,0,1124,True,5
197718.033826439,sx819j8sbtkm,Annelle,2,4o0b7b,2,5558,1,0,0,1124,True,4
197718.038098405,sx819j8sbtkm,Annelle,2,4o0b7b,4,1713,1,0,0,1124,True,3
197718.043049424,sx819j8sbtkm,Annelle,2,4o0b7b,5,44993,1,0,0,1124,True,2
197718.047889672,sx819j8sbtkm,Annelle,2,4o0b7b,9,16350,1,0,0,1124,True,1
197718.052259972,sx819j8sbtkm,Annelle,2,4o0b7b,1,48007,1,0,0,1124,True,0
197720.504195356,sx819j8sbtkm,Annelle,2,4o0b7b,2,33211,1,0,0,1124,True,6
197720.508018165,sx819j8sbtkm,Annelle,2,4o0b7b,3,17110,1,0,0,1124,True,5
197720.512207299,sx819j8sbtkm,Annelle,2,2473hp,5,40753,1,0,0,1124,True,4
197720.516282806,sx819j8sbtkm,Annelle,2,2473hp,9,6975,1,0,0,1124,True,3
197720.520117211,sx819j8sbtkm,Annelle,2,2473hp,0,43860,1,0,0,1124,True,2
197720.523957762,sx819j8sbtkm,Annelle,2,4o0b7b,5,56021,1,0,0,1124,True,1
197720.528656382,sx819j8sbtkm,Annelle,2,4o0b7b,6,59004,1,0,0,1124,True,0
197725.054202691,sx819j8sbtkm,Annelle,2,4o0b7b,6,11739,1,0,0,1124,True,9
197725.060222325,sx819j8sbtkm,Annelle,2,2473hp,0,16550,1,0,0,1124,True,8
197725.064898315,sx819j8sbtkm,Annelle,2,2473hp,2,53167,1,0,0,1124,True,7
197725.069222222,sx819j8sbtkm,Annelle,2,2473hp,3,37433,1,0,0,1124,True,6
197725.074118518,sx819j8sbtkm,Annelle,2,2473hp,6,11882,1,0,0,1124,True,5
