t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
197725.895972043,tic02023p4z6,Yuriko,2,jgkfhy,5,1527,1,0,1124,0,True,0
197725.899931509,tic02023p4z6,Yuriko,2,jgkfhy,5,1527,2,100,0,0,True,0
197729.504780422,tic02023p4z6,Yuriko,3,3jwruh,0,20418,1,0,1124,0,True,3
197729.509828131,tic02023p4z6,Yuriko,3,3jwruh,0,20418,2,100,0,0,True,3
197729.514232134,tic02023p4z6,Yuriko,3,3jwruh,2,28083,1,0,1124,0,True,2
197729.518823544,tic02023p4z6,Yuriko,3,3jwruh,2,28083,2,100,0,0,True,2
197729.523856516,tic02023p4z6,Yuriko,3,jgkfhy,9,52809,1,0,1124,0,True,1
197729.52870018,tic02023p4z6,Yuriko,3,jgkfhy,9,52809,2,100,0,0,True,1
197729.532950048,tic02023p4z6,Yuriko,3,jgkfhy,6,64016,1,0,1124,0,True,0
197729.538072514,tic02023p4z6,Yuriko,3,jgkfhy,6,64016,2,100,0,0,True,0
197734.6727652,tic02023p4z6,Yuriko,3,jgkfhy,6,1787,1,0,1124,0,True,4
197734.677233905,tic02023p4z6,Yuriko,3,jgkfhy,6,1787,2,100,0,0,True,4
197734.682319492,tic02023p4z6,Yuriko,3,3jwruh,7,21025,1,0,1124,0,True,3
197734.687538364,tic02023p4z6,Yuriko,3,3jwruh,7,21025,2,100,0,0,True,3
197734.691835042,tic02023p4z6,Yuriko,3,3jwruh,6,10899,1,0,1124,0,True,2
197734.696359404,tic02023p4z6,Yuriko,3,3jwruh,6,10899,2,100,0,0,True,2
197734.702162004,tic02023p4z6,Yuriko,3,3jwruh,2,45809,1,0,1124,0,True,1
197734.70656471,tic02023p4z6,Yuriko,3,3jwruh,2,45809,2,100,0,0,True,1
197734.711027586,tic02023p4z6,Yuriko,3,jgkfhy,4,16513,1,0,1124,0,True,0
197734.716194889,tic02023p4z6,Yuriko,3,jgkfhy,4,16513,2,100,0,0,True,0
197740.157983767,tic02023p4z6,Yuriko,4,jgkfhy,2,35351,1,0,1124,0,True,4
197740.164122195,tic02023p4z6,Yuriko,4,jgkfhy,2,35351,2,100,0,0,True,4
197740.168571316,tic02023p4z6,Yuriko,4,3jwruh,1,9235,1,0,1124,0,True,3
197740.172922957,tic02023p4z6,Yuriko,4,3jwruh,1,9235,2,100,0,0,True,3
197740.177906304,tic02023p4z6,Yuriko,4,jgkfhy,1,23214,1,0,1124,0,True,2
197740.182777004,tic02023p4z6,Yuriko,4,jgkfhy,1,23214,2,100,0,0,True,2
197740.187508225,tic02023p4z6,Yuriko,4,jgkfhy,0,56872,1,0,1124,0,True,1
197740.19207778,tic02023p4z6,Yuriko,4,jgkfhy,0,56872,2,100,0,0,True,1
197740.197896853,tic02023p4z6,Yuriko,4,jgkfhy,4,12490,1,0,1124,0,True,0
