t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
197729.668738678,vxd4occvs5fh,Annelle,3,3jwruh,3,36672,2,0,100,0,True,0
197735.120918408,vxd4occvs5fh,Annelle,3,3jwruh,3,47541,2,0,100,0,True,19
197735.125247542,vxd4occvs5fh,Annelle,3,ta2g7e,1,17481,1,0,1124,0,True,18
197735.129965269,vxd4occvs5fh,Annelle,3,ta2g7e,1,17481,2,100,0,0,True,18
197735.135850227,vxd4occvs5fh,Annelle,3,ta2g7e,5,31919,1,0,1124,0,True,17
197735.140195341,vxd4occvs5fh,Annelle,3,ta2g7e,5,31919,2,100,0,0,True,17
197735.144708536,vxd4occvs5fh,Annelle,3,ta2g7e,1,63854,1,0,1124,0,True,16
197735.15036138,vxd4occvs5fh,Annelle,3,ta2g7e,1,63854,2,100,0,0,True,16
197735.155145581,vxd4occvs5fh,Annelle,3,ta2g7e,8,46348,1,0,1124,0,True,15
197735.159512956,vxd4occvs5fh,Annelle,3,ta2g7e,8,46348,2,100,0,0,True,15
197735.164443082,vxd4occvs5fh,Annelle,3,ta2g7e,3,15737,1,0,1124,0,True,14
197735.170055343,vxd4occvs5fh,Annelle,3,ta2g7e,3,15737,2,100,0,0,True,14
197735.174302681,vxd4occvs5fh,Annelle,3,ta2g7e,4,18983,1,0,1124,0,True,13
197735.178809392,vxd4occvs5fh,Annelle,3,ta2g7e,4,18983,2,100,0,0,True,13
197735.184753707,vxd4occvs5fh,Annelle,3,ta2g7e,8,46810,1,0,1124,0,True,12
197735.189713194,vxd4occvs5fh,Annelle,3,ta2g7e,8,46810,2,100,0,0,True,12
197735.196213637,vxd4occvs5fh,Annelle,3,ta2g7e,2,21712,1,0,1124,0,True,11
197735.20241872,vxd4occvs5fh,Annelle,3,ta2g7e,2,21712,2,100,0,0,True,11
197735.208786871,vxd4occvs5fh,Annelle,3,ta2g7e,5,15307,1,0,1124,0,True,10
197735.214149585,vxd4occvs5fh,Annelle,3,ta2g7e,5,15307,2,100,0,0,True,10
197735.218949362,vxd4occvs5fh,Annelle,3,ta2g7e,4,1309,1,0,1124,0,True,9
197735.223511594,vxd4occvs5fh,Annelle,3,ta2g7e,4,1309,2,100,0,0,True,9
197735.228102233,vxd4occvs5fh,Annelle,3,ta2g7e,0,49516,1,0,1124,0,True,8
197735.232393912,vxd4occvs5fh,Annelle,3,ta2g7e,0,49516,2,100,0,0,True,8
197735.2372843,vxd4occvs5fh,Annelle,3,ta2g7e,9,14369,1,0,1124,0,True,7
197735.241768394,vxd4occvs5fh,Annelle,3,ta2g7e,9,14369,2,100,0,0,True,7
197735.246420759,vxd4occvs5fh,Annelle,3,ta2g7e,3,54685,1,0,1124,0,True,6
197735.251358646,vxd4occvs5fh,Annelle,3,ta2g7e,3,54685,2,100,0,0,True,6
197735.255722935,vxd4occvs5fh,Annelle,3,ta2g7e,2,63621,1,0,1124,0,True,5
197735.260254592,vxd4occvs5fh,Annelle,3,ta2g7e,2,63621,2,100,0,0,True,5
197735.264887476,vxd4occvs5fh,Annelle,3,ta2g7e,7,25326,1,0,1124,0,True,4
197735.269841628,vxd4occvs5fh,Annelle,3,ta2g7e,7,25326,2,100,0,0,True,4
197735.274107907,vxd4occvs5fh,Annelle,3,ta2g7e,7,65045,1,0,1124,0,True,3
197735.278725843,vxd4occvs5fh,Annelle,3,ta2g7e,7,65045,2,100,0,0,True,3
197735.283662076,vxd4occvs5fh,Annelle,3,ta2g7e,2,2710,1,0,1124,0,True,2
197735.288304552,vxd4occvs5fh,Annelle,3,ta2g7e,2,2710,2,100,0,0,True,2
197735.292730071,vxd4occvs5fh,Annelle,3,ta2g7e,2,27810,1,0,1124,0,True,1
197735.297374927,vxd4occvs5fh,Annelle,3,ta2g7e,2,27810,2,100,0,0,True,1
197735.302467527,vxd4occvs5fh,Annelle,3,ta2g7e,6,44478,1,0,1124,0,True,0
197735.306810807,vxd4occvs5fh,Annelle,3,ta2g7e,6,44478,2,100,0,0,True,0
197740.282773899,vxd4occvs5fh,Annelle,4,3jwruh,5,53881,2,0,100,0,True,13
197740.287080124,vxd4occvs5fh,Annelle,4,3jwruh,8,38903,2,0,100,0,True,12
197740.291622684,vxd4occvs5fh,Annelle,4,3jwruh,5,36760,2,0,100,0,True,11
197740.296643681,vxd4occvs5fh,Annelle,4,3jwruh,1,25933,2,0,100,0,True,10
197740.301055984,vxd4occvs5fh,Annelle,4,ta2g7e,2,31517,1,0,1124,0,True,9
197740.305413188,vxd4occvs5fh,Annelle,4,ta2g7e,2,31517,2,100,0,0,True,9
197740.310314228,vxd4occvs5fh,Annelle,4,ta2g7e,7,29387,1,0,1124,0,True,8
197740.31516004,vxd4occvs5fh,Annelle,4,ta2g7e,7,29387,2,100,0,0,True,8
197740.319566957,vxd4occvs5fh,Annelle,4,ta2g7e,8,55760,1,0,1124,0,True,7
197740.32397039,vxd4occvs5fh,Annelle,4,ta2g7e,8,55760,2,100,0,0,True,7
197740.328962975,vxd4occvs5fh,Annelle,4,ta2g7e,2,2320,1,0,1124,0,True,6
197740.334095466,vxd4occvs5fh,Annelle,4,ta2g7e,2,2320,2,100,0,0,True,6
197740.338394269,vxd4occvs5fh,Annelle,4,ta2g7e,5,50176,1,0,1124,0,True,5
197740.343218259,vxd4occvs5fh,Annelle,4,ta2g7e,5,50176,2,100,0,0,True,5
197740.347999712,vxd4occvs5fh,Annelle,4,ta2g7e,9,26793,1,0,1124,0,True,4
197740.352418708,vxd4occvs5fh,Annelle,4,ta2g7e,9,26793,2,100,0,0,True,4
197740.356733839,vxd4occvs5fh,Annelle,4,ta2g7e,5,8690,1,0,1124,0,True,3
197740.362468023,vxd4occvs5fh,Annelle,4,ta2g7e,5,8690,2,100,0,0,True,3
197740.366898308,vxd4occvs5fh,Annelle,4,ta2g7e,6,32096,1,0,1124,0,True,2
197740.371211006,vxd4occvs5fh,Annelle,4,ta2g7e,6,32096,2,100,0,0,True,2
197740.375625301,vxd4occvs5fh,Annelle,4,ta2g7e,1,24983,1,0,1124,0,True,1
197740.381151603,vxd4occvs5fh,Annelle,4,ta2g7e,1,24983,2,100,0,0,True,1
197740.385529161,vxd4occvs5fh,Annelle,4,ta2g7e,1,51956,1,0,1124,0,True,0
197740.389799681,vxd4occvs5fh,Annelle,4,ta2g7e,1,51956,2,100,0,0,True,0
197742.562350678,vxd4occvs5fh,Annelle,4,3jwruh,3,32518,2,0,100,0,True,2
197742.56733173,vxd4occvs5fh,Annelle,4,ta2g7e,6,1532,1,0,1124,0,True,1
197742.572163295,vxd4occvs5fh,Annelle,4,ta2g7e,6,1532,2,100,0,0,True,1
197742.576873672,vxd4occvs5fh,Annelle,4,ta2g7e,9,42914,1,0,1124,0,True,0
197742.582211197,vxd4occvs5fh,Annelle,4,ta2g7e,9,42914,2,100,0,0,True,0
197750.072691443,vxd4occvs5fh,Annelle,4,3jwruh,4,26348,2,0,100,0,True,8
197750.077504353,vxd4occvs5fh,Annelle,4,ta2g7e,1,2106,1,0,1124,0,True,7
197750.081927248,vxd4occvs5fh,Annelle,4,ta2g7e,1,2106,2,100,0,0,True,7
197750.086477412,vxd4occvs5fh,Annelle,4,ta2g7e,9,63229,1,0,1124,0,True,6
197750.091166134,vxd4occvs5fh,Annelle,4,ta2g7e,9,63229,2,100,0,0,True,6
