t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260267.850768523,0,ojiyz48fx8sq,Magdalen,4,41cvu9,93,30287,1,0,612,0,True,10
260267.859722769,0,ojiyz48fx8sq,Magdalen,4,41cvu9,93,30287,2,100,0,0,True,10
260267.867748585,0,ojiyz48fx8sq,Magdalen,4,41cvu9,90,17397,1,0,612,0,True,9
260267.882324349,0,ojiyz48fx8sq,Magdalen,4,41cvu9,90,17397,2,100,0,0,True,9
260267.892189486,0,ojiyz48fx8sq,Magdalen,4,41cvu9,15,241,1,0,612,0,True,8
260267.899898781,0,ojiyz48fx8sq,Magdalen,4,41cvu9,15,241,2,100,0,0,True,8
260267.909702144,0,ojiyz48fx8sq,Magdalen,4,41cvu9,86,60671,1,0,612,0,True,7
260267.917464241,0,ojiyz48fx8sq,Magdalen,4,41cvu9,86,60671,2,100,0,0,True,7
260267.926772657,0,ojiyz48fx8sq,Magdalen,4,41cvu9,45,22822,1,0,612,0,True,6
260267.935675,0,ojiyz48fx8sq,Magdalen,4,41cvu9,45,22822,2,100,0,0,True,6
260267.960401684,0,ojiyz48fx8sq,Magdalen,4,41cvu9,97,34220,1,0,612,0,True,5
260267.968511129,0,ojiyz48fx8sq,Magdalen,4,41cvu9,97,34220,2,100,0,0,True,5
260267.994302874,0,ojiyz48fx8sq,Magdalen,4,41cvu9,29,17464,1,0,612,0,True,4
260268.002305884,0,ojiyz48fx8sq,Magdalen,4,41cvu9,29,17464,2,100,0,0,True,4
260268.018363746,0,ojiyz48fx8sq,Magdalen,4,pyw739,9,3091,1,0,612,0,True,3
260268.026565624,0,ojiyz48fx8sq,Magdalen,4,pyw739,9,3091,2,100,0,0,True,3
260268.035806362,0,ojiyz48fx8sq,Magdalen,4,pyw739,75,31535,1,0,612,0,True,2
260268.044799559,0,ojiyz48fx8sq,Magdalen,4,pyw739,75,31535,2,100,0,0,True,2
260268.052871056,0,ojiyz48fx8sq,Magdalen,4,io1kng,3,6317,1,0,612,0,True,1
260268.062014468,0,ojiyz48fx8sq,Magdalen,4,io1kng,3,6317,2,100,0,0,True,1
260268.070050417,0,ojiyz48fx8sq,Magdalen,4,41cvu9,84,64693,1,0,612,0,True,0
260268.081176046,0,ojiyz48fx8sq,Magdalen,4,41cvu9,84,64693,2,100,0,0,True,0
260279.087981656,0,ojiyz48fx8sq,Magdalen,5,41cvu9,33,48530,1,0,612,0,True,20
260279.095782487,0,ojiyz48fx8sq,Magdalen,5,41cvu9,33,48530,2,100,0,0,True,20
260279.103772586,0,ojiyz48fx8sq,Magdalen,5,41cvu9,25,34950,1,0,612,0,True,19
260279.122302923,0,ojiyz48fx8sq,Magdalen,5,41cvu9,25,34950,2,100,0,0,True,19
260279.138156836,0,ojiyz48fx8sq,Magdalen,5,pyw739,84,49713,1,0,612,0,True,18
260279.157992507,0,ojiyz48fx8sq,Magdalen,5,pyw739,84,49713,2,100,0,0,True,18
260279.165289841,0,ojiyz48fx8sq,Magdalen,5,pyw739,41,51306,1,0,612,0,True,17
260279.173132283,0,ojiyz48fx8sq,Magdalen,5,pyw739,41,51306,2,100,0,0,True,17
260279.182780583,0,ojiyz48fx8sq,Magdalen,5,pyw739,5,7024,1,0,612,0,True,16
260279.198136074,0,ojiyz48fx8sq,Magdalen,5,pyw739,5,7024,2,100,0,0,True,16
260279.207384629,0,ojiyz48fx8sq,Magdalen,5,io1kng,97,9100,1,0,612,0,True,15
260279.215593418,0,ojiyz48fx8sq,Magdalen,5,io1kng,97,9100,2,100,0,0,True,15
260279.238862604,0,ojiyz48fx8sq,Magdalen,5,pyw739,95,60684,1,0,612,0,True,14
260279.250170415,0,ojiyz48fx8sq,Magdalen,5,pyw739,95,60684,2,100,0,0,True,14
260279.27128412,0,ojiyz48fx8sq,Magdalen,5,pyw739,96,61221,1,0,612,0,True,13
260279.280942585,0,ojiyz48fx8sq,Magdalen,5,pyw739,96,61221,2,100,0,0,True,13
260279.288735328,0,ojiyz48fx8sq,Magdalen,5,pyw739,63,25232,1,0,612,0,True,12
260279.296584603,0,ojiyz48fx8sq,Magdalen,5,pyw739,63,25232,2,100,0,0,True,12
260279.304448477,0,ojiyz48fx8sq,Magdalen,5,pyw739,91,1186,1,0,612,0,True,11
260279.312333865,0,ojiyz48fx8sq,Magdalen,5,pyw739,91,1186,2,100,0,0,True,11
