t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260208.674287069,0,se8n6fu8842p,Britany,0,io1kng,5,1470,1,612,0,0,True,0
260208.757540308,0,se8n6fu8842p,Britany,0,io1kng,1,14724,1,612,0,0,True,0
260208.840952503,0,se8n6fu8842p,Britany,0,io1kng,16,56706,1,612,0,0,True,0
260208.918842936,0,se8n6fu8842p,Britany,0,io1kng,37,16639,1,612,0,0,True,0
260208.9984664,0,se8n6fu8842p,Britany,0,io1kng,43,43615,1,612,0,0,True,0
260209.080219836,0,se8n6fu8842p,Britany,0,io1kng,48,8606,1,612,0,0,True,0
260209.158986826,0,se8n6fu8842p,Britany,0,io1kng,23,19019,1,612,0,0,True,0
260209.242534182,0,se8n6fu8842p,Britany,0,io1kng,40,816,1,612,0,0,True,0
260209.320823151,0,se8n6fu8842p,Britany,0,io1kng,26,38602,1,612,0,0,True,0
260209.410665463,0,se8n6fu8842p,Britany,0,io1kng,21,60838,1,612,0,0,True,0
260209.493995496,0,se8n6fu8842p,Britany,0,io1kng,17,61886,1,612,0,0,True,0
260209.586745648,0,se8n6fu8842p,Britany,0,io1kng,6,31576,1,612,0,0,True,0
260209.686941439,0,se8n6fu8842p,Britany,0,io1kng,70,15561,1,612,0,0,True,0
260209.766743348,0,se8n6fu8842p,Britany,0,io1kng,3,6317,1,612,0,0,True,0
260209.854150437,0,se8n6fu8842p,Britany,0,io1kng,38,38946,1,612,0,0,True,0
260209.951338316,0,se8n6fu8842p,Britany,0,io1kng,45,48330,1,612,0,0,True,0
260210.039698805,0,se8n6fu8842p,Britany,0,io1kng,53,2305,1,612,0,0,True,0
260210.146516622,0,se8n6fu8842p,Britany,0,io1kng,52,44754,1,612,0,0,True,0
260210.258735372,0,se8n6fu8842p,Britany,0,io1kng,27,21123,1,612,0,0,True,0
260210.365844572,0,se8n6fu8842p,Britany,0,io1kng,93,34503,1,612,0,0,True,0
260210.475940339,0,se8n6fu8842p,Britany,0,io1kng,59,30465,1,612,0,0,True,0
260210.578614648,0,se8n6fu8842p,Britany,0,io1kng,29,8809,1,612,0,0,True,0
260210.667674475,0,se8n6fu8842p,Britany,0,io1kng,25,119,1,612,0,0,True,0
260210.745331105,0,se8n6fu8842p,Britany,0,io1kng,62,22295,1,612,0,0,True,0
260210.838464348,0,se8n6fu8842p,Britany,0,io1kng,11,22027,1,612,0,0,True,0
260210.915411062,0,se8n6fu8842p,Britany,0,io1kng,55,35988,1,612,0,0,True,0
260210.993269276,0,se8n6fu8842p,Britany,0,io1kng,95,26880,1,612,0,0,True,0
260211.074924961,0,se8n6fu8842p,Britany,0,io1kng,47,53412,1,612,0,0,True,0
260211.151802996,0,se8n6fu8842p,Britany,0,io1kng,69,34088,1,612,0,0,True,0
260211.232743917,0,se8n6fu8842p,Britany,0,io1kng,67,10524,1,612,0,0,True,0
260211.309724857,0,se8n6fu8842p,Britany,0,io1kng,28,34894,1,612,0,0,True,0
260211.404745335,0,se8n6fu8842p,Britany,0,io1kng,74,45911,1,612,0,0,True,0
260211.525680482,0,se8n6fu8842p,Britany,0,io1kng,8,6734,1,612,0,0,True,0
260211.653737116,0,se8n6fu8842p,Britany,0,io1kng,97,9100,1,612,0,0,True,0
260211.785026227,0,se8n6fu8842p,Britany,0,io1kng,7,5662,1,612,0,0,True,0
260211.903293746,0,se8n6fu8842p,Britany,0,io1kng,36,65399,1,612,0,0,True,0
260212.017529668,0,se8n6fu8842p,Britany,0,io1kng,34,43743,1,612,0,0,True,0
260212.117335989,0,se8n6fu8842p,Britany,0,io1kng,4,55769,1,612,0,0,True,0
260212.22573987,0,se8n6fu8842p,Britany,0,io1kng,49,952,1,612,0,0,True,0
260212.32147427,0,se8n6fu8842p,Britany,0,io1kng,54,33139,1,612,0,0,True,0
260212.405154219,0,se8n6fu8842p,Britany,0,io1kng,83,64379,1,612,0,0,True,0
260212.489255087,0,se8n6fu8842p,Britany,0,io1kng,22,14515,1,612,0,0,True,0
260212.567667098,0,se8n6fu8842p,Britany,0,io1kng,80,60722,1,612,0,0,True,0
260212.657827741,0,se8n6fu8842p,Britany,0,io1kng,81,35619,1,612,0,0,True,0
260212.767068525,0,se8n6fu8842p,Britany,0,io1kng,76,28726,1,612,0,0,True,0
260212.871526724,0,se8n6fu8842p,Britany,0,io1kng,24,41565,1,612,0,0,True,0
260212.990714802,0,se8n6fu8842p,Britany,0,io1kng,78,58290,1,612,0,0,True,0
260213.102353148,0,se8n6fu8842p,Britany,0,io1kng,20,11952,1,612,0,0,True,0
260213.233720665,0,se8n6fu8842p,Britany,0,io1kng,63,52548,1,612,0,0,True,0
260213.348589461,0,se8n6fu8842p,Britany,0,io1kng,15,36611,1,612,0,0,True,0
260213.491140958,0,se8n6fu8842p,Britany,0,io1kng,46,26545,1,612,0,0,True,0
260213.634918875,0,se8n6fu8842p,Britany,0,io1kng,41,24504,1,612,0,0,True,0
260213.788965416,0,se8n6fu8842p,Britany,0,io1kng,32,56461,1,612,0,0,True,0
260213.923827095,0,se8n6fu8842p,Britany,0,io1kng,61,21111,1,612,0,0,True,0
260214.052237349,0,se8n6fu8842p,Britany,0,io1kng,13,19342,1,612,0,0,True,0
260214.135090173,0,se8n6fu8842p,Britany,0,io1kng,89,28148,1,612,0,0,True,0
260214.228180282,0,se8n6fu8842p,Britany,0,io1kng,68,20937,1,612,0,0,True,0
260214.314752509,0,se8n6fu8842p,Britany,0,io1kng,18,27029,1,612,0,0,True,0
260214.392269143,0,se8n6fu8842p,Britany,0,io1kng,31,8042,1,612,0,0,True,0
260214.473633933,0,se8n6fu8842p,Britany,0,io1kng,94,49510,1,612,0,0,True,0
260214.552296189,0,se8n6fu8842p,Britany,0,io1kng,98,11837,1,612,0,0,True,0
260214.629495929,0,se8n6fu8842p,Britany,0,io1kng,35,2979,1,612,0,0,True,0
260214.708663037,0,se8n6fu8842p,Britany,0,io1kng,90,11879,1,612,0,0,True,0
260214.799533031,0,se8n6fu8842p,Britany,0,io1kng,82,10132,1,612,0,0,True,0
260214.89807046,0,se8n6fu8842p,Britany,0,io1kng,87,53145,1,612,0,0,True,0
260214.985169905,0,se8n6fu8842p,Britany,0,io1kng,12,6794,1,612,0,0,True,0
260215.067070133,0,se8n6fu8842p,Britany,0,io1kng,57,20872,1,612,0,0,True,0
260215.145027965,0,se8n6fu8842p,Britany,0,io1kng,2,14963,1,612,0,0,True,0
260215.346472545,0,se8n6fu8842p,Britany,1,io1kng,72,63786,1,612,0,0,True,0
260215.410277998,0,se8n6fu8842p,Britany,1,io1kng,19,9670,1,612,0,0,True,0
260215.477427054,0,se8n6fu8842p,Britany,1,io1kng,71,53076,1,612,0,0,True,0
260215.545371292,0,se8n6fu8842p,Britany,1,io1kng,44,40083,1,612,0,0,True,0
260215.611012441,0,se8n6fu8842p,Britany,1,io1kng,33,62730,1,612,0,0,True,0
260215.675115638,0,se8n6fu8842p,Britany,1,io1kng,85,19211,1,612,0,0,True,0
260215.738692905,0,se8n6fu8842p,Britany,1,io1kng,60,31471,1,612,0,0,True,0
260215.802865337,0,se8n6fu8842p,Britany,1,io1kng,64,36039,1,612,0,0,True,0
260215.866896281,0,se8n6fu8842p,Britany,1,io1kng,96,43693,1,612,0,0,True,0
260215.930940915,0,se8n6fu8842p,Britany,1,io1kng,14,46100,1,612,0,0,True,0
260215.995520153,0,se8n6fu8842p,Britany,1,io1kng,30,19109,1,612,0,0,True,0
260216.059588606,0,se8n6fu8842p,Britany,1,io1kng,77,13502,1,612,0,0,True,0
260216.123734269,0,se8n6fu8842p,Britany,1,io1kng,91,2399,1,612,0,0,True,0
260216.187210058,0,se8n6fu8842p,Britany,1,io1kng,66,43993,1,612,0,0,True,0
260216.250722108,0,se8n6fu8842p,Britany,1,io1kng,65,24432,1,612,0,0,True,0
260216.317374276,0,se8n6fu8842p,Britany,1,io1kng,99,6594,1,612,0,0,True,0
260216.381272301,0,se8n6fu8842p,Britany,1,io1kng,79,22661,1,612,0,0,True,0
260216.446112061,0,se8n6fu8842p,Britany,1,io1kng,84,13937,1,612,0,0,True,0
260216.509049389,0,se8n6fu8842p,Britany,1,io1kng,75,47536,1,612,0,0,True,0
260216.573274422,0,se8n6fu8842p,Britany,1,io1kng,73,25233,1,612,0,0,True,0
260216.640541446,0,se8n6fu8842p,Britany,1,io1kng,56,49181,1,612,0,0,True,0
260216.710979306,0,se8n6fu8842p,Britany,1,io1kng,42,34967,1,612,0,0,True,0
260216.803564305,0,se8n6fu8842p,Britany,1,io1kng,50,8990,1,612,0,0,True,0
260216.928540893,0,se8n6fu8842p,Britany,1,io1kng,58,12244,1,612,0,0,True,0
