t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260284.705293564,0,vmehqrbe6xbl,Britany,5,hwh1vy,43,13882,2,0,100,0,True,11
260284.71322701,0,vmehqrbe6xbl,Britany,5,hwh1vy,59,39608,2,0,100,0,True,10
260284.72089234,0,vmehqrbe6xbl,Britany,5,9v6zju,49,64702,2,0,100,0,True,9
260284.72973586,0,vmehqrbe6xbl,Britany,5,9v6zju,63,15348,2,0,100,0,True,8
260284.73690323,0,vmehqrbe6xbl,Britany,5,0ih27z,23,45054,1,0,612,0,True,7
260284.744892562,0,vmehqrbe6xbl,Britany,5,0ih27z,23,45054,2,100,0,0,True,7
260284.752251233,0,vmehqrbe6xbl,Britany,5,0ih27z,38,47056,1,0,612,0,True,6
260284.76048514,0,vmehqrbe6xbl,Britany,5,0ih27z,38,47056,2,100,0,0,True,6
260284.767587886,0,vmehqrbe6xbl,Britany,5,0ih27z,26,64931,1,0,612,0,True,5
260284.780552059,0,vmehqrbe6xbl,Britany,5,0ih27z,26,64931,2,100,0,0,True,5
260284.788902897,0,vmehqrbe6xbl,Britany,5,0ih27z,85,42022,1,0,612,0,True,4
260284.797771604,0,vmehqrbe6xbl,Britany,5,0ih27z,85,42022,2,100,0,0,True,4
260284.805576374,0,vmehqrbe6xbl,Britany,5,0ih27z,30,15975,1,0,612,0,True,3
260284.813773334,0,vmehqrbe6xbl,Britany,5,0ih27z,30,15975,2,100,0,0,True,3
260284.821653272,0,vmehqrbe6xbl,Britany,5,0ih27z,39,24649,1,0,612,0,True,2
260284.83024166,0,vmehqrbe6xbl,Britany,5,0ih27z,39,24649,2,100,0,0,True,2
260284.837752143,0,vmehqrbe6xbl,Britany,5,0ih27z,37,49632,1,0,612,0,True,1
260284.846531409,0,vmehqrbe6xbl,Britany,5,0ih27z,37,49632,2,100,0,0,True,1
260284.858529224,0,vmehqrbe6xbl,Britany,5,okgvyv,25,46751,1,0,612,0,True,0
260284.871896207,0,vmehqrbe6xbl,Britany,5,okgvyv,25,46751,2,100,0,0,True,0
260334.778849238,0,vmehqrbe6xbl,Britany,9,0ih27z,16,6478,1,0,612,0,True,4
260334.789589776,0,vmehqrbe6xbl,Britany,9,0ih27z,16,6478,2,100,0,0,True,4
260334.796931386,0,vmehqrbe6xbl,Britany,9,okgvyv,30,62099,1,0,612,0,True,3
260334.806776378,0,vmehqrbe6xbl,Britany,9,okgvyv,30,62099,2,100,0,0,True,3
