t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260208.631653558,0,ynhj2tfa8007,Temika,0,4o2qei,78,30251,1,612,0,0,True,0
260208.718344983,0,ynhj2tfa8007,Temika,0,4o2qei,39,6626,1,612,0,0,True,0
260208.797931303,0,ynhj2tfa8007,Temika,0,4o2qei,96,57913,1,612,0,0,True,0
260208.879669309,0,ynhj2tfa8007,Temika,0,4o2qei,5,48329,1,612,0,0,True,0
260208.957505201,0,ynhj2tfa8007,Temika,0,4o2qei,37,34494,1,612,0,0,True,0
260209.040828735,0,ynhj2tfa8007,Temika,0,4o2qei,20,3886,1,612,0,0,True,0
260209.119498364,0,ynhj2tfa8007,Temika,0,4o2qei,62,30274,1,612,0,0,True,0
260209.199568639,0,ynhj2tfa8007,Temika,0,4o2qei,13,46381,1,612,0,0,True,0
260209.281661032,0,ynhj2tfa8007,Temika,0,4o2qei,24,3422,1,612,0,0,True,0
260209.36395212,0,ynhj2tfa8007,Temika,0,4o2qei,7,45476,1,612,0,0,True,0
260209.450888688,0,ynhj2tfa8007,Temika,0,4o2qei,88,57436,1,612,0,0,True,0
260209.545452983,0,ynhj2tfa8007,Temika,0,4o2qei,81,58967,1,612,0,0,True,0
260209.634378089,0,ynhj2tfa8007,Temika,0,4o2qei,21,14167,1,612,0,0,True,0
260209.725150969,0,ynhj2tfa8007,Temika,0,4o2qei,60,41853,1,612,0,0,True,0
260209.816290831,0,ynhj2tfa8007,Temika,0,4o2qei,50,24786,1,612,0,0,True,0
260209.893258343,0,ynhj2tfa8007,Temika,0,4o2qei,42,2651,1,612,0,0,True,0
260209.993382262,0,ynhj2tfa8007,Temika,0,4o2qei,82,61534,1,612,0,0,True,0
260210.087041143,0,ynhj2tfa8007,Temika,0,4o2qei,91,32034,1,612,0,0,True,0
260210.19170312,0,ynhj2tfa8007,Temika,0,4o2qei,74,46569,1,612,0,0,True,0
260210.317627529,0,ynhj2tfa8007,Temika,0,4o2qei,80,6776,1,612,0,0,True,0
260210.420097805,0,ynhj2tfa8007,Temika,0,4o2qei,73,35242,1,612,0,0,True,0
260210.516474913,0,ynhj2tfa8007,Temika,0,4o2qei,2,47491,1,612,0,0,True,0
260210.629245786,0,ynhj2tfa8007,Temika,0,4o2qei,64,29526,1,612,0,0,True,0
260210.706470066,0,ynhj2tfa8007,Temika,0,4o2qei,95,8927,1,612,0,0,True,0
260210.783367631,0,ynhj2tfa8007,Temika,0,4o2qei,10,37941,1,612,0,0,True,0
260210.877391034,0,ynhj2tfa8007,Temika,0,4o2qei,44,35291,1,612,0,0,True,0
260210.954302443,0,ynhj2tfa8007,Temika,0,4o2qei,6,57912,1,612,0,0,True,0
260211.036442071,0,ynhj2tfa8007,Temika,0,4o2qei,1,12903,1,612,0,0,True,0
260211.113709828,0,ynhj2tfa8007,Temika,0,4o2qei,11,5406,1,612,0,0,True,0
260211.189391399,0,ynhj2tfa8007,Temika,0,4o2qei,32,16212,1,612,0,0,True,0
260211.270310103,0,ynhj2tfa8007,Temika,0,4o2qei,79,63357,1,612,0,0,True,0
260211.353455978,0,ynhj2tfa8007,Temika,0,4o2qei,61,48324,1,612,0,0,True,0
260211.476610965,0,ynhj2tfa8007,Temika,0,4o2qei,46,5858,1,612,0,0,True,0
260211.576770152,0,ynhj2tfa8007,Temika,0,4o2qei,3,30209,1,612,0,0,True,0
260211.72691359,0,ynhj2tfa8007,Temika,0,4o2qei,40,9336,1,612,0,0,True,0
260211.84559853,0,ynhj2tfa8007,Temika,0,4o2qei,8,8031,1,612,0,0,True,0
260211.957242577,0,ynhj2tfa8007,Temika,0,4o2qei,53,23240,1,612,0,0,True,0
260212.070042581,0,ynhj2tfa8007,Temika,0,4o2qei,70,54013,1,612,0,0,True,0
260212.167350988,0,ynhj2tfa8007,Temika,0,4o2qei,87,17072,1,612,0,0,True,0
260212.275077888,0,ynhj2tfa8007,Temika,0,4o2qei,77,26967,1,612,0,0,True,0
260212.363279718,0,ynhj2tfa8007,Temika,0,4o2qei,98,12377,1,612,0,0,True,0
260212.450194528,0,ynhj2tfa8007,Temika,0,4o2qei,76,46727,1,612,0,0,True,0
260212.528644056,0,ynhj2tfa8007,Temika,0,4o2qei,85,20525,1,612,0,0,True,0
260212.615269038,0,ynhj2tfa8007,Temika,0,4o2qei,56,533,1,612,0,0,True,0
260212.711209946,0,ynhj2tfa8007,Temika,0,4o2qei,34,12155,1,612,0,0,True,0
260212.819927515,0,ynhj2tfa8007,Temika,0,4o2qei,17,44284,1,612,0,0,True,0
260212.936859826,0,ynhj2tfa8007,Temika,0,4o2qei,4,63755,1,612,0,0,True,0
260213.052327109,0,ynhj2tfa8007,Temika,0,4o2qei,86,39082,1,612,0,0,True,0
260213.16784563,0,ynhj2tfa8007,Temika,0,4o2qei,43,15627,1,612,0,0,True,0
260213.289059233,0,ynhj2tfa8007,Temika,0,4o2qei,33,17132,1,612,0,0,True,0
260213.438620667,0,ynhj2tfa8007,Temika,0,4o2qei,48,44522,1,612,0,0,True,0
260213.553466934,0,ynhj2tfa8007,Temika,0,4o2qei,29,48320,1,612,0,0,True,0
260213.718869709,0,ynhj2tfa8007,Temika,0,4o2qei,92,28473,1,612,0,0,True,0
260213.86739876,0,ynhj2tfa8007,Temika,0,4o2qei,18,39175,1,612,0,0,True,0
260213.989789711,0,ynhj2tfa8007,Temika,0,4o2qei,28,56366,1,612,0,0,True,0
260214.094124178,0,ynhj2tfa8007,Temika,0,4o2qei,31,22830,1,612,0,0,True,0
260214.175090156,0,ynhj2tfa8007,Temika,0,4o2qei,65,39994,1,612,0,0,True,0
260214.271239742,0,ynhj2tfa8007,Temika,0,4o2qei,93,56974,1,612,0,0,True,0
260214.353544047,0,ynhj2tfa8007,Temika,0,4o2qei,68,6331,1,612,0,0,True,0
260214.434023992,0,ynhj2tfa8007,Temika,0,4o2qei,12,11004,1,612,0,0,True,0
260214.512108733,0,ynhj2tfa8007,Temika,0,4o2qei,49,56593,1,612,0,0,True,0
260214.591055876,0,ynhj2tfa8007,Temika,0,4o2qei,9,23778,1,612,0,0,True,0
260214.670238769,0,ynhj2tfa8007,Temika,0,4o2qei,90,9363,1,612,0,0,True,0
260214.755802748,0,ynhj2tfa8007,Temika,0,4o2qei,0,64718,1,612,0,0,True,0
260214.851873379,0,ynhj2tfa8007,Temika,0,4o2qei,36,34181,1,612,0,0,True,0
260214.940517379,0,ynhj2tfa8007,Temika,0,4o2qei,41,16775,1,612,0,0,True,0
260215.028981499,0,ynhj2tfa8007,Temika,0,4o2qei,52,33634,1,612,0,0,True,0
260215.106210124,0,ynhj2tfa8007,Temika,0,4o2qei,14,55273,1,612,0,0,True,0
260215.320769896,0,ynhj2tfa8007,Temika,1,4o2qei,22,15171,1,612,0,0,True,0
260215.387235791,0,ynhj2tfa8007,Temika,1,4o2qei,59,26964,1,612,0,0,True,0
260215.452187134,0,ynhj2tfa8007,Temika,1,4o2qei,16,47219,1,612,0,0,True,0
260215.5206089,0,ynhj2tfa8007,Temika,1,4o2qei,57,54744,1,612,0,0,True,0
260215.585692693,0,ynhj2tfa8007,Temika,1,4o2qei,72,15819,1,612,0,0,True,0
260215.652308722,0,ynhj2tfa8007,Temika,1,4o2qei,45,50502,1,612,0,0,True,0
260215.714680913,0,ynhj2tfa8007,Temika,1,4o2qei,55,10545,1,612,0,0,True,0
260215.77864441,0,ynhj2tfa8007,Temika,1,4o2qei,66,48573,1,612,0,0,True,0
260215.842902908,0,ynhj2tfa8007,Temika,1,4o2qei,47,57241,1,612,0,0,True,0
260215.907012127,0,ynhj2tfa8007,Temika,1,4o2qei,54,8330,1,612,0,0,True,0
260215.972128025,0,ynhj2tfa8007,Temika,1,4o2qei,26,51707,1,612,0,0,True,0
260216.036730429,0,ynhj2tfa8007,Temika,1,4o2qei,38,22824,1,612,0,0,True,0
260216.099633559,0,ynhj2tfa8007,Temika,1,4o2qei,19,43142,1,612,0,0,True,0
260216.163600267,0,ynhj2tfa8007,Temika,1,4o2qei,94,55884,1,612,0,0,True,0
260216.227388929,0,ynhj2tfa8007,Temika,1,4o2qei,30,20861,1,612,0,0,True,0
260216.290488285,0,ynhj2tfa8007,Temika,1,4o2qei,67,8352,1,612,0,0,True,0
260216.357334169,0,ynhj2tfa8007,Temika,1,4o2qei,58,36010,1,612,0,0,True,0
260216.423156354,0,ynhj2tfa8007,Temika,1,4o2qei,23,56627,1,612,0,0,True,0
260216.485321308,0,ynhj2tfa8007,Temika,1,4o2qei,99,59013,1,612,0,0,True,0
260216.549333152,0,ynhj2tfa8007,Temika,1,4o2qei,83,4676,1,612,0,0,True,0
260216.614506534,0,ynhj2tfa8007,Temika,1,4o2qei,69,27232,1,612,0,0,True,0
260216.680556364,0,ynhj2tfa8007,Temika,1,4o2qei,84,23660,1,612,0,0,True,0
260216.765544244,0,ynhj2tfa8007,Temika,1,4o2qei,71,51998,1,612,0,0,True,0
260216.899637863,0,ynhj2tfa8007,Temika,1,4o2qei,35,20591,1,612,0,0,True,0
260216.97159693,0,ynhj2tfa8007,Temika,1,4o2qei,25,51376,1,612,0,0,True,0
260217.046663499,0,ynhj2tfa8007,Temika,1,4o2qei,75,9682,1,612,0,0,True,0
260217.110988591,0,ynhj2tfa8007,Temika,1,4o2qei,15,39726,1,612,0,0,True,0
260217.175512965,0,ynhj2tfa8007,Temika,1,4o2qei,27,18082,1,612,0,0,True,0
260217.240306565,0,ynhj2tfa8007,Temika,1,4o2qei,51,15392,1,612,0,0,True,0
260217.305490756,0,ynhj2tfa8007,Temika,1,4o2qei,97,14277,1,612,0,0,True,0
260217.369748859,0,ynhj2tfa8007,Temika,1,4o2qei,89,59311,1,612,0,0,True,0
260218.806070681,0,ynhj2tfa8007,Temika,1,4o2qei,63,36256,1,612,0,0,True,19
260218.813790221,0,ynhj2tfa8007,Temika,1,41cvu9,97,34220,1,0,0,612,True,18
260218.820985739,0,ynhj2tfa8007,Temika,1,0ih27z,7,44173,1,0,0,612,True,17
260218.828404828,0,ynhj2tfa8007,Temika,1,pyw739,7,12497,1,0,0,612,True,16
260218.836736656,0,ynhj2tfa8007,Temika,1,0ih27z,73,23028,1,0,0,612,True,15
260218.845037878,0,ynhj2tfa8007,Temika,1,41cvu9,44,17133,1,0,0,612,True,14
