t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260240.526610704,13,13f7cp4sxyaj,Kaylee,2,gc12nw,6,24258,1,0,612,0,True,1
260240.533466818,13,13f7cp4sxyaj,Kaylee,2,gc12nw,6,24258,2,100,0,0,True,1
260240.541627925,13,13f7cp4sxyaj,Kaylee,2,gc12nw,47,58180,1,0,612,0,True,0
260240.549228162,13,13f7cp4sxyaj,Kaylee,2,gc12nw,47,58180,2,100,0,0,True,0
260244.202114981,13,13f7cp4sxyaj,Kaylee,2,gc12nw,81,2746,1,0,612,0,True,3
260244.209649801,13,13f7cp4sxyaj,Kaylee,2,gc12nw,81,2746,2,100,0,0,True,3
260244.219895324,13,13f7cp4sxyaj,Kaylee,2,gc12nw,31,3621,1,0,612,0,True,2
260244.231921508,13,13f7cp4sxyaj,Kaylee,2,gc12nw,31,3621,2,100,0,0,True,2
260244.239415006,13,13f7cp4sxyaj,Kaylee,2,gc12nw,48,23838,1,0,612,0,True,1
260244.247179902,13,13f7cp4sxyaj,Kaylee,2,gc12nw,48,23838,2,100,0,0,True,1
260244.254682773,13,13f7cp4sxyaj,Kaylee,2,gc12nw,57,36214,1,0,612,0,True,0
260244.262249732,13,13f7cp4sxyaj,Kaylee,2,gc12nw,57,36214,2,100,0,0,True,0
260260.393097654,13,13f7cp4sxyaj,Kaylee,4,gc12nw,51,49544,1,0,612,0,True,7
260260.413607855,13,13f7cp4sxyaj,Kaylee,4,gc12nw,51,49544,2,100,0,0,True,7
260260.435534571,13,13f7cp4sxyaj,Kaylee,4,gc12nw,35,64481,1,0,612,0,True,6
260260.451757082,13,13f7cp4sxyaj,Kaylee,4,gc12nw,35,64481,2,100,0,0,True,6
260260.466146962,13,13f7cp4sxyaj,Kaylee,4,gc12nw,66,42382,1,0,612,0,True,5
260260.484465622,13,13f7cp4sxyaj,Kaylee,4,gc12nw,66,42382,2,100,0,0,True,5
260260.494244092,13,13f7cp4sxyaj,Kaylee,4,gc12nw,50,15424,1,0,612,0,True,4
260260.503188261,13,13f7cp4sxyaj,Kaylee,4,gc12nw,50,15424,2,100,0,0,True,4
260260.512488249,13,13f7cp4sxyaj,Kaylee,4,gc12nw,5,12657,1,0,612,0,True,3
260260.522049243,13,13f7cp4sxyaj,Kaylee,4,gc12nw,5,12657,2,100,0,0,True,3
260260.534197214,13,13f7cp4sxyaj,Kaylee,4,gc12nw,17,59574,1,0,612,0,True,2
260260.543398293,13,13f7cp4sxyaj,Kaylee,4,gc12nw,17,59574,2,100,0,0,True,2
260260.552466606,13,13f7cp4sxyaj,Kaylee,4,gc12nw,78,53803,1,0,612,0,True,1
260260.564779801,13,13f7cp4sxyaj,Kaylee,4,gc12nw,78,53803,2,100,0,0,True,1
260260.574975558,13,13f7cp4sxyaj,Kaylee,4,gc12nw,99,37169,1,0,612,0,True,0
260260.586320116,13,13f7cp4sxyaj,Kaylee,4,gc12nw,99,37169,2,100,0,0,True,0
260273.502806487,13,13f7cp4sxyaj,Kaylee,4,gc12nw,92,417,1,0,612,0,True,1
260273.529913144,13,13f7cp4sxyaj,Kaylee,4,gc12nw,92,417,2,100,0,0,True,1
260273.566127829,13,13f7cp4sxyaj,Kaylee,4,gc12nw,12,17669,1,0,612,0,True,0
260273.581897264,13,13f7cp4sxyaj,Kaylee,4,gc12nw,12,17669,2,100,0,0,True,0
260280.541861031,13,13f7cp4sxyaj,Kaylee,5,gc12nw,56,23479,1,0,612,0,True,0
260280.564082296,13,13f7cp4sxyaj,Kaylee,5,gc12nw,56,23479,2,100,0,0,True,0
260288.108586473,13,13f7cp4sxyaj,Kaylee,5,gc12nw,19,55336,1,0,612,0,True,0
260288.116888906,13,13f7cp4sxyaj,Kaylee,5,gc12nw,19,55336,2,100,0,0,True,0
260314.8779548,13,13f7cp4sxyaj,Kaylee,8,gc12nw,63,22601,1,0,612,0,True,3
260314.885744964,13,13f7cp4sxyaj,Kaylee,8,gc12nw,63,22601,2,100,0,0,True,3
260314.893184441,13,13f7cp4sxyaj,Kaylee,8,gc12nw,24,28164,1,0,612,0,True,2
260314.900648568,13,13f7cp4sxyaj,Kaylee,8,gc12nw,24,28164,2,100,0,0,True,2
260314.907944133,13,13f7cp4sxyaj,Kaylee,8,gc12nw,93,41959,1,0,612,0,True,1
260314.915471858,13,13f7cp4sxyaj,Kaylee,8,gc12nw,93,41959,2,100,0,0,True,1
260314.922816546,13,13f7cp4sxyaj,Kaylee,8,gc12nw,75,28515,1,0,612,0,True,0
260314.930481313,13,13f7cp4sxyaj,Kaylee,8,gc12nw,75,28515,2,100,0,0,True,0
260329.919627455,13,13f7cp4sxyaj,Kaylee,9,gc12nw,8,34883,1,0,612,0,True,0
260329.927385898,13,13f7cp4sxyaj,Kaylee,9,gc12nw,8,34883,2,100,0,0,True,0
260332.821253887,13,13f7cp4sxyaj,Kaylee,9,gc12nw,77,43652,1,0,612,0,True,1
260332.828961888,13,13f7cp4sxyaj,Kaylee,9,gc12nw,77,43652,2,100,0,0,True,1
260332.837694339,13,13f7cp4sxyaj,Kaylee,9,gc12nw,21,22535,1,0,612,0,True,0
260332.84902277,13,13f7cp4sxyaj,Kaylee,9,gc12nw,21,22535,2,100,0,0,True,0
260342.845003939,13,13f7cp4sxyaj,Kaylee,10,gc12nw,29,5881,1,0,612,0,True,1
260342.852445492,13,13f7cp4sxyaj,Kaylee,10,gc12nw,29,5881,2,100,0,0,True,1
260342.860050907,13,13f7cp4sxyaj,Kaylee,10,gc12nw,0,55532,1,0,612,0,True,0
260342.86775436,13,13f7cp4sxyaj,Kaylee,10,gc12nw,0,55532,2,100,0,0,True,0
260348.294676513,13,13f7cp4sxyaj,Kaylee,10,gc12nw,94,37479,1,0,612,0,True,0
260348.303769906,13,13f7cp4sxyaj,Kaylee,10,gc12nw,94,37479,2,100,0,0,True,0
260350.23335148,13,13f7cp4sxyaj,Kaylee,10,gc12nw,93,65145,1,0,612,0,True,0
260350.240839872,13,13f7cp4sxyaj,Kaylee,10,gc12nw,93,65145,2,100,0,0,True,0
260354.851143828,13,13f7cp4sxyaj,Kaylee,11,gc12nw,46,49338,1,0,612,0,True,0
260354.861073538,13,13f7cp4sxyaj,Kaylee,11,gc12nw,46,49338,2,100,0,0,True,0
260364.661388604,13,13f7cp4sxyaj,Kaylee,12,gc12nw,38,34921,1,0,612,0,True,0
260364.668822013,13,13f7cp4sxyaj,Kaylee,12,gc12nw,38,34921,2,100,0,0,True,0
260370.306193801,13,13f7cp4sxyaj,Kaylee,12,gc12nw,54,39235,1,0,612,0,True,5
260370.313930326,13,13f7cp4sxyaj,Kaylee,12,gc12nw,54,39235,2,100,0,0,True,5
260370.321507986,13,13f7cp4sxyaj,Kaylee,12,gc12nw,79,20056,1,0,612,0,True,4
260370.329333304,13,13f7cp4sxyaj,Kaylee,12,gc12nw,79,20056,2,100,0,0,True,4
260370.336955121,13,13f7cp4sxyaj,Kaylee,12,gc12nw,68,45076,1,0,612,0,True,3
260370.344818469,13,13f7cp4sxyaj,Kaylee,12,gc12nw,68,45076,2,100,0,0,True,3
260370.35251983,13,13f7cp4sxyaj,Kaylee,12,gc12nw,28,28828,1,0,612,0,True,2
260370.360197942,13,13f7cp4sxyaj,Kaylee,12,gc12nw,28,28828,2,100,0,0,True,2
260370.367797293,13,13f7cp4sxyaj,Kaylee,12,gc12nw,83,58997,1,0,612,0,True,1
260370.375353906,13,13f7cp4sxyaj,Kaylee,12,gc12nw,83,58997,2,100,0,0,True,1
260370.382790609,13,13f7cp4sxyaj,Kaylee,12,gc12nw,80,2580,1,0,612,0,True,0
260370.39107772,13,13f7cp4sxyaj,Kaylee,12,gc12nw,80,2580,2,100,0,0,True,0
260372.566408507,13,13f7cp4sxyaj,Kaylee,12,gc12nw,20,17102,1,0,612,0,True,0
260372.57421007,13,13f7cp4sxyaj,Kaylee,12,gc12nw,20,17102,2,100,0,0,True,0
260396.269381841,13,13f7cp4sxyaj,Kaylee,15,gc12nw,14,13694,1,0,612,0,True,1
260396.277365846,13,13f7cp4sxyaj,Kaylee,15,gc12nw,14,13694,2,100,0,0,True,1
260396.285090414,13,13f7cp4sxyaj,Kaylee,15,gc12nw,23,13243,1,0,612,0,True,0
260396.294453018,13,13f7cp4sxyaj,Kaylee,15,gc12nw,23,13243,2,100,0,0,True,0
260405.987449787,13,13f7cp4sxyaj,Kaylee,15,gc12nw,62,56912,1,0,612,0,True,0
260405.995011877,13,13f7cp4sxyaj,Kaylee,15,gc12nw,62,56912,2,100,0,0,True,0
260410.387616672,13,13f7cp4sxyaj,Kaylee,16,gc12nw,91,2414,1,0,612,0,True,3
260410.395430679,13,13f7cp4sxyaj,Kaylee,16,gc12nw,91,2414,2,100,0,0,True,3
260410.403130427,13,13f7cp4sxyaj,Kaylee,16,gc12nw,44,20144,1,0,612,0,True,2
260410.41082331,13,13f7cp4sxyaj,Kaylee,16,gc12nw,44,20144,2,100,0,0,True,2
260410.421579006,13,13f7cp4sxyaj,Kaylee,16,gc12nw,46,24225,1,0,612,0,True,1
260410.429481622,13,13f7cp4sxyaj,Kaylee,16,gc12nw,46,24225,2,100,0,0,True,1
260410.437468399,13,13f7cp4sxyaj,Kaylee,16,gc12nw,20,60658,1,0,612,0,True,0
260410.445643012,13,13f7cp4sxyaj,Kaylee,16,gc12nw,20,60658,2,100,0,0,True,0
260413.475806171,13,13f7cp4sxyaj,Kaylee,16,gc12nw,61,5024,1,0,612,0,True,2
260413.483672144,13,13f7cp4sxyaj,Kaylee,16,gc12nw,61,5024,2,100,0,0,True,2
