t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260395.478593454,13,1l0womvarjf3,Brande,15,a6yrdk,52,6007,1,0,612,0,True,0
260395.485392603,13,1l0womvarjf3,Brande,15,a6yrdk,52,6007,2,100,0,0,True,0
260402.164111263,13,1l0womvarjf3,Brande,16,a6yrdk,7,14315,1,0,612,0,True,1
260402.171903164,13,1l0womvarjf3,Brande,16,a6yrdk,7,14315,2,100,0,0,True,1
260402.179497201,13,1l0womvarjf3,Brande,16,a6yrdk,0,60275,1,0,612,0,True,0
260402.187161677,13,1l0womvarjf3,Brande,16,a6yrdk,0,60275,2,100,0,0,True,0
260405.256850715,13,1l0womvarjf3,Brande,16,a6yrdk,74,52170,1,0,612,0,True,1
260405.279463716,13,1l0womvarjf3,Brande,16,a6yrdk,74,52170,2,100,0,0,True,1
260405.289475987,13,1l0womvarjf3,Brande,16,a6yrdk,62,45541,1,0,612,0,True,0
260405.29721764,13,1l0womvarjf3,Brande,16,a6yrdk,62,45541,2,100,0,0,True,0
