t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260220.620935982,13,1usvvujlels2,Jack,1,a6yrdk,92,11592,1,0,0,612,True,1
260220.628978685,13,1usvvujlels2,Jack,1,a6yrdk,61,38058,1,0,0,612,True,0
260221.720317032,13,1usvvujlels2,Jack,1,a6yrdk,11,58209,1,0,0,612,True,1
260221.727755189,13,1usvvujlels2,Jack,1,a6yrdk,14,43187,1,0,0,612,True,0
260222.765759977,13,1usvvujlels2,Jack,1,a6yrdk,95,49848,1,0,0,612,True,0
260223.62386659,13,1usvvujlels2,Jack,1,a6yrdk,43,38074,1,0,0,612,True,2
260223.631061697,13,1usvvujlels2,Jack,1,a6yrdk,93,47003,1,0,0,612,True,1
260223.638315749,13,1usvvujlels2,Jack,1,a6yrdk,53,47622,1,0,0,612,True,0
260307.226714971,13,1usvvujlels2,Jack,7,a6yrdk,56,25009,2,0,0,100,True,1
260307.236044236,13,1usvvujlels2,Jack,7,a6yrdk,61,38058,2,0,0,100,True,0
260310.925409719,13,1usvvujlels2,Jack,7,a6yrdk,22,19578,2,0,0,100,True,0
260313.888910636,13,1usvvujlels2,Jack,8,a6yrdk,35,13952,1,0,0,612,True,0
260317.269066309,13,1usvvujlels2,Jack,8,a6yrdk,79,48569,2,0,0,100,True,2
260317.276767161,13,1usvvujlels2,Jack,8,a6yrdk,86,63536,1,0,0,612,True,1
260317.286172761,13,1usvvujlels2,Jack,8,a6yrdk,3,7074,1,0,0,612,True,0
260320.563427855,13,1usvvujlels2,Jack,8,a6yrdk,77,47737,1,0,0,612,True,0
260323.125488023,13,1usvvujlels2,Jack,8,a6yrdk,25,9148,1,0,0,612,True,1
260323.133009088,13,1usvvujlels2,Jack,8,a6yrdk,16,41243,1,0,0,612,True,0
260353.291029295,13,1usvvujlels2,Jack,11,a6yrdk,48,60219,2,0,0,100,True,2
260353.299048411,13,1usvvujlels2,Jack,11,a6yrdk,24,18545,2,0,0,100,True,1
260353.307198241,13,1usvvujlels2,Jack,11,a6yrdk,81,61130,1,0,0,612,True,0
260355.455981045,13,1usvvujlels2,Jack,11,a6yrdk,66,53018,2,0,0,100,True,2
260355.46439145,13,1usvvujlels2,Jack,11,a6yrdk,63,7028,2,0,0,100,True,1
260355.472575327,13,1usvvujlels2,Jack,11,a6yrdk,69,49413,2,0,0,100,True,0
260370.991202881,13,1usvvujlels2,Jack,13,a6yrdk,74,26930,1,0,0,612,True,1
260371.000360966,13,1usvvujlels2,Jack,13,a6yrdk,52,6007,1,0,0,612,True,0
260372.769754926,13,1usvvujlels2,Jack,13,a6yrdk,68,20417,1,0,0,612,True,0
260375.938221586,13,1usvvujlels2,Jack,13,a6yrdk,71,12052,1,0,0,612,True,1
260375.947356384,13,1usvvujlels2,Jack,13,a6yrdk,4,31069,2,0,0,100,True,0
260377.871614318,13,1usvvujlels2,Jack,13,a6yrdk,0,36641,1,0,0,612,True,4
260377.879305187,13,1usvvujlels2,Jack,13,a6yrdk,70,16913,1,0,0,612,True,3
260377.886967994,13,1usvvujlels2,Jack,13,a6yrdk,68,45062,1,0,0,612,True,2
260377.894625011,13,1usvvujlels2,Jack,13,a6yrdk,73,7577,1,0,0,612,True,1
260377.902397554,13,1usvvujlels2,Jack,13,a6yrdk,62,45541,1,0,0,612,True,0
260379.478158475,13,1usvvujlels2,Jack,13,a6yrdk,74,52170,1,0,0,612,True,0
260383.196616362,13,1usvvujlels2,Jack,14,a6yrdk,52,23450,1,0,0,612,True,1
260383.203892361,13,1usvvujlels2,Jack,14,a6yrdk,51,15137,1,0,0,612,True,0
260385.305923572,13,1usvvujlels2,Jack,14,a6yrdk,50,45704,1,0,0,612,True,0
260387.577330624,13,1usvvujlels2,Jack,14,a6yrdk,44,28615,1,0,0,612,True,3
260387.584962001,13,1usvvujlels2,Jack,14,a6yrdk,25,9148,2,0,0,100,True,2
260387.592574331,13,1usvvujlels2,Jack,14,a6yrdk,70,45956,2,0,0,100,True,1
260387.600228481,13,1usvvujlels2,Jack,14,a6yrdk,94,13744,1,0,0,612,True,0
260389.593407386,13,1usvvujlels2,Jack,14,a6yrdk,82,10472,1,0,0,612,True,0
260392.85822921,13,1usvvujlels2,Jack,15,a6yrdk,8,61399,1,0,0,612,True,0
260394.647574326,13,1usvvujlels2,Jack,15,a6yrdk,10,4926,1,0,0,612,True,2
260394.654845141,13,1usvvujlels2,Jack,15,a6yrdk,13,27384,1,0,0,612,True,1
260394.662631628,13,1usvvujlels2,Jack,15,a6yrdk,12,27285,1,0,0,612,True,0
260396.798328907,13,1usvvujlels2,Jack,15,a6yrdk,2,14827,1,0,0,612,True,0
260398.373327247,13,1usvvujlels2,Jack,15,a6yrdk,16,41243,2,0,0,100,True,0
260399.81909942,13,1usvvujlels2,Jack,15,a6yrdk,13,41003,1,0,0,612,True,0
260414.64523008,13,1usvvujlels2,Jack,17,a6yrdk,70,63771,1,0,0,612,True,4
260414.652938997,13,1usvvujlels2,Jack,17,a6yrdk,65,36891,1,0,0,612,True,3
260414.660625638,13,1usvvujlels2,Jack,17,a6yrdk,68,44997,1,0,0,612,True,2
260414.668132882,13,1usvvujlels2,Jack,17,a6yrdk,0,47648,1,0,0,612,True,1
260414.675872828,13,1usvvujlels2,Jack,17,a6yrdk,60,1402,1,0,0,612,True,0
260420.602152253,13,1usvvujlels2,Jack,17,a6yrdk,62,45541,2,0,0,100,True,1
260420.610176324,13,1usvvujlels2,Jack,17,a6yrdk,0,36641,2,0,0,100,True,0
260423.235650742,13,1usvvujlels2,Jack,17,a6yrdk,51,15137,2,0,0,100,True,1
260423.243296404,13,1usvvujlels2,Jack,17,a6yrdk,55,51024,2,0,0,100,True,0
260424.846249042,13,1usvvujlels2,Jack,17,a6yrdk,52,23450,2,0,0,100,True,1
260424.853572393,13,1usvvujlels2,Jack,17,a6yrdk,45,4146,1,0,0,612,True,0
260426.060533034,13,1usvvujlels2,Jack,18,a6yrdk,41,29256,1,0,0,612,True,0
260427.174441359,13,1usvvujlels2,Jack,18,a6yrdk,45,56738,1,0,0,612,True,1
260427.182060498,13,1usvvujlels2,Jack,18,a6yrdk,6,61858,1,0,0,612,True,0
260428.465737823,13,1usvvujlels2,Jack,18,a6yrdk,84,20954,2,0,0,100,True,1
260428.475017483,13,1usvvujlels2,Jack,18,a6yrdk,65,43050,1,0,0,612,True,0
260429.159634346,13,1usvvujlels2,Jack,18,a6yrdk,68,32194,1,0,0,612,True,0
260432.18896257,13,1usvvujlels2,Jack,18,a6yrdk,5,30836,1,0,0,612,True,1
260432.19881262,13,1usvvujlels2,Jack,18,a6yrdk,8,61399,2,0,0,100,True,0
260434.925261306,13,1usvvujlels2,Jack,18,a6yrdk,5,6799,1,0,0,612,True,2
260434.933009166,13,1usvvujlels2,Jack,18,a6yrdk,94,13744,2,0,0,100,True,1
260434.940928078,13,1usvvujlels2,Jack,18,a6yrdk,44,28615,2,0,0,100,True,0
260438.398312123,13,1usvvujlels2,Jack,19,a6yrdk,5,14235,2,0,0,100,True,0
260443.106107424,13,1usvvujlels2,Jack,19,a6yrdk,75,30382,2,0,0,100,True,2
260443.113896042,13,1usvvujlels2,Jack,19,a6yrdk,6,32688,2,0,0,100,True,1
260443.121828957,13,1usvvujlels2,Jack,19,a6yrdk,81,28516,2,0,0,100,True,0
260444.227415112,13,1usvvujlels2,Jack,19,a6yrdk,74,43609,2,0,0,100,True,0
260446.255235718,13,1usvvujlels2,Jack,19,a6yrdk,84,19503,2,0,0,100,True,2
260446.26324679,13,1usvvujlels2,Jack,19,a6yrdk,89,61098,2,0,0,100,True,1
260446.275356627,13,1usvvujlels2,Jack,19,a6yrdk,71,50664,2,0,0,100,True,0
260448.212566994,13,1usvvujlels2,Jack,19,a6yrdk,45,20683,1,0,0,612,True,4
260448.221249482,13,1usvvujlels2,Jack,19,a6yrdk,45,4913,1,0,0,612,True,3
260448.229242318,13,1usvvujlels2,Jack,19,a6yrdk,45,51104,1,0,0,612,True,2
260448.237173642,13,1usvvujlels2,Jack,19,a6yrdk,45,23854,1,0,0,612,True,1
260448.245030528,13,1usvvujlels2,Jack,19,a6yrdk,45,33159,1,0,0,612,True,0
260453.598326679,13,1usvvujlels2,Jack,20,a6yrdk,70,16913,2,0,0,100,True,1
260453.6057743,13,1usvvujlels2,Jack,20,a6yrdk,7,65184,2,0,0,100,True,0
260456.829075356,13,1usvvujlels2,Jack,20,a6yrdk,12,608,2,0,0,100,True,2
260456.836862997,13,1usvvujlels2,Jack,20,a6yrdk,75,38010,2,0,0,100,True,1
260456.844532188,13,1usvvujlels2,Jack,20,a6yrdk,60,1402,2,0,0,100,True,0
260462.273249201,13,1usvvujlels2,Jack,21,a6yrdk,5,45991,2,0,0,100,True,2
260462.280836234,13,1usvvujlels2,Jack,21,a6yrdk,71,1025,2,0,0,100,True,1
260462.289999832,13,1usvvujlels2,Jack,21,a6yrdk,6,61858,2,0,0,100,True,0
260463.801125932,13,1usvvujlels2,Jack,21,a6yrdk,45,7063,2,0,0,100,True,1
260463.808841443,13,1usvvujlels2,Jack,21,a6yrdk,60,55465,2,0,0,100,True,0
