t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260248.777595027,13,25z9ktooydd2,Evelyne,3,v6gf3g,10,52771,1,0,612,0,True,1
260248.785296905,13,25z9ktooydd2,Evelyne,3,v6gf3g,10,52771,2,100,0,0,True,1
260248.793045575,13,25z9ktooydd2,Evelyne,3,v6gf3g,97,44739,1,0,612,0,True,0
260248.800761406,13,25z9ktooydd2,Evelyne,3,v6gf3g,97,44739,2,100,0,0,True,0
260271.359401124,13,25z9ktooydd2,Evelyne,4,v6gf3g,18,3826,1,0,612,0,True,0
260271.371455293,13,25z9ktooydd2,Evelyne,4,v6gf3g,18,3826,2,100,0,0,True,0
260313.823222431,13,25z9ktooydd2,Evelyne,7,v6gf3g,73,46956,1,0,612,0,True,1
260313.83051361,13,25z9ktooydd2,Evelyne,7,v6gf3g,73,46956,2,100,0,0,True,1
260313.837674372,13,25z9ktooydd2,Evelyne,7,v6gf3g,36,57331,1,0,612,0,True,0
260313.845011879,13,25z9ktooydd2,Evelyne,7,v6gf3g,36,57331,2,100,0,0,True,0
260320.523786047,13,25z9ktooydd2,Evelyne,8,v6gf3g,78,47230,1,0,612,0,True,1
260320.531444815,13,25z9ktooydd2,Evelyne,8,v6gf3g,78,47230,2,100,0,0,True,1
260320.539043948,13,25z9ktooydd2,Evelyne,8,v6gf3g,64,54707,1,0,612,0,True,0
260320.547455734,13,25z9ktooydd2,Evelyne,8,v6gf3g,64,54707,2,100,0,0,True,0
260349.964103658,13,25z9ktooydd2,Evelyne,10,v6gf3g,44,54103,1,0,612,0,True,0
260349.972207026,13,25z9ktooydd2,Evelyne,10,v6gf3g,44,54103,2,100,0,0,True,0
260359.075091294,13,25z9ktooydd2,Evelyne,11,v6gf3g,75,43010,1,0,612,0,True,1
260359.082510173,13,25z9ktooydd2,Evelyne,11,v6gf3g,75,43010,2,100,0,0,True,1
260359.090105691,13,25z9ktooydd2,Evelyne,11,v6gf3g,76,20826,1,0,612,0,True,0
260359.097778688,13,25z9ktooydd2,Evelyne,11,v6gf3g,76,20826,2,100,0,0,True,0
260361.519823588,13,25z9ktooydd2,Evelyne,11,v6gf3g,60,25142,1,0,612,0,True,1
