t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260275.117880908,13,27kz11a7yapv,Sibyl,5,g1y6tj,37,24338,2,0,0,100,True,1
260275.12533375,13,27kz11a7yapv,Sibyl,5,g1y6tj,95,15683,2,0,0,100,True,0
260289.196367393,13,27kz11a7yapv,Sibyl,5,g1y6tj,28,15343,2,0,0,100,True,1
260289.204288458,13,27kz11a7yapv,Sibyl,5,g1y6tj,92,30374,2,0,0,100,True,0
260327.707312658,13,27kz11a7yapv,Sibyl,9,g1y6tj,57,4202,2,0,0,100,True,1
260327.716145224,13,27kz11a7yapv,Sibyl,9,g1y6tj,40,11267,1,0,0,612,True,0
260334.353459706,13,27kz11a7yapv,Sibyl,9,g1y6tj,20,13905,1,0,0,612,True,1
260334.360713201,13,27kz11a7yapv,Sibyl,9,g1y6tj,60,22928,1,0,0,612,True,0
260336.555399809,13,27kz11a7yapv,Sibyl,9,g1y6tj,82,13944,2,0,0,100,True,1
260336.563299495,13,27kz11a7yapv,Sibyl,9,g1y6tj,81,51428,2,0,0,100,True,0
260338.157550566,13,27kz11a7yapv,Sibyl,9,g1y6tj,35,36078,2,0,0,100,True,0
260340.50810151,13,27kz11a7yapv,Sibyl,10,g1y6tj,58,28842,1,0,0,612,True,1
260340.515514979,13,27kz11a7yapv,Sibyl,10,g1y6tj,55,51827,1,0,0,612,True,0
260343.258316858,13,27kz11a7yapv,Sibyl,10,g1y6tj,17,42381,1,0,0,612,True,0
260352.84918436,13,27kz11a7yapv,Sibyl,11,g1y6tj,48,40892,1,0,0,612,True,0
260354.99473044,13,27kz11a7yapv,Sibyl,11,g1y6tj,89,18440,2,0,0,100,True,0
260357.090954322,13,27kz11a7yapv,Sibyl,11,g1y6tj,13,18249,1,0,0,612,True,0
260359.535934028,13,27kz11a7yapv,Sibyl,11,g1y6tj,75,10240,1,0,0,612,True,1
260359.543362677,13,27kz11a7yapv,Sibyl,11,g1y6tj,63,57756,2,0,0,100,True,0
260382.519210211,13,27kz11a7yapv,Sibyl,14,g1y6tj,75,20231,1,0,0,612,True,2
260382.528492715,13,27kz11a7yapv,Sibyl,14,g1y6tj,75,64177,1,0,0,612,True,1
260382.536232996,13,27kz11a7yapv,Sibyl,14,g1y6tj,75,21189,1,0,0,612,True,0
260386.099852033,13,27kz11a7yapv,Sibyl,14,g1y6tj,10,28102,2,0,0,100,True,0
260388.343325805,13,27kz11a7yapv,Sibyl,14,g1y6tj,75,16157,2,0,0,100,True,0
260390.392021605,13,27kz11a7yapv,Sibyl,14,g1y6tj,20,20000,2,0,0,100,True,0
260402.156471763,13,27kz11a7yapv,Sibyl,15,g1y6tj,56,13296,2,0,0,100,True,0
