t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260226.227473149,13,2mpwtkn15tqd,Shawnda,1,1xerd1,22,27901,1,0,0,612,True,2
260226.234375038,13,2mpwtkn15tqd,Shawnda,1,1xerd1,67,11125,1,0,0,612,True,1
260226.241722512,13,2mpwtkn15tqd,Shawnda,1,1xerd1,4,31599,1,0,0,612,True,0
260227.537438993,13,2mpwtkn15tqd,Shawnda,1,1xerd1,26,39051,1,0,0,612,True,1
260227.544608731,13,2mpwtkn15tqd,Shawnda,1,1xerd1,75,41730,1,0,0,612,True,0
260229.843157666,13,2mpwtkn15tqd,Shawnda,2,1xerd1,95,46044,1,0,0,612,True,0
260231.930215016,13,2mpwtkn15tqd,Shawnda,2,1xerd1,34,30582,1,0,0,612,True,0
260233.642535478,13,2mpwtkn15tqd,Shawnda,2,1xerd1,84,40220,1,0,0,612,True,1
260233.650202778,13,2mpwtkn15tqd,Shawnda,2,1xerd1,32,31191,1,0,0,612,True,0
260236.750544943,13,2mpwtkn15tqd,Shawnda,2,1xerd1,18,25256,1,0,0,612,True,2
260236.757942624,13,2mpwtkn15tqd,Shawnda,2,1xerd1,50,14187,1,0,0,612,True,1
260236.765344533,13,2mpwtkn15tqd,Shawnda,2,1xerd1,92,50025,1,0,0,612,True,0
260238.839268113,13,2mpwtkn15tqd,Shawnda,2,1xerd1,35,60462,1,0,0,612,True,4
260238.848278548,13,2mpwtkn15tqd,Shawnda,2,1xerd1,45,13017,1,0,0,612,True,3
260238.855917538,13,2mpwtkn15tqd,Shawnda,2,1xerd1,49,47183,1,0,0,612,True,2
260238.864912757,13,2mpwtkn15tqd,Shawnda,2,1xerd1,5,59340,1,0,0,612,True,1
260238.969889083,13,2mpwtkn15tqd,Shawnda,2,1xerd1,39,20198,1,0,0,612,True,0
260242.780460614,13,2mpwtkn15tqd,Shawnda,3,1xerd1,66,23918,1,0,0,612,True,1
260242.788029335,13,2mpwtkn15tqd,Shawnda,3,1xerd1,0,15882,1,0,0,612,True,0
260245.961103202,13,2mpwtkn15tqd,Shawnda,3,1xerd1,42,25172,1,0,0,612,True,0
260250.039291401,13,2mpwtkn15tqd,Shawnda,3,1xerd1,97,9022,1,0,0,612,True,0
260268.432170178,13,2mpwtkn15tqd,Shawnda,5,1xerd1,25,18656,2,0,0,100,True,0
260288.54940162,13,2mpwtkn15tqd,Shawnda,6,1xerd1,4,31599,2,0,0,100,True,3
260288.567340119,13,2mpwtkn15tqd,Shawnda,6,1xerd1,19,28099,2,0,0,100,True,2
260288.575068943,13,2mpwtkn15tqd,Shawnda,6,1xerd1,81,55591,2,0,0,100,True,1
260288.605328322,13,2mpwtkn15tqd,Shawnda,6,1xerd1,10,41664,2,0,0,100,True,0
260295.310268517,13,2mpwtkn15tqd,Shawnda,6,1xerd1,40,38299,2,0,0,100,True,8
260295.320964627,13,2mpwtkn15tqd,Shawnda,6,1xerd1,72,50399,2,0,0,100,True,7
260295.32857972,13,2mpwtkn15tqd,Shawnda,6,1xerd1,51,9948,2,0,0,100,True,6
260295.336171611,13,2mpwtkn15tqd,Shawnda,6,1xerd1,8,9162,2,0,0,100,True,5
260295.344558163,13,2mpwtkn15tqd,Shawnda,6,1xerd1,18,25256,2,0,0,100,True,4
260295.352448003,13,2mpwtkn15tqd,Shawnda,6,1xerd1,13,1072,2,0,0,100,True,3
260295.360309628,13,2mpwtkn15tqd,Shawnda,6,1xerd1,45,29782,1,0,0,612,True,2
260295.368134132,13,2mpwtkn15tqd,Shawnda,6,1xerd1,41,22385,1,0,0,612,True,1
260295.391895213,13,2mpwtkn15tqd,Shawnda,6,1xerd1,39,42111,1,0,0,612,True,0
260302.885812326,13,2mpwtkn15tqd,Shawnda,7,1xerd1,89,40982,2,0,0,100,True,0
260306.219046593,13,2mpwtkn15tqd,Shawnda,7,1xerd1,27,8409,1,0,0,612,True,4
260306.232275094,13,2mpwtkn15tqd,Shawnda,7,1xerd1,77,55907,2,0,0,100,True,3
260306.239690281,13,2mpwtkn15tqd,Shawnda,7,1xerd1,75,41730,2,0,0,100,True,2
260306.246991441,13,2mpwtkn15tqd,Shawnda,7,1xerd1,29,26154,2,0,0,100,True,1
260306.254281199,13,2mpwtkn15tqd,Shawnda,7,1xerd1,58,14778,2,0,0,100,True,0
260310.178666863,13,2mpwtkn15tqd,Shawnda,8,1xerd1,21,7009,2,0,0,100,True,1
260310.186567709,13,2mpwtkn15tqd,Shawnda,8,1xerd1,75,63833,1,0,0,612,True,0
260319.979260023,13,2mpwtkn15tqd,Shawnda,9,1xerd1,23,53658,1,0,0,612,True,0
260322.785573153,13,2mpwtkn15tqd,Shawnda,9,1xerd1,68,4199,1,0,0,612,True,0
260326.086454746,13,2mpwtkn15tqd,Shawnda,9,1xerd1,93,50527,2,0,0,100,True,3
260326.094086829,13,2mpwtkn15tqd,Shawnda,9,1xerd1,1,11249,2,0,0,100,True,2
260326.101736301,13,2mpwtkn15tqd,Shawnda,9,1xerd1,82,29900,2,0,0,100,True,1
260326.109386467,13,2mpwtkn15tqd,Shawnda,9,1xerd1,87,52959,2,0,0,100,True,0
260328.902896401,13,2mpwtkn15tqd,Shawnda,9,1xerd1,78,37534,2,0,0,100,True,1
260328.910257049,13,2mpwtkn15tqd,Shawnda,9,1xerd1,86,32532,2,0,0,100,True,0
260351.95709103,13,2mpwtkn15tqd,Shawnda,12,1xerd1,83,60794,2,0,0,100,True,2
260351.964611757,13,2mpwtkn15tqd,Shawnda,12,1xerd1,20,41270,1,0,0,612,True,1
260351.972021044,13,2mpwtkn15tqd,Shawnda,12,1xerd1,50,43214,1,0,0,612,True,0
260360.134475319,13,2mpwtkn15tqd,Shawnda,12,1xerd1,9,37067,1,0,0,612,True,2
260360.146746143,13,2mpwtkn15tqd,Shawnda,12,1xerd1,51,13137,2,0,0,100,True,1
260360.155845509,13,2mpwtkn15tqd,Shawnda,12,1xerd1,19,5513,2,0,0,100,True,0
260365.259103275,13,2mpwtkn15tqd,Shawnda,13,1xerd1,44,61042,1,0,0,612,True,0
260367.037182093,13,2mpwtkn15tqd,Shawnda,13,1xerd1,60,1416,1,0,0,612,True,0
260368.509027041,13,2mpwtkn15tqd,Shawnda,13,1xerd1,53,22148,2,0,0,100,True,0
260371.141298599,13,2mpwtkn15tqd,Shawnda,13,1xerd1,69,1570,1,0,0,612,True,1
260371.148839804,13,2mpwtkn15tqd,Shawnda,13,1xerd1,60,57833,1,0,0,612,True,0
260372.890620652,13,2mpwtkn15tqd,Shawnda,13,1xerd1,60,26275,1,0,0,612,True,0
260378.046279122,13,2mpwtkn15tqd,Shawnda,14,1xerd1,52,48347,2,0,0,100,True,2
260378.053663568,13,2mpwtkn15tqd,Shawnda,14,1xerd1,74,45480,2,0,0,100,True,1
260378.061082184,13,2mpwtkn15tqd,Shawnda,14,1xerd1,10,47243,1,0,0,612,True,0
260381.379507071,13,2mpwtkn15tqd,Shawnda,14,1xerd1,69,47636,1,0,0,612,True,0
260383.315761436,13,2mpwtkn15tqd,Shawnda,14,1xerd1,55,43327,2,0,0,100,True,1
260383.324443869,13,2mpwtkn15tqd,Shawnda,14,1xerd1,60,4863,2,0,0,100,True,0
260418.970177774,13,2mpwtkn15tqd,Shawnda,18,1xerd1,10,3015,1,0,0,612,True,3
260418.981623194,13,2mpwtkn15tqd,Shawnda,18,1xerd1,10,34485,1,0,0,612,True,2
260418.990417979,13,2mpwtkn15tqd,Shawnda,18,1xerd1,10,58284,1,0,0,612,True,1
260418.99837447,13,2mpwtkn15tqd,Shawnda,18,1xerd1,10,27476,1,0,0,612,True,0
260424.936333204,13,2mpwtkn15tqd,Shawnda,18,1xerd1,10,38703,2,0,0,100,True,1
260424.943685806,13,2mpwtkn15tqd,Shawnda,18,1xerd1,10,39349,2,0,0,100,True,0
260428.563919774,13,2mpwtkn15tqd,Shawnda,18,1xerd1,10,9490,2,0,0,100,True,0
260429.218583533,13,2mpwtkn15tqd,Shawnda,18,1xerd1,10,60915,2,0,0,100,True,1
260429.231158487,13,2mpwtkn15tqd,Shawnda,18,1xerd1,10,9554,2,0,0,100,True,0
260438.45638026,13,2mpwtkn15tqd,Shawnda,19,1xerd1,10,3011,2,0,0,100,True,0
260441.758548911,13,2mpwtkn15tqd,Shawnda,20,1xerd1,10,51762,2,0,0,100,True,1
260441.766185236,13,2mpwtkn15tqd,Shawnda,20,1xerd1,10,9516,2,0,0,100,True,0
260443.143855414,13,2mpwtkn15tqd,Shawnda,20,1xerd1,10,27037,2,0,0,100,True,0
260444.250666626,13,2mpwtkn15tqd,Shawnda,20,1xerd1,10,58284,2,0,0,100,True,2
260444.258015763,13,2mpwtkn15tqd,Shawnda,20,1xerd1,10,14459,2,0,0,100,True,1
