t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260227.060634821,13,395y1tsy9fjc,Julius,1,358r3v,34,35416,1,0,0,612,True,2
260227.0671059,13,395y1tsy9fjc,Julius,1,358r3v,80,57174,1,0,0,612,True,1
260227.074473286,13,395y1tsy9fjc,Julius,1,358r3v,73,30165,1,0,0,612,True,0
260228.503466173,13,395y1tsy9fjc,Julius,1,358r3v,10,216,1,0,0,612,True,2
260228.51005884,13,395y1tsy9fjc,Julius,1,358r3v,15,34753,1,0,0,612,True,1
260228.516831782,13,395y1tsy9fjc,Julius,1,358r3v,96,13261,1,0,0,612,True,0
260230.496821805,13,395y1tsy9fjc,Julius,1,358r3v,77,56150,1,0,0,612,True,0
260245.629871915,13,395y1tsy9fjc,Julius,3,358r3v,1,2102,1,0,0,612,True,4
260245.6385426,13,395y1tsy9fjc,Julius,3,358r3v,18,44425,1,0,0,612,True,3
260245.646314567,13,395y1tsy9fjc,Julius,3,358r3v,91,43776,1,0,0,612,True,2
260245.653435005,13,395y1tsy9fjc,Julius,3,358r3v,43,5442,1,0,0,612,True,1
260245.660924452,13,395y1tsy9fjc,Julius,3,358r3v,37,24739,1,0,0,612,True,0
260265.2441127,13,395y1tsy9fjc,Julius,4,358r3v,94,35200,1,0,0,612,True,9
260265.268829245,13,395y1tsy9fjc,Julius,4,358r3v,45,2144,1,0,0,612,True,8
260265.277297026,13,395y1tsy9fjc,Julius,4,358r3v,39,29360,1,0,0,612,True,7
260265.298005358,13,395y1tsy9fjc,Julius,4,358r3v,42,13459,1,0,0,612,True,6
260265.320070337,13,395y1tsy9fjc,Julius,4,358r3v,93,50549,1,0,0,612,True,5
260265.340233545,13,395y1tsy9fjc,Julius,4,358r3v,92,41394,1,0,0,612,True,4
260265.354858468,13,395y1tsy9fjc,Julius,4,358r3v,87,63803,1,0,0,612,True,3
260265.365657768,13,395y1tsy9fjc,Julius,4,358r3v,97,65399,2,0,0,100,True,2
260265.383624372,13,395y1tsy9fjc,Julius,4,358r3v,68,30402,2,0,0,100,True,1
260265.401161616,13,395y1tsy9fjc,Julius,4,358r3v,80,57174,2,0,0,100,True,0
260272.740973654,13,395y1tsy9fjc,Julius,4,358r3v,98,10899,2,0,0,100,True,4
260272.748775061,13,395y1tsy9fjc,Julius,4,358r3v,11,34236,2,0,0,100,True,3
260272.756679659,13,395y1tsy9fjc,Julius,4,358r3v,60,44301,2,0,0,100,True,2
260272.764905806,13,395y1tsy9fjc,Julius,4,358r3v,94,63670,2,0,0,100,True,1
260272.772597898,13,395y1tsy9fjc,Julius,4,358r3v,10,216,2,0,0,100,True,0
260279.761505301,13,395y1tsy9fjc,Julius,5,358r3v,54,45744,2,0,0,100,True,1
260279.768328463,13,395y1tsy9fjc,Julius,5,358r3v,83,10118,1,0,0,612,True,0
260286.818058347,13,395y1tsy9fjc,Julius,5,358r3v,81,40657,2,0,0,100,True,1
260286.8277776,13,395y1tsy9fjc,Julius,5,358r3v,31,31442,1,0,0,612,True,0
260294.080130371,13,395y1tsy9fjc,Julius,6,358r3v,95,56867,2,0,0,100,True,1
260294.088490365,13,395y1tsy9fjc,Julius,6,358r3v,3,49175,2,0,0,100,True,0
260300.422500642,13,395y1tsy9fjc,Julius,6,358r3v,8,49642,2,0,0,100,True,0
260315.12006744,13,395y1tsy9fjc,Julius,8,358r3v,41,59539,2,0,0,100,True,0
260326.955670163,13,395y1tsy9fjc,Julius,8,358r3v,40,36474,2,0,0,100,True,0
260330.054354393,13,395y1tsy9fjc,Julius,9,358r3v,79,30232,2,0,0,100,True,0
260336.39341298,13,395y1tsy9fjc,Julius,9,358r3v,48,30633,2,0,0,100,True,2
260336.400609469,13,395y1tsy9fjc,Julius,9,358r3v,35,25727,2,0,0,100,True,1
260336.407881715,13,395y1tsy9fjc,Julius,9,358r3v,79,18212,2,0,0,100,True,0
260342.875464043,13,395y1tsy9fjc,Julius,10,358r3v,76,5167,2,0,0,100,True,1
260342.887537419,13,395y1tsy9fjc,Julius,10,358r3v,27,26848,2,0,0,100,True,0
260348.314705112,13,395y1tsy9fjc,Julius,10,358r3v,29,55616,2,0,0,100,True,0
260363.578681163,13,395y1tsy9fjc,Julius,12,358r3v,23,2681,1,0,0,612,True,0
260371.623197484,13,395y1tsy9fjc,Julius,12,358r3v,20,53165,1,0,0,612,True,0
260376.620035148,13,395y1tsy9fjc,Julius,13,358r3v,20,53132,1,0,0,612,True,1
260376.627956178,13,395y1tsy9fjc,Julius,13,358r3v,22,23141,2,0,0,100,True,0
260381.617495382,13,395y1tsy9fjc,Julius,13,358r3v,13,13827,1,0,0,612,True,0
260393.124711688,13,395y1tsy9fjc,Julius,14,358r3v,64,54133,2,0,0,100,True,0
260398.645496518,13,395y1tsy9fjc,Julius,15,358r3v,79,23990,2,0,0,100,True,0
260401.925900065,13,395y1tsy9fjc,Julius,15,358r3v,79,50108,2,0,0,100,True,0
260440.02588938,13,395y1tsy9fjc,Julius,19,358r3v,13,2896,2,0,0,100,True,2
260440.0339215,13,395y1tsy9fjc,Julius,19,358r3v,13,61857,2,0,0,100,True,1
260440.042131681,13,395y1tsy9fjc,Julius,19,358r3v,13,9712,2,0,0,100,True,0
