t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260225.265361594,13,4lx8q4r1wq7w,Jack,1,wjqcjw,13,60508,1,0,0,612,True,0
260226.620251423,13,4lx8q4r1wq7w,Jack,1,wjqcjw,3,43658,1,0,0,612,True,0
260228.033882216,13,4lx8q4r1wq7w,Jack,1,wjqcjw,16,2446,1,0,0,612,True,2
260228.041151752,13,4lx8q4r1wq7w,Jack,1,wjqcjw,52,32141,1,0,0,612,True,1
260228.048404751,13,4lx8q4r1wq7w,Jack,1,wjqcjw,62,62570,1,0,0,612,True,0
260230.117002437,13,4lx8q4r1wq7w,Jack,1,wjqcjw,10,9788,1,0,0,612,True,3
260230.124570768,13,4lx8q4r1wq7w,Jack,1,wjqcjw,67,40352,1,0,0,612,True,2
260230.131739483,13,4lx8q4r1wq7w,Jack,1,wjqcjw,15,47439,1,0,0,612,True,1
260230.139106811,13,4lx8q4r1wq7w,Jack,1,v6gf3g,30,6315,2,0,0,100,True,0
260232.588541745,13,4lx8q4r1wq7w,Jack,2,wjqcjw,2,58267,1,0,0,612,True,0
260234.283123278,13,4lx8q4r1wq7w,Jack,2,s9jmpl,44,19590,1,0,0,612,True,3
260234.295583647,13,4lx8q4r1wq7w,Jack,2,s9jmpl,85,542,1,0,0,612,True,2
260234.303059003,13,4lx8q4r1wq7w,Jack,2,s9jmpl,36,40715,1,0,0,612,True,1
260234.310439479,13,4lx8q4r1wq7w,Jack,2,v6gf3g,95,18291,2,0,0,100,True,0
260235.562220921,13,4lx8q4r1wq7w,Jack,2,v6gf3g,23,11752,1,0,0,612,True,3
260235.570017522,13,4lx8q4r1wq7w,Jack,2,v6gf3g,55,34849,1,0,0,612,True,2
260235.578568434,13,4lx8q4r1wq7w,Jack,2,s9jmpl,78,42517,1,0,0,612,True,1
260235.586236809,13,4lx8q4r1wq7w,Jack,2,s9jmpl,60,29895,1,0,0,612,True,0
260237.112874991,13,4lx8q4r1wq7w,Jack,2,v6gf3g,37,44208,2,0,0,100,True,1
260237.12030963,13,4lx8q4r1wq7w,Jack,2,v6gf3g,67,42456,1,0,0,612,True,0
260239.593945248,13,4lx8q4r1wq7w,Jack,2,v6gf3g,40,55043,1,0,0,612,True,2
260239.60171143,13,4lx8q4r1wq7w,Jack,2,v6gf3g,16,9588,1,0,0,612,True,1
260239.612237196,13,4lx8q4r1wq7w,Jack,2,s9jmpl,73,14650,1,0,0,612,True,0
260250.91839683,13,4lx8q4r1wq7w,Jack,3,v6gf3g,92,57216,2,0,0,100,True,1
260250.926197718,13,4lx8q4r1wq7w,Jack,3,s9jmpl,89,47233,1,0,0,612,True,0
260256.412268428,13,4lx8q4r1wq7w,Jack,4,v6gf3g,18,3826,1,0,0,612,True,10
260256.420721552,13,4lx8q4r1wq7w,Jack,4,wjqcjw,95,6881,1,0,0,612,True,9
260256.428321096,13,4lx8q4r1wq7w,Jack,4,v6gf3g,47,47830,2,0,0,100,True,8
260256.436057301,13,4lx8q4r1wq7w,Jack,4,s9jmpl,82,52536,2,0,0,100,True,7
260256.444357176,13,4lx8q4r1wq7w,Jack,4,s9jmpl,60,29895,2,0,0,100,True,6
260256.451967082,13,4lx8q4r1wq7w,Jack,4,v6gf3g,23,11752,2,0,0,100,True,5
260256.459800749,13,4lx8q4r1wq7w,Jack,4,v6gf3g,58,20111,2,0,0,100,True,4
260256.468069639,13,4lx8q4r1wq7w,Jack,4,v6gf3g,98,35705,2,0,0,100,True,3
260256.477497081,13,4lx8q4r1wq7w,Jack,4,v6gf3g,1,16480,2,0,0,100,True,2
260256.485423104,13,4lx8q4r1wq7w,Jack,4,v6gf3g,10,52771,2,0,0,100,True,1
260256.49317281,13,4lx8q4r1wq7w,Jack,4,v6gf3g,97,44739,2,0,0,100,True,0
260262.227235419,13,4lx8q4r1wq7w,Jack,4,s9jmpl,56,16286,1,0,0,612,True,13
260262.235335899,13,4lx8q4r1wq7w,Jack,4,s9jmpl,86,39737,1,0,0,612,True,12
260262.243360707,13,4lx8q4r1wq7w,Jack,4,s9jmpl,67,55451,1,0,0,612,True,11
260262.251267903,13,4lx8q4r1wq7w,Jack,4,s9jmpl,45,44371,1,0,0,612,True,10
260262.259007545,13,4lx8q4r1wq7w,Jack,4,s9jmpl,19,17881,1,0,0,612,True,9
260262.266583707,13,4lx8q4r1wq7w,Jack,4,s9jmpl,66,38343,1,0,0,612,True,8
260262.273727059,13,4lx8q4r1wq7w,Jack,4,s9jmpl,75,56164,1,0,0,612,True,7
260262.281088494,13,4lx8q4r1wq7w,Jack,4,s9jmpl,0,30926,1,0,0,612,True,6
260262.288400361,13,4lx8q4r1wq7w,Jack,4,wjqcjw,58,18180,1,0,0,612,True,5
260262.295973442,13,4lx8q4r1wq7w,Jack,4,wjqcjw,64,22333,1,0,0,612,True,4
260262.320508249,13,4lx8q4r1wq7w,Jack,4,wjqcjw,99,21655,1,0,0,612,True,3
260262.328866639,13,4lx8q4r1wq7w,Jack,4,s9jmpl,64,29103,2,0,0,100,True,2
260262.337525403,13,4lx8q4r1wq7w,Jack,4,v6gf3g,40,55043,2,0,0,100,True,1
260262.346466532,13,4lx8q4r1wq7w,Jack,4,s9jmpl,99,20035,1,0,0,612,True,0
260269.507045444,13,4lx8q4r1wq7w,Jack,5,s9jmpl,38,33636,2,0,0,100,True,9
260269.515288062,13,4lx8q4r1wq7w,Jack,5,s9jmpl,22,36619,2,0,0,100,True,8
260269.522989903,13,4lx8q4r1wq7w,Jack,5,s9jmpl,12,36240,2,0,0,100,True,7
260269.530793691,13,4lx8q4r1wq7w,Jack,5,v6gf3g,76,27989,1,0,0,612,True,6
260269.553839999,13,4lx8q4r1wq7w,Jack,5,s9jmpl,65,20487,1,0,0,612,True,5
260269.561934238,13,4lx8q4r1wq7w,Jack,5,wjqcjw,93,44187,1,0,0,612,True,4
260269.569696736,13,4lx8q4r1wq7w,Jack,5,v6gf3g,49,33198,1,0,0,612,True,3
260269.577349642,13,4lx8q4r1wq7w,Jack,5,s9jmpl,92,12945,1,0,0,612,True,2
260269.586029953,13,4lx8q4r1wq7w,Jack,5,s9jmpl,15,30462,1,0,0,612,True,1
260269.593778751,13,4lx8q4r1wq7w,Jack,5,s9jmpl,79,63873,1,0,0,612,True,0
260276.753003878,13,4lx8q4r1wq7w,Jack,5,v6gf3g,81,62336,2,0,0,100,True,29
260276.764249588,13,4lx8q4r1wq7w,Jack,5,v6gf3g,16,9588,2,0,0,100,True,28
