t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260255.324284077,13,5pnaaukgbwss,Sandie,4,1xerd1,17,49739,1,0,612,0,True,7
260255.334606789,13,5pnaaukgbwss,Sandie,4,1xerd1,17,49739,2,100,0,0,True,7
260255.342236521,13,5pnaaukgbwss,Sandie,4,1xerd1,64,12041,1,0,612,0,True,6
260255.356625772,13,5pnaaukgbwss,Sandie,4,1xerd1,64,12041,2,100,0,0,True,6
260255.373317855,13,5pnaaukgbwss,Sandie,4,1xerd1,69,9271,1,0,612,0,True,5
260255.385309548,13,5pnaaukgbwss,Sandie,4,1xerd1,69,9271,2,100,0,0,True,5
260255.392851844,13,5pnaaukgbwss,Sandie,4,1xerd1,10,41664,1,0,612,0,True,4
260255.404057918,13,5pnaaukgbwss,Sandie,4,1xerd1,10,41664,2,100,0,0,True,4
260255.414830023,13,5pnaaukgbwss,Sandie,4,1xerd1,71,36974,1,0,612,0,True,3
260255.422702125,13,5pnaaukgbwss,Sandie,4,1xerd1,71,36974,2,100,0,0,True,3
260255.43371379,13,5pnaaukgbwss,Sandie,4,1xerd1,91,31348,1,0,612,0,True,2
260255.441355193,13,5pnaaukgbwss,Sandie,4,1xerd1,91,31348,2,100,0,0,True,2
260255.452255461,13,5pnaaukgbwss,Sandie,4,1xerd1,97,32843,1,0,612,0,True,1
260255.461949266,13,5pnaaukgbwss,Sandie,4,1xerd1,97,32843,2,100,0,0,True,1
260255.471121596,13,5pnaaukgbwss,Sandie,4,1xerd1,96,17444,1,0,612,0,True,0
260255.482016671,13,5pnaaukgbwss,Sandie,4,1xerd1,96,17444,2,100,0,0,True,0
260273.322164967,13,5pnaaukgbwss,Sandie,5,1xerd1,58,14778,1,0,612,0,True,3
260273.332550316,13,5pnaaukgbwss,Sandie,5,1xerd1,58,14778,2,100,0,0,True,3
260273.340319777,13,5pnaaukgbwss,Sandie,5,1xerd1,57,6884,1,0,612,0,True,2
260273.350080967,13,5pnaaukgbwss,Sandie,5,1xerd1,57,6884,2,100,0,0,True,2
260273.359474992,13,5pnaaukgbwss,Sandie,5,1xerd1,15,55005,1,0,612,0,True,1
260273.368204123,13,5pnaaukgbwss,Sandie,5,1xerd1,15,55005,2,100,0,0,True,1
260273.378996447,13,5pnaaukgbwss,Sandie,5,1xerd1,66,23918,1,0,612,0,True,0
260273.387467975,13,5pnaaukgbwss,Sandie,5,1xerd1,66,23918,2,100,0,0,True,0
260280.470615024,13,5pnaaukgbwss,Sandie,5,1xerd1,44,20585,1,0,612,0,True,0
260280.481711585,13,5pnaaukgbwss,Sandie,5,1xerd1,44,20585,2,100,0,0,True,0
260294.918430563,13,5pnaaukgbwss,Sandie,6,1xerd1,14,58937,1,0,612,0,True,3
260294.931454626,13,5pnaaukgbwss,Sandie,6,1xerd1,14,58937,2,100,0,0,True,3
260294.952797192,13,5pnaaukgbwss,Sandie,6,1xerd1,52,22890,1,0,612,0,True,2
260294.965994279,13,5pnaaukgbwss,Sandie,6,1xerd1,52,22890,2,100,0,0,True,2
260294.986232858,13,5pnaaukgbwss,Sandie,6,1xerd1,55,24373,1,0,612,0,True,1
260295.005106917,13,5pnaaukgbwss,Sandie,6,1xerd1,55,24373,2,100,0,0,True,1
260295.022581688,13,5pnaaukgbwss,Sandie,6,1xerd1,49,43378,1,0,612,0,True,0
260295.030217996,13,5pnaaukgbwss,Sandie,6,1xerd1,49,43378,2,100,0,0,True,0
260305.992300416,13,5pnaaukgbwss,Sandie,7,1xerd1,28,22095,1,0,612,0,True,3
260305.999977215,13,5pnaaukgbwss,Sandie,7,1xerd1,28,22095,2,100,0,0,True,3
260306.00756756,13,5pnaaukgbwss,Sandie,7,1xerd1,88,10559,1,0,612,0,True,2
260306.015294556,13,5pnaaukgbwss,Sandie,7,1xerd1,88,10559,2,100,0,0,True,2
