t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260242.569992883,13,7j7wlaj8mu1d,Brande,3,a6yrdk,9,54012,1,0,612,0,True,2
260242.577082173,13,7j7wlaj8mu1d,Brande,3,a6yrdk,9,54012,2,100,0,0,True,2
260242.584965886,13,7j7wlaj8mu1d,Brande,3,a6yrdk,12,35909,1,0,612,0,True,1
260242.59269764,13,7j7wlaj8mu1d,Brande,3,a6yrdk,12,35909,2,100,0,0,True,1
260242.60005297,13,7j7wlaj8mu1d,Brande,3,a6yrdk,54,37108,1,0,612,0,True,0
260242.607328827,13,7j7wlaj8mu1d,Brande,3,a6yrdk,54,37108,2,100,0,0,True,0
260245.695011651,13,7j7wlaj8mu1d,Brande,3,a6yrdk,11,58209,1,0,612,0,True,3
260245.703205837,13,7j7wlaj8mu1d,Brande,3,a6yrdk,11,58209,2,100,0,0,True,3
260245.711064455,13,7j7wlaj8mu1d,Brande,3,a6yrdk,87,2051,1,0,612,0,True,2
260245.721596753,13,7j7wlaj8mu1d,Brande,3,a6yrdk,87,2051,2,100,0,0,True,2
260245.730012247,13,7j7wlaj8mu1d,Brande,3,a6yrdk,95,49848,1,0,612,0,True,1
260245.73840184,13,7j7wlaj8mu1d,Brande,3,a6yrdk,95,49848,2,100,0,0,True,1
260245.746313147,13,7j7wlaj8mu1d,Brande,3,a6yrdk,21,60780,1,0,612,0,True,0
260245.754132569,13,7j7wlaj8mu1d,Brande,3,a6yrdk,21,60780,2,100,0,0,True,0
260249.802252315,13,7j7wlaj8mu1d,Brande,3,a6yrdk,22,19578,1,0,612,0,True,4
260249.810906798,13,7j7wlaj8mu1d,Brande,3,a6yrdk,22,19578,2,100,0,0,True,4
260249.822522039,13,7j7wlaj8mu1d,Brande,3,a6yrdk,26,55526,1,0,612,0,True,3
260249.830503196,13,7j7wlaj8mu1d,Brande,3,a6yrdk,26,55526,2,100,0,0,True,3
260249.842139339,13,7j7wlaj8mu1d,Brande,3,a6yrdk,64,287,1,0,612,0,True,2
260249.853478242,13,7j7wlaj8mu1d,Brande,3,a6yrdk,64,287,2,100,0,0,True,2
260249.861399721,13,7j7wlaj8mu1d,Brande,3,a6yrdk,43,38074,1,0,612,0,True,1
260249.872680063,13,7j7wlaj8mu1d,Brande,3,a6yrdk,43,38074,2,100,0,0,True,1
260249.880571534,13,7j7wlaj8mu1d,Brande,3,a6yrdk,93,47003,1,0,612,0,True,0
260249.891958692,13,7j7wlaj8mu1d,Brande,3,a6yrdk,93,47003,2,100,0,0,True,0
260255.491166536,13,7j7wlaj8mu1d,Brande,4,a6yrdk,56,25009,1,0,612,0,True,0
260255.501975833,13,7j7wlaj8mu1d,Brande,4,a6yrdk,56,25009,2,100,0,0,True,0
260275.326336344,13,7j7wlaj8mu1d,Brande,5,a6yrdk,79,48569,1,0,612,0,True,1
260275.334685613,13,7j7wlaj8mu1d,Brande,5,a6yrdk,79,48569,2,100,0,0,True,1
260275.3429096,13,7j7wlaj8mu1d,Brande,5,a6yrdk,88,8393,1,0,612,0,True,0
260275.351306588,13,7j7wlaj8mu1d,Brande,5,a6yrdk,88,8393,2,100,0,0,True,0
260303.341871095,13,7j7wlaj8mu1d,Brande,7,a6yrdk,90,8474,1,0,612,0,True,0
260303.350388548,13,7j7wlaj8mu1d,Brande,7,a6yrdk,90,8474,2,100,0,0,True,0
260341.593266863,13,7j7wlaj8mu1d,Brande,11,a6yrdk,66,53018,1,0,612,0,True,0
260341.601556164,13,7j7wlaj8mu1d,Brande,11,a6yrdk,66,53018,2,100,0,0,True,0
260349.018136811,13,7j7wlaj8mu1d,Brande,11,a6yrdk,85,43957,1,0,612,0,True,2
260349.026522382,13,7j7wlaj8mu1d,Brande,11,a6yrdk,85,43957,2,100,0,0,True,2
260349.034632418,13,7j7wlaj8mu1d,Brande,11,a6yrdk,77,47737,1,0,612,0,True,1
260349.04279597,13,7j7wlaj8mu1d,Brande,11,a6yrdk,77,47737,2,100,0,0,True,1
260349.050681246,13,7j7wlaj8mu1d,Brande,11,a6yrdk,29,7244,1,0,612,0,True,0
260349.058463632,13,7j7wlaj8mu1d,Brande,11,a6yrdk,29,7244,2,100,0,0,True,0
260369.295327707,13,7j7wlaj8mu1d,Brande,13,a6yrdk,8,39127,1,0,612,0,True,0
260369.303041093,13,7j7wlaj8mu1d,Brande,13,a6yrdk,8,39127,2,100,0,0,True,0
260372.020967148,13,7j7wlaj8mu1d,Brande,13,a6yrdk,25,9148,1,0,612,0,True,1
260372.029135316,13,7j7wlaj8mu1d,Brande,13,a6yrdk,25,9148,2,100,0,0,True,1
260372.036966753,13,7j7wlaj8mu1d,Brande,13,a6yrdk,32,60022,1,0,612,0,True,0
260372.044861596,13,7j7wlaj8mu1d,Brande,13,a6yrdk,32,60022,2,100,0,0,True,0
260374.274960589,13,7j7wlaj8mu1d,Brande,14,a6yrdk,58,41600,1,0,612,0,True,0
260374.2834632,13,7j7wlaj8mu1d,Brande,14,a6yrdk,58,41600,2,100,0,0,True,0
260393.746700582,13,7j7wlaj8mu1d,Brande,15,a6yrdk,74,26930,1,0,612,0,True,0
260393.755776756,13,7j7wlaj8mu1d,Brande,15,a6yrdk,74,26930,2,100,0,0,True,0
260399.316373412,13,7j7wlaj8mu1d,Brande,16,a6yrdk,6,12923,1,0,612,0,True,0
260399.325022535,13,7j7wlaj8mu1d,Brande,16,a6yrdk,6,12923,2,100,0,0,True,0
260401.302767937,13,7j7wlaj8mu1d,Brande,16,a6yrdk,73,61058,1,0,612,0,True,0
260401.312167632,13,7j7wlaj8mu1d,Brande,16,a6yrdk,73,61058,2,100,0,0,True,0
260412.406208144,13,7j7wlaj8mu1d,Brande,17,a6yrdk,50,45704,1,0,612,0,True,0
260412.414555067,13,7j7wlaj8mu1d,Brande,17,a6yrdk,50,45704,2,100,0,0,True,0
260414.988737103,13,7j7wlaj8mu1d,Brande,17,a6yrdk,82,10472,1,0,612,0,True,2
260414.996737831,13,7j7wlaj8mu1d,Brande,17,a6yrdk,82,10472,2,100,0,0,True,2
260415.004527933,13,7j7wlaj8mu1d,Brande,17,a6yrdk,39,44418,1,0,612,0,True,1
260415.01237849,13,7j7wlaj8mu1d,Brande,17,a6yrdk,39,44418,2,100,0,0,True,1
260415.020124777,13,7j7wlaj8mu1d,Brande,17,a6yrdk,84,20954,1,0,612,0,True,0
260415.027901854,13,7j7wlaj8mu1d,Brande,17,a6yrdk,84,20954,2,100,0,0,True,0
260417.407389821,13,7j7wlaj8mu1d,Brande,17,a6yrdk,7,14678,1,0,612,0,True,0
260417.415909687,13,7j7wlaj8mu1d,Brande,17,a6yrdk,7,14678,2,100,0,0,True,0
260421.169665222,13,7j7wlaj8mu1d,Brande,18,a6yrdk,71,39724,1,0,612,0,True,1
260421.178784044,13,7j7wlaj8mu1d,Brande,18,a6yrdk,71,39724,2,100,0,0,True,1
260421.189631173,13,7j7wlaj8mu1d,Brande,18,a6yrdk,13,27384,1,0,612,0,True,0
260421.197536785,13,7j7wlaj8mu1d,Brande,18,a6yrdk,13,27384,2,100,0,0,True,0
260421.898723352,13,7j7wlaj8mu1d,Brande,18,a6yrdk,16,43695,1,0,612,0,True,0
260421.907044224,13,7j7wlaj8mu1d,Brande,18,a6yrdk,16,43695,2,100,0,0,True,0
260430.324677885,13,7j7wlaj8mu1d,Brande,19,a6yrdk,75,62253,1,0,612,0,True,0
