t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260297.152401778,13,7zf59pnlk9rl,Nadia,6,s9jmpl,53,48343,2,0,100,0,True,0
260301.165011455,13,7zf59pnlk9rl,Nadia,7,s9jmpl,60,29895,2,0,100,0,True,0
260307.093326911,13,7zf59pnlk9rl,Nadia,7,s9jmpl,63,24103,2,0,100,0,True,2
260307.100794138,13,7zf59pnlk9rl,Nadia,7,s9jmpl,83,56559,2,0,100,0,True,1
260307.108223528,13,7zf59pnlk9rl,Nadia,7,s9jmpl,50,43873,2,0,100,0,True,0
260310.817558168,13,7zf59pnlk9rl,Nadia,8,s9jmpl,96,44464,2,0,100,0,True,2
260310.825019571,13,7zf59pnlk9rl,Nadia,8,s9jmpl,1,43680,2,0,100,0,True,1
260310.832484304,13,7zf59pnlk9rl,Nadia,8,s9jmpl,12,36240,2,0,100,0,True,0
260313.741000765,13,7zf59pnlk9rl,Nadia,8,s9jmpl,0,13413,2,0,100,0,True,0
260317.051474887,13,7zf59pnlk9rl,Nadia,8,s9jmpl,9,10883,2,0,100,0,True,3
260317.059061803,13,7zf59pnlk9rl,Nadia,8,s9jmpl,62,38191,2,0,100,0,True,2
260317.06798846,13,7zf59pnlk9rl,Nadia,8,s9jmpl,23,15560,2,0,100,0,True,1
260317.075514219,13,7zf59pnlk9rl,Nadia,8,s9jmpl,37,12432,2,0,100,0,True,0
260320.516059485,13,7zf59pnlk9rl,Nadia,8,s9jmpl,8,39540,2,0,100,0,True,0
260323.041154467,13,7zf59pnlk9rl,Nadia,9,s9jmpl,99,20035,2,0,100,0,True,4
260323.048707491,13,7zf59pnlk9rl,Nadia,9,s9jmpl,97,65142,2,0,100,0,True,3
260323.056166471,13,7zf59pnlk9rl,Nadia,9,s9jmpl,87,11520,2,0,100,0,True,2
260323.063864586,13,7zf59pnlk9rl,Nadia,9,s9jmpl,41,32966,2,0,100,0,True,1
260323.071374023,13,7zf59pnlk9rl,Nadia,9,s9jmpl,45,44371,2,0,100,0,True,0
260326.400053397,13,7zf59pnlk9rl,Nadia,9,s9jmpl,75,56164,2,0,100,0,True,12
260326.407078577,13,7zf59pnlk9rl,Nadia,9,s9jmpl,19,17881,2,0,100,0,True,11
260326.418936488,13,7zf59pnlk9rl,Nadia,9,s9jmpl,0,30926,2,0,100,0,True,10
260326.430035323,13,7zf59pnlk9rl,Nadia,9,s9jmpl,48,51193,2,0,100,0,True,9
260326.437823065,13,7zf59pnlk9rl,Nadia,9,s9jmpl,91,3034,2,0,100,0,True,8
260326.447188187,13,7zf59pnlk9rl,Nadia,9,s9jmpl,86,39737,2,0,100,0,True,7
260326.454960041,13,7zf59pnlk9rl,Nadia,9,s9jmpl,55,33230,2,0,100,0,True,6
260326.462572479,13,7zf59pnlk9rl,Nadia,9,s9jmpl,4,7649,2,0,100,0,True,5
260326.470422545,13,7zf59pnlk9rl,Nadia,9,s9jmpl,70,56881,2,0,100,0,True,4
260326.47834397,13,7zf59pnlk9rl,Nadia,9,s9jmpl,92,12945,2,0,100,0,True,3
260326.485882868,13,7zf59pnlk9rl,Nadia,9,s9jmpl,40,46335,2,0,100,0,True,2
260326.493390188,13,7zf59pnlk9rl,Nadia,9,s9jmpl,52,9563,2,0,100,0,True,1
260326.500950978,13,7zf59pnlk9rl,Nadia,9,s9jmpl,42,27382,2,0,100,0,True,0
260329.270519152,13,7zf59pnlk9rl,Nadia,9,s9jmpl,22,36619,2,0,100,0,True,19
260329.278303783,13,7zf59pnlk9rl,Nadia,9,s9jmpl,91,65008,2,0,100,0,True,18
260329.285501158,13,7zf59pnlk9rl,Nadia,9,s9jmpl,27,7681,2,0,100,0,True,17
260329.294847617,13,7zf59pnlk9rl,Nadia,9,s9jmpl,47,58624,2,0,100,0,True,16
260329.302432211,13,7zf59pnlk9rl,Nadia,9,s9jmpl,90,20038,2,0,100,0,True,15
260329.309791308,13,7zf59pnlk9rl,Nadia,9,s9jmpl,30,53218,2,0,100,0,True,14
260329.317160222,13,7zf59pnlk9rl,Nadia,9,s9jmpl,65,20487,2,0,100,0,True,13
260329.326873078,13,7zf59pnlk9rl,Nadia,9,s9jmpl,79,63873,2,0,100,0,True,12
260329.334507006,13,7zf59pnlk9rl,Nadia,9,s9jmpl,59,31225,2,0,100,0,True,11
260329.342958115,13,7zf59pnlk9rl,Nadia,9,s9jmpl,57,45352,2,0,100,0,True,10
260329.350384016,13,7zf59pnlk9rl,Nadia,9,s9jmpl,49,30484,2,0,100,0,True,9
260329.361113726,13,7zf59pnlk9rl,Nadia,9,s9jmpl,89,18234,2,0,100,0,True,8
