t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260214.007111998,13,bv8t899ckcvu,Nadia,0,s9jmpl,39,20501,1,612,0,0,True,0
260214.097794554,13,bv8t899ckcvu,Nadia,0,s9jmpl,95,57816,1,612,0,0,True,0
260214.188340345,13,bv8t899ckcvu,Nadia,0,s9jmpl,41,32966,1,612,0,0,True,0
260214.284935176,13,bv8t899ckcvu,Nadia,0,s9jmpl,44,19590,1,612,0,0,True,0
260214.38055722,13,bv8t899ckcvu,Nadia,0,s9jmpl,11,42377,1,612,0,0,True,0
260214.471894429,13,bv8t899ckcvu,Nadia,0,s9jmpl,82,52536,1,612,0,0,True,0
260214.562954987,13,bv8t899ckcvu,Nadia,0,s9jmpl,17,62447,1,612,0,0,True,0
260214.645751693,13,bv8t899ckcvu,Nadia,0,s9jmpl,35,65021,1,612,0,0,True,0
260214.735607161,13,bv8t899ckcvu,Nadia,0,s9jmpl,85,542,1,612,0,0,True,0
260214.819126844,13,bv8t899ckcvu,Nadia,0,s9jmpl,53,48343,1,612,0,0,True,0
260214.899175322,13,bv8t899ckcvu,Nadia,0,s9jmpl,1,43680,1,612,0,0,True,0
260214.979686904,13,bv8t899ckcvu,Nadia,0,s9jmpl,36,40715,1,612,0,0,True,0
260215.068421649,13,bv8t899ckcvu,Nadia,0,s9jmpl,8,39540,1,612,0,0,True,0
260215.148781842,13,bv8t899ckcvu,Nadia,0,s9jmpl,76,23299,1,612,0,0,True,0
260215.23256102,13,bv8t899ckcvu,Nadia,0,s9jmpl,32,20766,1,612,0,0,True,0
260215.315595685,13,bv8t899ckcvu,Nadia,0,s9jmpl,22,36619,1,612,0,0,True,0
260215.406404101,13,bv8t899ckcvu,Nadia,0,s9jmpl,78,42517,1,612,0,0,True,0
260215.491820455,13,bv8t899ckcvu,Nadia,0,s9jmpl,68,40196,1,612,0,0,True,0
260215.574868345,13,bv8t899ckcvu,Nadia,0,s9jmpl,37,12432,1,612,0,0,True,0
260215.658460667,13,bv8t899ckcvu,Nadia,0,s9jmpl,99,18337,1,612,0,0,True,0
260215.746807478,13,bv8t899ckcvu,Nadia,0,s9jmpl,94,36443,1,612,0,0,True,0
260215.827574778,13,bv8t899ckcvu,Nadia,0,s9jmpl,16,59370,1,612,0,0,True,0
260215.911589246,13,bv8t899ckcvu,Nadia,0,s9jmpl,9,10883,1,612,0,0,True,0
260215.995483911,13,bv8t899ckcvu,Nadia,0,s9jmpl,60,29895,1,612,0,0,True,0
260216.085485258,13,bv8t899ckcvu,Nadia,0,s9jmpl,28,5851,1,612,0,0,True,0
260216.165431784,13,bv8t899ckcvu,Nadia,0,s9jmpl,62,38191,1,612,0,0,True,0
260216.247891231,13,bv8t899ckcvu,Nadia,0,s9jmpl,77,6926,1,612,0,0,True,0
260216.329776997,13,bv8t899ckcvu,Nadia,0,s9jmpl,54,878,1,612,0,0,True,0
260216.418393148,13,bv8t899ckcvu,Nadia,0,s9jmpl,96,44464,1,612,0,0,True,0
260216.500118929,13,bv8t899ckcvu,Nadia,0,s9jmpl,58,56382,1,612,0,0,True,0
260216.583440791,13,bv8t899ckcvu,Nadia,0,s9jmpl,46,47997,1,612,0,0,True,0
260216.66805653,13,bv8t899ckcvu,Nadia,0,s9jmpl,12,36240,1,612,0,0,True,0
260216.885284882,13,bv8t899ckcvu,Nadia,0,s9jmpl,25,52733,1,612,0,0,True,0
260217.005524042,13,bv8t899ckcvu,Nadia,0,s9jmpl,23,15560,1,612,0,0,True,0
260217.13197128,13,bv8t899ckcvu,Nadia,0,s9jmpl,64,29103,1,612,0,0,True,0
260217.231389981,13,bv8t899ckcvu,Nadia,0,s9jmpl,0,13413,1,612,0,0,True,0
260217.345098574,13,bv8t899ckcvu,Nadia,0,s9jmpl,47,61057,1,612,0,0,True,0
260217.42600822,13,bv8t899ckcvu,Nadia,0,s9jmpl,73,14650,1,612,0,0,True,0
260217.510304889,13,bv8t899ckcvu,Nadia,0,s9jmpl,45,44371,1,612,0,0,True,0
260217.592608447,13,bv8t899ckcvu,Nadia,0,s9jmpl,24,46931,1,612,0,0,True,0
260217.781978411,13,bv8t899ckcvu,Nadia,0,s9jmpl,21,9419,1,612,0,0,True,0
260217.863943719,13,bv8t899ckcvu,Nadia,0,s9jmpl,66,38343,1,612,0,0,True,0
260217.948577678,13,bv8t899ckcvu,Nadia,0,s9jmpl,63,24103,1,612,0,0,True,0
260218.029550408,13,bv8t899ckcvu,Nadia,0,s9jmpl,83,56559,1,612,0,0,True,0
260218.449886164,13,bv8t899ckcvu,Nadia,1,s9jmpl,55,33230,1,612,0,0,True,0
260218.520591033,13,bv8t899ckcvu,Nadia,1,s9jmpl,50,43873,1,612,0,0,True,0
260218.585346746,13,bv8t899ckcvu,Nadia,1,s9jmpl,19,17881,1,612,0,0,True,0
