t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260303.040882226,13,ce00u03x3j9r,Consuelo,7,1xerd1,82,25681,2,0,100,0,True,0
260306.838754385,13,ce00u03x3j9r,Consuelo,7,1xerd1,59,38216,2,0,100,0,True,0
260318.469124912,13,ce00u03x3j9r,Consuelo,9,1xerd1,23,36737,2,0,100,0,True,1
260318.479253087,13,ce00u03x3j9r,Consuelo,9,1xerd1,48,4280,2,0,100,0,True,0
260327.020158545,13,ce00u03x3j9r,Consuelo,9,1xerd1,29,26154,2,0,100,0,True,1
260327.030677387,13,ce00u03x3j9r,Consuelo,9,1xerd1,96,5597,2,0,100,0,True,0
260330.110728259,13,ce00u03x3j9r,Consuelo,9,1xerd1,46,25666,2,0,100,0,True,3
260330.118258222,13,ce00u03x3j9r,Consuelo,9,1xerd1,21,7009,2,0,100,0,True,2
260330.125888328,13,ce00u03x3j9r,Consuelo,9,1xerd1,98,45223,2,0,100,0,True,1
260330.133846734,13,ce00u03x3j9r,Consuelo,9,1xerd1,48,35299,2,0,100,0,True,0
260332.957930452,13,ce00u03x3j9r,Consuelo,10,1xerd1,38,32945,2,0,100,0,True,0
260337.983058393,13,ce00u03x3j9r,Consuelo,10,1xerd1,55,24373,2,0,100,0,True,2
260337.990646486,13,ce00u03x3j9r,Consuelo,10,1xerd1,93,50527,2,0,100,0,True,1
260337.998071811,13,ce00u03x3j9r,Consuelo,10,1xerd1,1,11249,2,0,100,0,True,0
260340.245161323,13,ce00u03x3j9r,Consuelo,10,1xerd1,31,37245,2,0,100,0,True,0
260342.995983289,13,ce00u03x3j9r,Consuelo,11,1xerd1,68,50285,2,0,100,0,True,2
260343.003096916,13,ce00u03x3j9r,Consuelo,11,1xerd1,80,3675,2,0,100,0,True,1
260343.010867517,13,ce00u03x3j9r,Consuelo,11,1xerd1,30,27955,2,0,100,0,True,0
260344.837048796,13,ce00u03x3j9r,Consuelo,11,1xerd1,29,62965,2,0,100,0,True,0
260350.31670249,13,ce00u03x3j9r,Consuelo,11,1xerd1,45,13017,2,0,100,0,True,1
260350.325083915,13,ce00u03x3j9r,Consuelo,11,1xerd1,89,35110,2,0,100,0,True,0
260359.381657817,13,ce00u03x3j9r,Consuelo,12,1xerd1,95,42949,2,0,100,0,True,5
260359.389622428,13,ce00u03x3j9r,Consuelo,12,1xerd1,44,33854,2,0,100,0,True,4
260359.397494678,13,ce00u03x3j9r,Consuelo,12,1xerd1,76,47420,2,0,100,0,True,3
260359.405584213,13,ce00u03x3j9r,Consuelo,12,1xerd1,27,8409,2,0,100,0,True,2
260359.413235836,13,ce00u03x3j9r,Consuelo,12,1xerd1,25,42004,2,0,100,0,True,1
260359.42082701,13,ce00u03x3j9r,Consuelo,12,1xerd1,39,42111,2,0,100,0,True,0
260361.703250948,13,ce00u03x3j9r,Consuelo,12,1xerd1,83,60794,2,0,100,0,True,0
260378.551155629,13,ce00u03x3j9r,Consuelo,14,1xerd1,53,22148,2,0,100,0,True,0
260382.026241965,13,ce00u03x3j9r,Consuelo,14,1xerd1,14,43078,2,0,100,0,True,0
260388.209667815,13,ce00u03x3j9r,Consuelo,15,1xerd1,23,53658,2,0,100,0,True,0
260390.206053931,13,ce00u03x3j9r,Consuelo,15,1xerd1,50,43214,2,0,100,0,True,0
260393.155628941,13,ce00u03x3j9r,Consuelo,15,1xerd1,55,43327,2,0,100,0,True,0
260398.720760918,13,ce00u03x3j9r,Consuelo,16,1xerd1,74,45480,2,0,100,0,True,2
260398.731012738,13,ce00u03x3j9r,Consuelo,16,1xerd1,28,26198,2,0,100,0,True,1
260398.739372077,13,ce00u03x3j9r,Consuelo,16,1xerd1,52,45886,2,0,100,0,True,0
260400.002712363,13,ce00u03x3j9r,Consuelo,16,1xerd1,66,60337,2,0,100,0,True,4
260400.01051932,13,ce00u03x3j9r,Consuelo,16,1xerd1,60,55552,2,0,100,0,True,3
260400.01820223,13,ce00u03x3j9r,Consuelo,16,1xerd1,1,2634,2,0,100,0,True,2
260400.026063359,13,ce00u03x3j9r,Consuelo,16,1xerd1,9,18226,2,0,100,0,True,1
260400.033702699,13,ce00u03x3j9r,Consuelo,16,1xerd1,9,42322,2,0,100,0,True,0
260405.10624208,13,ce00u03x3j9r,Consuelo,16,1xerd1,69,61854,2,0,100,0,True,2
260405.113868555,13,ce00u03x3j9r,Consuelo,16,1xerd1,45,54198,2,0,100,0,True,1
260405.123175778,13,ce00u03x3j9r,Consuelo,16,1xerd1,44,61042,2,0,100,0,True,0
260409.978403025,13,ce00u03x3j9r,Consuelo,17,1xerd1,69,1570,2,0,100,0,True,0
260411.459483676,13,ce00u03x3j9r,Consuelo,17,1xerd1,61,36988,2,0,100,0,True,4
260411.467245651,13,ce00u03x3j9r,Consuelo,17,1xerd1,28,11585,2,0,100,0,True,3
260411.474922202,13,ce00u03x3j9r,Consuelo,17,1xerd1,60,42826,2,0,100,0,True,2
260411.48264772,13,ce00u03x3j9r,Consuelo,17,1xerd1,10,54776,2,0,100,0,True,1
260411.490329966,13,ce00u03x3j9r,Consuelo,17,1xerd1,66,22291,2,0,100,0,True,0
260415.676733782,13,ce00u03x3j9r,Consuelo,17,1xerd1,10,47243,2,0,100,0,True,1
260415.684206296,13,ce00u03x3j9r,Consuelo,17,1xerd1,87,11203,2,0,100,0,True,0
260438.009096059,13,ce00u03x3j9r,Consuelo,19,1xerd1,10,61081,2,0,100,0,True,0
260439.775572283,13,ce00u03x3j9r,Consuelo,19,1xerd1,10,9554,2,0,100,0,True,0
260440.773699978,13,ce00u03x3j9r,Consuelo,20,1xerd1,10,58933,2,0,100,0,True,0
260442.853705896,13,ce00u03x3j9r,Consuelo,20,1xerd1,10,13436,2,0,100,0,True,0
260445.605151897,13,ce00u03x3j9r,Consuelo,20,1xerd1,10,30995,2,0,100,0,True,0
260452.172477287,13,ce00u03x3j9r,Consuelo,21,1xerd1,10,28909,2,0,100,0,True,1
260452.180033795,13,ce00u03x3j9r,Consuelo,21,1xerd1,10,36195,2,0,100,0,True,0
260452.794478092,13,ce00u03x3j9r,Consuelo,21,1xerd1,69,57321,2,0,100,0,True,2
260452.802055427,13,ce00u03x3j9r,Consuelo,21,1xerd1,10,58284,2,0,100,0,True,1
260452.809498322,13,ce00u03x3j9r,Consuelo,21,1xerd1,10,47101,2,0,100,0,True,0
260458.735522655,13,ce00u03x3j9r,Consuelo,21,1xerd1,10,2001,2,0,100,0,True,0
260461.139139878,13,ce00u03x3j9r,Consuelo,21,1xerd1,10,54909,2,0,100,0,True,0
