t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260214.037523307,13,cwcedceysd35,Vickey,0,my2elp,26,11863,1,612,0,0,True,0
260214.12568031,13,cwcedceysd35,Vickey,0,my2elp,87,27362,1,612,0,0,True,0
260214.221776757,13,cwcedceysd35,Vickey,0,my2elp,69,32227,1,612,0,0,True,0
260214.312510909,13,cwcedceysd35,Vickey,0,my2elp,40,2491,1,612,0,0,True,0
260214.411986729,13,cwcedceysd35,Vickey,0,my2elp,50,40871,1,612,0,0,True,0
260214.499595173,13,cwcedceysd35,Vickey,0,my2elp,63,15086,1,612,0,0,True,0
260214.589410664,13,cwcedceysd35,Vickey,0,my2elp,79,21684,1,612,0,0,True,0
260214.670849382,13,cwcedceysd35,Vickey,0,my2elp,53,49433,1,612,0,0,True,0
260214.761321833,13,cwcedceysd35,Vickey,0,my2elp,44,18896,1,612,0,0,True,0
260214.84494329,13,cwcedceysd35,Vickey,0,my2elp,20,19012,1,612,0,0,True,0
260214.924053309,13,cwcedceysd35,Vickey,0,my2elp,7,6103,1,612,0,0,True,0
260215.00454622,13,cwcedceysd35,Vickey,0,my2elp,41,18965,1,612,0,0,True,0
260215.093750041,13,cwcedceysd35,Vickey,0,my2elp,74,53358,1,612,0,0,True,0
260215.176298399,13,cwcedceysd35,Vickey,0,my2elp,70,38965,1,612,0,0,True,0
260215.257209216,13,cwcedceysd35,Vickey,0,my2elp,32,25537,1,612,0,0,True,0
260215.341105814,13,cwcedceysd35,Vickey,0,my2elp,81,52482,1,612,0,0,True,0
260215.433110515,13,cwcedceysd35,Vickey,0,my2elp,56,10160,1,612,0,0,True,0
260215.51832604,13,cwcedceysd35,Vickey,0,my2elp,22,20486,1,612,0,0,True,0
260215.59945727,13,cwcedceysd35,Vickey,0,my2elp,8,32546,1,612,0,0,True,0
260215.68306055,13,cwcedceysd35,Vickey,0,my2elp,55,53372,1,612,0,0,True,0
260215.77172933,13,cwcedceysd35,Vickey,0,my2elp,3,11100,1,612,0,0,True,0
260215.855774897,13,cwcedceysd35,Vickey,0,my2elp,83,42285,1,612,0,0,True,0
260215.937844299,13,cwcedceysd35,Vickey,0,my2elp,68,39373,1,612,0,0,True,0
260216.021580488,13,cwcedceysd35,Vickey,0,my2elp,71,58402,1,612,0,0,True,0
260216.110573246,13,cwcedceysd35,Vickey,0,my2elp,84,48180,1,612,0,0,True,0
260216.190292859,13,cwcedceysd35,Vickey,0,my2elp,4,38162,1,612,0,0,True,0
260216.272907886,13,cwcedceysd35,Vickey,0,my2elp,88,14645,1,612,0,0,True,0
260216.354493741,13,cwcedceysd35,Vickey,0,my2elp,72,56718,1,612,0,0,True,0
260216.444512889,13,cwcedceysd35,Vickey,0,my2elp,6,61795,1,612,0,0,True,0
260216.527910519,13,cwcedceysd35,Vickey,0,my2elp,62,29052,1,612,0,0,True,0
260216.60841861,13,cwcedceysd35,Vickey,0,my2elp,52,35509,1,612,0,0,True,0
260216.728878722,13,cwcedceysd35,Vickey,0,my2elp,35,61405,1,612,0,0,True,0
260216.917932752,13,cwcedceysd35,Vickey,0,my2elp,58,32308,1,612,0,0,True,0
260217.055072607,13,cwcedceysd35,Vickey,0,my2elp,1,25534,1,612,0,0,True,0
260217.160136849,13,cwcedceysd35,Vickey,0,my2elp,45,45981,1,612,0,0,True,0
260217.265359327,13,cwcedceysd35,Vickey,0,my2elp,59,39191,1,612,0,0,True,0
260217.370409769,13,cwcedceysd35,Vickey,0,my2elp,75,60428,1,612,0,0,True,0
260217.454845673,13,cwcedceysd35,Vickey,0,my2elp,42,14127,1,612,0,0,True,0
260217.535338721,13,cwcedceysd35,Vickey,0,my2elp,48,33185,1,612,0,0,True,0
260217.618329569,13,cwcedceysd35,Vickey,0,my2elp,98,17188,1,612,0,0,True,0
260217.807473445,13,cwcedceysd35,Vickey,0,my2elp,24,48340,1,612,0,0,True,0
260217.890505881,13,cwcedceysd35,Vickey,0,my2elp,57,9792,1,612,0,0,True,0
260217.973496933,13,cwcedceysd35,Vickey,0,my2elp,25,42621,1,612,0,0,True,0
260218.055041294,13,cwcedceysd35,Vickey,0,my2elp,46,58449,1,612,0,0,True,0
260218.475185015,13,cwcedceysd35,Vickey,0,my2elp,31,61124,1,612,0,0,True,0
260218.545227101,13,cwcedceysd35,Vickey,0,my2elp,51,43691,1,612,0,0,True,0
260218.611075173,13,cwcedceysd35,Vickey,0,my2elp,39,7337,1,612,0,0,True,0
260218.679581948,13,cwcedceysd35,Vickey,0,my2elp,34,28221,1,612,0,0,True,0
260219.257475979,13,cwcedceysd35,Vickey,0,my2elp,17,47713,1,612,0,0,True,0
260219.315975081,13,cwcedceysd35,Vickey,0,my2elp,33,5813,1,612,0,0,True,0
260219.37558156,13,cwcedceysd35,Vickey,0,my2elp,64,37281,1,612,0,0,True,0
