t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260236.432850666,13,d2e8yk2lrb0w,Jayne,2,wjqcjw,88,55988,1,0,0,612,True,3
260236.439386951,13,d2e8yk2lrb0w,Jayne,2,gc12nw,17,59574,1,0,0,612,True,2
260236.44865875,13,d2e8yk2lrb0w,Jayne,2,wjqcjw,71,19389,1,0,0,612,True,1
260236.457026107,13,d2e8yk2lrb0w,Jayne,2,wjqcjw,16,2446,1,0,0,612,True,0
260237.683154858,13,d2e8yk2lrb0w,Jayne,2,wjqcjw,97,39861,1,0,0,612,True,1
260237.690232618,13,d2e8yk2lrb0w,Jayne,2,wjqcjw,60,10529,1,0,0,612,True,0
260240.687914757,13,d2e8yk2lrb0w,Jayne,2,wjqcjw,26,44511,1,0,0,612,True,5
260240.696375972,13,d2e8yk2lrb0w,Jayne,2,wjqcjw,11,22698,1,0,0,612,True,4
260240.709567393,13,d2e8yk2lrb0w,Jayne,2,gc12nw,94,22637,1,0,0,612,True,3
260240.716948935,13,d2e8yk2lrb0w,Jayne,2,wjqcjw,70,30810,1,0,0,612,True,2
260240.725611307,13,d2e8yk2lrb0w,Jayne,2,wjqcjw,40,54975,1,0,0,612,True,1
260240.733039564,13,d2e8yk2lrb0w,Jayne,2,wjqcjw,35,35856,1,0,0,612,True,0
260252.167153617,13,d2e8yk2lrb0w,Jayne,3,gc12nw,47,58180,2,0,0,100,True,0
260257.849226519,13,d2e8yk2lrb0w,Jayne,4,gc12nw,74,35364,1,0,0,612,True,6
260257.857119474,13,d2e8yk2lrb0w,Jayne,4,gc12nw,92,417,1,0,0,612,True,5
260257.864869234,13,d2e8yk2lrb0w,Jayne,4,gc12nw,30,27886,1,0,0,612,True,4
260257.872730838,13,d2e8yk2lrb0w,Jayne,4,gc12nw,7,59297,1,0,0,612,True,3
260257.880939045,13,d2e8yk2lrb0w,Jayne,4,gc12nw,95,3052,2,0,0,100,True,2
260257.8889741,13,d2e8yk2lrb0w,Jayne,4,gc12nw,34,20100,2,0,0,100,True,1
260257.897046687,13,d2e8yk2lrb0w,Jayne,4,gc12nw,40,5044,2,0,0,100,True,0
260263.983448921,13,d2e8yk2lrb0w,Jayne,4,gc12nw,18,39984,1,0,0,612,True,0
260271.645561874,13,d2e8yk2lrb0w,Jayne,5,wjqcjw,68,52241,2,0,0,100,True,4
260271.653320293,13,d2e8yk2lrb0w,Jayne,5,gc12nw,86,33932,1,0,0,612,True,3
260271.661291427,13,d2e8yk2lrb0w,Jayne,5,gc12nw,82,25270,1,0,0,612,True,2
260271.669133602,13,d2e8yk2lrb0w,Jayne,5,wjqcjw,19,33845,1,0,0,612,True,1
260271.685650162,13,d2e8yk2lrb0w,Jayne,5,gc12nw,32,42008,1,0,0,612,True,0
260278.835803376,13,d2e8yk2lrb0w,Jayne,5,gc12nw,17,59574,2,0,0,100,True,8
260278.865884326,13,d2e8yk2lrb0w,Jayne,5,gc12nw,99,37169,2,0,0,100,True,7
260278.874637702,13,d2e8yk2lrb0w,Jayne,5,gc12nw,3,23129,1,0,0,612,True,6
260278.884398049,13,d2e8yk2lrb0w,Jayne,5,gc12nw,49,51555,1,0,0,612,True,5
260278.892326505,13,d2e8yk2lrb0w,Jayne,5,gc12nw,11,37382,1,0,0,612,True,4
260278.903809981,13,d2e8yk2lrb0w,Jayne,5,wjqcjw,53,15954,1,0,0,612,True,3
260278.912217265,13,d2e8yk2lrb0w,Jayne,5,wjqcjw,94,28368,1,0,0,612,True,2
260278.920089054,13,d2e8yk2lrb0w,Jayne,5,wjqcjw,45,33465,1,0,0,612,True,1
260278.929311804,13,d2e8yk2lrb0w,Jayne,5,gc12nw,97,57527,1,0,0,612,True,0
260286.205072036,13,d2e8yk2lrb0w,Jayne,6,gc12nw,7,59297,2,0,0,100,True,1
260286.228523303,13,d2e8yk2lrb0w,Jayne,6,wjqcjw,84,28400,1,0,0,612,True,0
260292.882697529,13,d2e8yk2lrb0w,Jayne,6,gc12nw,92,417,2,0,0,100,True,4
260292.898315978,13,d2e8yk2lrb0w,Jayne,6,gc12nw,12,17669,2,0,0,100,True,3
260292.910216451,13,d2e8yk2lrb0w,Jayne,6,wjqcjw,44,48696,1,0,0,612,True,2
260292.918605317,13,d2e8yk2lrb0w,Jayne,6,gc12nw,84,24387,1,0,0,612,True,1
260292.927958779,13,d2e8yk2lrb0w,Jayne,6,wjqcjw,78,24163,1,0,0,612,True,0
260302.632934294,13,d2e8yk2lrb0w,Jayne,7,wjqcjw,19,33845,2,0,0,100,True,1
260302.640262546,13,d2e8yk2lrb0w,Jayne,7,gc12nw,72,12076,2,0,0,100,True,0
260304.843753291,13,d2e8yk2lrb0w,Jayne,7,wjqcjw,30,3025,1,0,0,612,True,3
260304.851526212,13,d2e8yk2lrb0w,Jayne,7,wjqcjw,80,55398,2,0,0,100,True,2
260304.859271826,13,d2e8yk2lrb0w,Jayne,7,wjqcjw,38,38395,2,0,0,100,True,1
260304.86766452,13,d2e8yk2lrb0w,Jayne,7,gc12nw,88,54300,2,0,0,100,True,0
260309.254723616,13,d2e8yk2lrb0w,Jayne,7,wjqcjw,14,10688,2,0,0,100,True,2
260309.262470929,13,d2e8yk2lrb0w,Jayne,7,gc12nw,70,53697,1,0,0,612,True,1
260309.270405032,13,d2e8yk2lrb0w,Jayne,7,wjqcjw,59,9979,1,0,0,612,True,0
260316.076401519,13,d2e8yk2lrb0w,Jayne,8,wjqcjw,84,28400,2,0,0,100,True,0
260319.614478543,13,d2e8yk2lrb0w,Jayne,8,gc12nw,84,24387,2,0,0,100,True,7
260319.622191271,13,d2e8yk2lrb0w,Jayne,8,gc12nw,69,20655,2,0,0,100,True,6
260319.629923936,13,d2e8yk2lrb0w,Jayne,8,gc12nw,79,47036,2,0,0,100,True,5
260319.637493137,13,d2e8yk2lrb0w,Jayne,8,gc12nw,83,55563,2,0,0,100,True,4
260319.644978084,13,d2e8yk2lrb0w,Jayne,8,wjqcjw,78,24163,2,0,0,100,True,3
260319.65264632,13,d2e8yk2lrb0w,Jayne,8,wjqcjw,47,48998,2,0,0,100,True,2
260319.662269477,13,d2e8yk2lrb0w,Jayne,8,gc12nw,2,24211,2,0,0,100,True,1
260319.669903539,13,d2e8yk2lrb0w,Jayne,8,gc12nw,8,34883,1,0,0,612,True,0
260322.01369998,13,d2e8yk2lrb0w,Jayne,8,wjqcjw,79,30525,1,0,0,612,True,8
260322.021569515,13,d2e8yk2lrb0w,Jayne,8,gc12nw,44,3127,1,0,0,612,True,7
260322.029482213,13,d2e8yk2lrb0w,Jayne,8,gc12nw,77,43652,1,0,0,612,True,6
260322.037126398,13,d2e8yk2lrb0w,Jayne,8,gc12nw,98,35661,2,0,0,100,True,5
260322.044769306,13,d2e8yk2lrb0w,Jayne,8,gc12nw,3,23129,2,0,0,100,True,4
260322.052402723,13,d2e8yk2lrb0w,Jayne,8,gc12nw,97,57527,2,0,0,100,True,3
260322.060072398,13,d2e8yk2lrb0w,Jayne,8,gc12nw,93,41959,2,0,0,100,True,2
260322.067941494,13,d2e8yk2lrb0w,Jayne,8,gc12nw,75,28515,2,0,0,100,True,1
260322.075903879,13,d2e8yk2lrb0w,Jayne,8,gc12nw,64,31679,1,0,0,612,True,0
260325.668919023,13,d2e8yk2lrb0w,Jayne,9,wjqcjw,44,48696,2,0,0,100,True,0
260328.514371535,13,d2e8yk2lrb0w,Jayne,9,gc12nw,59,14097,2,0,0,100,True,4
260328.521955478,13,d2e8yk2lrb0w,Jayne,9,wjqcjw,30,3025,2,0,0,100,True,3
260328.529574406,13,d2e8yk2lrb0w,Jayne,9,wjqcjw,0,3901,2,0,0,100,True,2
260328.537099581,13,d2e8yk2lrb0w,Jayne,9,wjqcjw,59,9979,2,0,0,100,True,1
260328.545380127,13,d2e8yk2lrb0w,Jayne,9,gc12nw,70,53697,2,0,0,100,True,0
260331.521572713,13,d2e8yk2lrb0w,Jayne,9,gc12nw,41,32617,1,0,0,612,True,1
260331.529318199,13,d2e8yk2lrb0w,Jayne,9,gc12nw,29,5881,1,0,0,612,True,0
260333.917056645,13,d2e8yk2lrb0w,Jayne,9,wjqcjw,46,39555,1,0,0,612,True,0
260335.738014377,13,d2e8yk2lrb0w,Jayne,10,gc12nw,38,26272,2,0,0,100,True,0
260337.410621451,13,d2e8yk2lrb0w,Jayne,10,gc12nw,73,20055,2,0,0,100,True,1
260337.418147495,13,d2e8yk2lrb0w,Jayne,10,gc12nw,77,43652,2,0,0,100,True,0
260339.621186834,13,d2e8yk2lrb0w,Jayne,10,gc12nw,97,59700,1,0,0,612,True,2
260339.628778307,13,d2e8yk2lrb0w,Jayne,10,gc12nw,92,15665,1,0,0,612,True,1
260339.636451459,13,d2e8yk2lrb0w,Jayne,10,gc12nw,94,37479,1,0,0,612,True,0
260342.007459071,13,d2e8yk2lrb0w,Jayne,10,gc12nw,93,65145,1,0,0,612,True,4
260342.014977867,13,d2e8yk2lrb0w,Jayne,10,gc12nw,45,31064,1,0,0,612,True,3
260342.022350176,13,d2e8yk2lrb0w,Jayne,10,gc12nw,96,30344,1,0,0,612,True,2
260342.029807536,13,d2e8yk2lrb0w,Jayne,10,wjqcjw,44,62184,1,0,0,612,True,1
260342.037608854,13,d2e8yk2lrb0w,Jayne,10,wjqcjw,89,25690,1,0,0,612,True,0
260346.729986236,13,d2e8yk2lrb0w,Jayne,11,wjqcjw,49,32084,2,0,0,100,True,2
260346.737717484,13,d2e8yk2lrb0w,Jayne,11,gc12nw,49,29183,2,0,0,100,True,1
260346.745308432,13,d2e8yk2lrb0w,Jayne,11,gc12nw,70,18262,2,0,0,100,True,0
260347.923692524,13,d2e8yk2lrb0w,Jayne,11,wjqcjw,53,6376,1,0,0,612,True,0
260349.655394395,13,d2e8yk2lrb0w,Jayne,11,gc12nw,37,62473,1,0,0,612,True,0
260352.386077158,13,d2e8yk2lrb0w,Jayne,11,gc12nw,92,15665,2,0,0,100,True,1
260352.393841554,13,d2e8yk2lrb0w,Jayne,11,gc12nw,97,59700,2,0,0,100,True,0
260354.013057347,13,d2e8yk2lrb0w,Jayne,11,gc12nw,93,65145,2,0,0,100,True,1
260354.025841943,13,d2e8yk2lrb0w,Jayne,11,wjqcjw,88,26038,2,0,0,100,True,0
260356.758771244,13,d2e8yk2lrb0w,Jayne,12,gc12nw,99,22149,2,0,0,100,True,0
260358.809471793,13,d2e8yk2lrb0w,Jayne,12,gc12nw,98,51815,1,0,0,612,True,2
260358.817202332,13,d2e8yk2lrb0w,Jayne,12,wjqcjw,32,59171,1,0,0,612,True,1
260358.824901256,13,d2e8yk2lrb0w,Jayne,12,wjqcjw,31,14763,1,0,0,612,True,0
260361.299448347,13,d2e8yk2lrb0w,Jayne,12,gc12nw,67,34850,1,0,0,612,True,5
260361.309406487,13,d2e8yk2lrb0w,Jayne,12,gc12nw,54,39235,1,0,0,612,True,4
260361.318604973,13,d2e8yk2lrb0w,Jayne,12,gc12nw,79,20056,1,0,0,612,True,3
260361.326396824,13,d2e8yk2lrb0w,Jayne,12,wjqcjw,69,52584,1,0,0,612,True,2
260361.335058706,13,d2e8yk2lrb0w,Jayne,12,wjqcjw,73,8665,1,0,0,612,True,1
260361.342587242,13,d2e8yk2lrb0w,Jayne,12,wjqcjw,38,44841,2,0,0,100,True,0
260364.120733992,13,d2e8yk2lrb0w,Jayne,12,gc12nw,37,62473,2,0,0,100,True,2
260364.128540661,13,d2e8yk2lrb0w,Jayne,12,wjqcjw,36,18085,2,0,0,100,True,1
260364.136310932,13,d2e8yk2lrb0w,Jayne,12,wjqcjw,51,38692,1,0,0,612,True,0
260365.944159294,13,d2e8yk2lrb0w,Jayne,12,wjqcjw,66,55153,1,0,0,612,True,2
260365.951446656,13,d2e8yk2lrb0w,Jayne,12,wjqcjw,37,43752,2,0,0,100,True,1
260365.959057934,13,d2e8yk2lrb0w,Jayne,12,gc12nw,55,9617,2,0,0,100,True,0
260368.120202974,13,d2e8yk2lrb0w,Jayne,13,gc12nw,87,25523,2,0,0,100,True,1
260368.127551334,13,d2e8yk2lrb0w,Jayne,13,wjqcjw,75,43874,2,0,0,100,True,0
260369.741596609,13,d2e8yk2lrb0w,Jayne,13,wjqcjw,20,56977,1,0,0,612,True,2
260369.749412131,13,d2e8yk2lrb0w,Jayne,13,wjqcjw,94,33612,2,0,0,100,True,1
260369.757120926,13,d2e8yk2lrb0w,Jayne,13,wjqcjw,32,59171,2,0,0,100,True,0
260372.217996754,13,d2e8yk2lrb0w,Jayne,13,gc12nw,76,26527,1,0,0,612,True,1
260372.22757016,13,d2e8yk2lrb0w,Jayne,13,gc12nw,21,37808,1,0,0,612,True,0
260374.695165659,13,d2e8yk2lrb0w,Jayne,13,gc12nw,24,52885,1,0,0,612,True,16
260374.703893822,13,d2e8yk2lrb0w,Jayne,13,gc12nw,62,12556,1,0,0,612,True,15
260374.711783859,13,d2e8yk2lrb0w,Jayne,13,gc12nw,3,56215,1,0,0,612,True,14
260374.720292493,13,d2e8yk2lrb0w,Jayne,13,gc12nw,91,58123,1,0,0,612,True,13
260374.72813582,13,d2e8yk2lrb0w,Jayne,13,wjqcjw,10,4185,1,0,0,612,True,12
260374.735877241,13,d2e8yk2lrb0w,Jayne,13,gc12nw,67,34850,2,0,0,100,True,11
260374.743455223,13,d2e8yk2lrb0w,Jayne,13,gc12nw,29,56848,2,0,0,100,True,10
260374.751034774,13,d2e8yk2lrb0w,Jayne,13,gc12nw,28,28828,2,0,0,100,True,9
260374.759020207,13,d2e8yk2lrb0w,Jayne,13,gc12nw,83,58997,2,0,0,100,True,8
260374.766758825,13,d2e8yk2lrb0w,Jayne,13,wjqcjw,35,3317,2,0,0,100,True,7
260374.774777795,13,d2e8yk2lrb0w,Jayne,13,wjqcjw,29,52304,2,0,0,100,True,6
260374.782542232,13,d2e8yk2lrb0w,Jayne,13,wjqcjw,71,26802,2,0,0,100,True,5
260374.790106543,13,d2e8yk2lrb0w,Jayne,13,wjqcjw,30,1772,2,0,0,100,True,4
260374.797600707,13,d2e8yk2lrb0w,Jayne,13,wjqcjw,85,33117,2,0,0,100,True,3
260374.806827271,13,d2e8yk2lrb0w,Jayne,13,wjqcjw,67,33185,2,0,0,100,True,2
260374.819367217,13,d2e8yk2lrb0w,Jayne,13,wjqcjw,73,8665,2,0,0,100,True,1
260374.828112017,13,d2e8yk2lrb0w,Jayne,13,wjqcjw,28,16899,2,0,0,100,True,0
260377.190759903,13,d2e8yk2lrb0w,Jayne,13,wjqcjw,78,50151,2,0,0,100,True,1
260377.198734283,13,d2e8yk2lrb0w,Jayne,13,wjqcjw,91,47764,1,0,0,612,True,0
260391.531704171,13,d2e8yk2lrb0w,Jayne,15,gc12nw,22,49645,1,0,0,612,True,7
260391.539391953,13,d2e8yk2lrb0w,Jayne,15,gc12nw,54,8670,1,0,0,612,True,6
260391.547104984,13,d2e8yk2lrb0w,Jayne,15,wjqcjw,59,3880,1,0,0,612,True,5
260391.554812158,13,d2e8yk2lrb0w,Jayne,15,gc12nw,20,16668,1,0,0,612,True,4
