t,experiment_id,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
260225.213352928,13,fw0xxio6funu,Bennie,1,my2elp,26,11863,1,0,0,612,True,0
260226.372037369,13,fw0xxio6funu,Bennie,1,my2elp,69,32227,1,0,0,612,True,2
260226.37918241,13,fw0xxio6funu,Bennie,1,my2elp,63,15086,1,0,0,612,True,1
260226.386337037,13,fw0xxio6funu,Bennie,1,my2elp,70,38965,1,0,0,612,True,0
260227.704502016,13,fw0xxio6funu,Bennie,1,my2elp,22,20486,1,0,0,612,True,1
260227.711993959,13,fw0xxio6funu,Bennie,1,my2elp,68,39373,1,0,0,612,True,0
260229.934742077,13,fw0xxio6funu,Bennie,2,my2elp,58,32308,1,0,0,612,True,0
260232.209607141,13,fw0xxio6funu,Bennie,2,my2elp,24,48340,1,0,0,612,True,3
260232.217077291,13,fw0xxio6funu,Bennie,2,my2elp,46,58449,1,0,0,612,True,2
260232.224532575,13,fw0xxio6funu,Bennie,2,my2elp,17,47713,1,0,0,612,True,1
260232.231922093,13,fw0xxio6funu,Bennie,2,my2elp,27,15305,1,0,0,612,True,0
260233.975852573,13,fw0xxio6funu,Bennie,2,my2elp,90,36301,1,0,0,612,True,1
260233.983594316,13,fw0xxio6funu,Bennie,2,my2elp,16,46087,1,0,0,612,True,0
260235.370916265,13,fw0xxio6funu,Bennie,2,my2elp,21,53859,1,0,0,612,True,1
260235.378588229,13,fw0xxio6funu,Bennie,2,my2elp,67,35255,1,0,0,612,True,0
260239.181545164,13,fw0xxio6funu,Bennie,2,my2elp,4,38162,1,0,0,612,True,7
260239.189292353,13,fw0xxio6funu,Bennie,2,my2elp,1,25534,1,0,0,612,True,6
260239.198005026,13,fw0xxio6funu,Bennie,2,my2elp,71,58402,1,0,0,612,True,5
260239.205184403,13,fw0xxio6funu,Bennie,2,my2elp,48,33185,1,0,0,612,True,4
260239.213770291,13,fw0xxio6funu,Bennie,2,my2elp,97,33072,1,0,0,612,True,3
260239.221464554,13,fw0xxio6funu,Bennie,2,my2elp,89,26267,1,0,0,612,True,2
260239.230298715,13,fw0xxio6funu,Bennie,2,my2elp,19,47599,1,0,0,612,True,1
260239.238034414,13,fw0xxio6funu,Bennie,2,my2elp,86,2288,1,0,0,612,True,0
260243.003908605,13,fw0xxio6funu,Bennie,3,my2elp,18,41323,1,0,0,612,True,2
260243.011675292,13,fw0xxio6funu,Bennie,3,my2elp,2,37156,1,0,0,612,True,1
260243.019478103,13,fw0xxio6funu,Bennie,3,my2elp,9,63508,1,0,0,612,True,0
260246.287263231,13,fw0xxio6funu,Bennie,3,my2elp,29,42785,1,0,0,612,True,3
260246.294814162,13,fw0xxio6funu,Bennie,3,my2elp,23,25216,1,0,0,612,True,2
260246.302343209,13,fw0xxio6funu,Bennie,3,my2elp,37,47869,1,0,0,612,True,1
260246.310100895,13,fw0xxio6funu,Bennie,3,my2elp,61,11939,1,0,0,612,True,0
260250.473607763,13,fw0xxio6funu,Bennie,3,my2elp,48,22221,1,0,0,612,True,0
260256.192262329,13,fw0xxio6funu,Bennie,4,my2elp,96,56628,1,0,0,612,True,1
260256.203524229,13,fw0xxio6funu,Bennie,4,my2elp,94,15157,1,0,0,612,True,0
260261.543869795,13,fw0xxio6funu,Bennie,4,my2elp,89,26505,1,0,0,612,True,1
260261.551808996,13,fw0xxio6funu,Bennie,4,my2elp,86,59283,1,0,0,612,True,0
260268.848662666,13,fw0xxio6funu,Bennie,5,my2elp,7,6103,2,0,0,100,True,3
260268.856223027,13,fw0xxio6funu,Bennie,5,my2elp,53,49433,2,0,0,100,True,2
260268.873118752,13,fw0xxio6funu,Bennie,5,my2elp,68,39373,2,0,0,100,True,1
260268.892593986,13,fw0xxio6funu,Bennie,5,my2elp,84,4299,1,0,0,612,True,0
260275.939532277,13,fw0xxio6funu,Bennie,5,my2elp,26,11863,2,0,0,100,True,4
260275.947678181,13,fw0xxio6funu,Bennie,5,my2elp,80,20338,1,0,0,612,True,3
260275.979790121,13,fw0xxio6funu,Bennie,5,my2elp,34,11017,1,0,0,612,True,2
260276.000528867,13,fw0xxio6funu,Bennie,5,my2elp,40,35771,1,0,0,612,True,1
260276.02182984,13,fw0xxio6funu,Bennie,5,my2elp,33,51683,1,0,0,612,True,0
260285.240942137,13,fw0xxio6funu,Bennie,6,my2elp,91,1775,2,0,0,100,True,1
260285.248763468,13,fw0xxio6funu,Bennie,6,my2elp,31,19346,1,0,0,612,True,0
260291.429184828,13,fw0xxio6funu,Bennie,6,my2elp,75,60428,2,0,0,100,True,1
260291.43667982,13,fw0xxio6funu,Bennie,6,my2elp,77,36262,1,0,0,612,True,0
260299.680790558,13,fw0xxio6funu,Bennie,7,my2elp,27,30594,1,0,0,612,True,1
260299.688440355,13,fw0xxio6funu,Bennie,7,my2elp,28,12598,1,0,0,612,True,0
260303.887868344,13,fw0xxio6funu,Bennie,7,my2elp,41,18965,2,0,0,100,True,4
260303.895675963,13,fw0xxio6funu,Bennie,7,my2elp,95,50086,2,0,0,100,True,3
260303.903506286,13,fw0xxio6funu,Bennie,7,my2elp,49,38989,2,0,0,100,True,2
260303.91128705,13,fw0xxio6funu,Bennie,7,my2elp,2,37156,2,0,0,100,True,1
260303.919049623,13,fw0xxio6funu,Bennie,7,my2elp,9,63508,2,0,0,100,True,0
260308.488964256,13,fw0xxio6funu,Bennie,7,my2elp,26,203,1,0,0,612,True,0
260324.905049924,13,fw0xxio6funu,Bennie,9,my2elp,42,28818,2,0,0,100,True,0
260334.270863543,13,fw0xxio6funu,Bennie,9,my2elp,72,25614,1,0,0,612,True,0
260336.465270905,13,fw0xxio6funu,Bennie,10,my2elp,28,12598,2,0,0,100,True,1
260336.472997136,13,fw0xxio6funu,Bennie,10,my2elp,37,21632,2,0,0,100,True,0
260338.029544954,13,fw0xxio6funu,Bennie,10,my2elp,41,11044,2,0,0,100,True,0
260350.351884874,13,fw0xxio6funu,Bennie,11,my2elp,76,54383,2,0,0,100,True,0
260379.577090736,13,fw0xxio6funu,Bennie,14,my2elp,72,25614,2,0,0,100,True,0
260383.525306943,13,fw0xxio6funu,Bennie,14,my2elp,17,28538,1,0,0,612,True,0
260385.716857183,13,fw0xxio6funu,Bennie,14,my2elp,61,33084,1,0,0,612,True,0
260388.046574275,13,fw0xxio6funu,Bennie,14,my2elp,12,19144,1,0,0,612,True,2
